,event,trial,time,PID
0,fullscreenenter,0,4199,54830
1,fullscreenexit,602,813584,54830
2,blur,602,814816,54830
3,focus,621,867982,54830
4,blur,645,898169,54830
5,focus,650,907457,54830
6,blur,679,945144,54830
7,focus,699,990228,54830
8,blur,718,1012875,54830
9,focus,722,1019505,54830
10,blur,724,1022016,54830
11,focus,726,1024968,54830
12,blur,734,1033090,54830
13,focus,734,1035262,54830
14,blur,738,1038827,54830
15,focus,740,1041466,54830
16,blur,743,1046421,54830
17,focus,746,1052806,54830
18,blur,749,1054960,54830
19,focus,751,1060116,54830
20,blur,754,1063840,54830
21,focus,754,1065262,54830
22,blur,763,1073949,54830
23,focus,764,1077026,54830
24,blur,768,1081658,54830
25,focus,771,1088085,54830
26,blur,773,1089533,54830
27,focus,778,1101153,54830
28,blur,783,1105255,54830
29,focus,787,1116794,54830
30,blur,792,1121262,54830
31,focus,796,1131926,54830
32,blur,967,1339147,54830
33,focus,968,1339604,54830
34,blur,1062,1445856,54830
35,focus,1063,1446660,54830
36,blur,1063,1448158,54830
37,focus,1063,1448816,54830
38,blur,1106,1500026,54830
39,focus,1111,1513713,54830
40,blur,1113,1517569,54830
41,focus,1113,1517851,54830
42,blur,1116,1522537,54830
43,focus,1116,1522816,54830
44,blur,1120,1529572,54830
45,focus,1125,1543132,54830
46,blur,1129,1546257,54830
47,focus,1135,1560069,54830
48,blur,1267,1725230,54830
49,focus,1268,1726297,54830
50,blur,1335,1804745,54830
51,focus,1337,1809372,54830
52,blur,1340,1812488,54830
53,focus,1343,1816947,54830
54,blur,1436,1921264,54830
55,focus,1436,1922753,54830
56,blur,1544,2064008,54830
57,focus,1564,2092512,54830
58,blur,1767,2335015,54830
59,focus,1768,2335982,54830
