,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
0,True,full_screen,d06102022hr2052,fullscreen,0,2499,0.0-0.0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,41631,0.0-1.0-0.0-0.0,0,0,10,"[{""page_index"":0,""viewing_time"":5441},{""page_index"":1,""viewing_time"":5301},{""page_index"":2,""viewing_time"":6661},{""page_index"":3,""viewing_time"":12403},{""page_index"":4,""viewing_time"":4430},{""page_index"":5,""viewing_time"":4894}]",39131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,54575,0.0-1.0-0.0-1.0,0,0,10,,12940.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""pointer finger for left and middle finger for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,57490,0.0-1.0-1.0,0,0,10,,2910.0,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,start_run,,html-keyboard-response,4,61060,0.0-1.0-2.0,0,0,10,,3570.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,size_choice,,html-keyboard-response,5,61597,0.0-1.0-3.0,0,0,10,,536.0,,,50.0,0.0,0.0,1.0,4000.0,S-M,1.0,M,S,2.0,1.0,basketball,paperclip,basketball2,paperclip10,51.0,119.0,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball8.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip10.jpg,1.0,basketball,paperclip,M,S,2.0,1.0,basketball2,paperclip10,1.0,0.0,0.536,0.0,
6,,size_choice_confirmation,,html-keyboard-response,6,62566,0.0-1.0-4.0-0.0,0,0,10,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.536,0.964,,
7,,iti,,html-keyboard-response,7,66572,0.0-1.0-5.0,0,0,10,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.0,,
8,,size_choice,,html-keyboard-response,8,66963,0.0-1.0-7.0,0,0,10,,389.0,,,51.0,1.0,1.0,1.0,5500.0,S-S,,S,S,1.0,1.0,die,paperclip,die6,paperclip6,105.0,115.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die1.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip6.jpg,0.0,paperclip,die,S,S,1.0,1.0,paperclip6,die6,,5.5,0.389,0.0,
9,,size_choice_confirmation,,html-keyboard-response,9,68075,0.0-1.0-8.0-0.0,0,0,10,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.889,1.111,,
