,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
0,True,full_screen,d06042022hr0245,fullscreen,0,2788,0.0-0.0,0,0,26705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,248557,0.0-1.0-0.0-0.0,0,0,26705,"[{""page_index"":0,""viewing_time"":6179},{""page_index"":1,""viewing_time"":5042},{""page_index"":2,""viewing_time"":1954},{""page_index"":3,""viewing_time"":2714},{""page_index"":4,""viewing_time"":227962},{""page_index"":5,""viewing_time"":1910}]",245762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,258569,0.0-1.0-0.0-1.0,0,0,26705,,9970.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,259889,0.0-1.0-1.0,0,0,26705,,1304.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,260689,0.0-1.0-2.0,0,0,26705,,782.0,,,68.0,0.0,0.0,1.0,1500.0,S-M,1.0,M,S,2.0,1.0,hairdryer,paperclip,hairdryer8,paperclip1,77.0,110.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer1.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip9.jpg,1.0,hairdryer,paperclip,M,S,2.0,1.0,hairdryer8,paperclip1,1.0,0.782,0.782,0.0,
5,,size_choice_confirmation,,html-keyboard-response,5,261416,0.0-1.0-3.0-0.0,0,0,26705,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.718,,
6,,iti,,html-keyboard-response,6,262921,0.0-1.0-4.0,0,0,26705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,
7,,size_choice,,html-keyboard-response,7,263654,0.0-1.0-6.0,0,0,26705,,723.0,,,75.0,1.0,1.0,1.0,1000.0,S-XL,0.0,S,XL,1.0,4.0,die,van,die5,van5,104.0,194.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die3.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/van/van3.jpg,0.0,van,die,XL,S,4.0,1.0,van5,die5,1.0,3.723,0.723,0.0,
8,,size_choice_confirmation,,html-keyboard-response,8,264440,0.0-1.0-7.0-0.0,0,0,26705,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,0.777,,
9,,iti,,html-keyboard-response,9,265446,0.0-1.0-8.0,0,0,26705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.0,,
10,,size_choice,,html-keyboard-response,10,266320,0.0-1.0-10.0,0,0,26705,,866.0,,,68.0,2.0,2.0,1.0,1000.0,S-L,1.0,L,S,3.0,1.0,dishwasher,thread,dishwasher8,thread1,27.0,140.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher3.jpg,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread7.jpg,1.0,dishwasher,thread,L,S,3.0,1.0,dishwasher8,thread1,1.0,6.366,0.866,0.0,
11,,size_choice_confirmation,,html-keyboard-response,11,266963,0.0-1.0-11.0-0.0,0,0,26705,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.634,,
12,,iti,,html-keyboard-response,12,267977,0.0-1.0-12.0,0,0,26705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,
13,,size_choice,,html-keyboard-response,13,268683,0.0-1.0-14.0,0,0,26705,,700.0,,,68.0,3.0,3.0,1.0,1500.0,M-XL,1.0,XL,M,4.0,2.0,van,basketball,van4,basketball9,193.0,58.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van7.jpg,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball5.jpg,1.0,van,basketball,XL,M,4.0,2.0,van4,basketball9,1.0,8.7,0.7,0.0,
14,,size_choice_confirmation,,html-keyboard-response,14,269495,0.0-1.0-15.0-0.0,0,0,26705,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,0.8,,
15,,iti,,html-keyboard-response,15,271010,0.0-1.0-16.0,0,0,26705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.5,,
16,,size_choice,,html-keyboard-response,16,271732,0.0-1.0-18.0,0,0,26705,,716.0,,,68.0,4.0,4.0,1.0,1500.0,M-XL,1.0,XL,M,4.0,2.0,crane,handsaw,crane4,handsaw4,163.0,83.0,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane5.jpg,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw3.jpg,1.0,crane,handsaw,XL,M,4.0,2.0,crane4,handsaw4,1.0,11.716,0.716,0.0,
17,,size_choice_confirmation,,html-keyboard-response,17,272526,0.0-1.0-19.0-0.0,0,0,26705,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,0.784,,
18,,iti,,html-keyboard-response,18,274033,0.0-1.0-20.0,0,0,26705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.5,,
19,,size_choice,,html-keyboard-response,19,274858,0.0-1.0-22.0,0,0,26705,,821.0,,,68.0,5.0,5.0,1.0,1000.0,M-L,1.0,L,M,3.0,2.0,deskchair,handsaw,deskchair9,handsaw9,18.0,88.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair3.jpg,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw6.jpg,1.0,deskchair,handsaw,L,M,3.0,2.0,deskchair9,handsaw9,1.0,14.821,0.821,0.0,
20,,size_choice_confirmation,,html-keyboard-response,20,275569,0.0-1.0-23.0-0.0,0,0,26705,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,0.679,,
21,,iti,,html-keyboard-response,21,276585,0.0-1.0-24.0,0,0,26705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,1.0,,
22,,size_choice,,html-keyboard-response,22,277802,0.0-1.0-26.0,0,0,26705,,1213.0,,,75.0,6.0,6.0,1.0,1500.0,M-L,0.0,M,L,2.0,3.0,coffeemaker,mailbox,coffeemaker7,mailbox7,66.0,46.0,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker9.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox7.jpg,0.0,mailbox,coffeemaker,L,M,3.0,2.0,mailbox7,coffeemaker7,1.0,17.713,1.213,0.0,
23,,size_choice_confirmation,,html-keyboard-response,23,278094,0.0-1.0-27.0-0.0,0,0,26705,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.287,,
24,,iti,,html-keyboard-response,24,279605,0.0-1.0-28.0,0,0,26705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,1.5,,
25,,size_choice,,html-keyboard-response,25,280448,0.0-1.0-30.0,0,0,26705,,840.0,,,68.0,7.0,7.0,1.0,1500.0,M-L,1.0,L,M,3.0,2.0,deskchair,ketchup,deskchair10,ketchup3,19.0,92.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair2.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup10.jpg,1.0,deskchair,ketchup,L,M,3.0,2.0,deskchair10,ketchup3,1.0,20.34,0.84,0.0,
26,,size_choice_confirmation,,html-keyboard-response,26,281126,0.0-1.0-31.0-0.0,0,0,26705,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,0.66,,
27,,iti,,html-keyboard-response,27,282630,0.0-1.0-32.0,0,0,26705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,1.5,,
28,,size_choice,,html-keyboard-response,28,283383,0.0-1.0-34.0,0,0,26705,,749.0,,,68.0,8.0,8.0,1.0,2000.0,S-L,1.0,L,S,3.0,1.0,cooler,paperclip,cooler8,paperclip3,7.0,112.0,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler5.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip1.jpg,1.0,cooler,paperclip,L,S,3.0,1.0,cooler8,paperclip3,1.0,23.249,0.749,0.0,
29,,size_choice_confirmation,,html-keyboard-response,29,284138,0.0-1.0-35.0-0.0,0,0,26705,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.751,,
30,,iti,,html-keyboard-response,30,286142,0.0-1.0-36.0,0,0,26705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,2.0,,
