,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,accuracy,no_resposne,onset,duration,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,no_response,size_final_tally
0,True,full_screen,d05252022hr1602,fullscreen,0,5516,0.0-0.0,0,0,37970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,11707,0.0-1.0-0.0-0.0,0,0,37970,"[{""page_index"":0,""viewing_time"":1660},{""page_index"":1,""viewing_time"":677},{""page_index"":2,""viewing_time"":1051},{""page_index"":3,""viewing_time"":662},{""page_index"":4,""viewing_time"":764},{""page_index"":5,""viewing_time"":1375}]",6189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,19819,0.0-1.0-0.0-1.0,0,0,37970,,8108.0,"{""Q0"":""True"",""Q1"":""Size on the screen"",""Q2"":""True"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,missed_instruction_checkup,,html-keyboard-response,3,22409,0.0-1.0-0.0-2.0-0.0,0,1,37970,,2587.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_instructions,,instructions,4,223326,0.0-1.0-0.1-0.1,0,0,37970,"[{""page_index"":0,""viewing_time"":1327},{""page_index"":1,""viewing_time"":354},{""page_index"":2,""viewing_time"":594},{""page_index"":3,""viewing_time"":1382},{""page_index"":4,""viewing_time"":1294},{""page_index"":5,""viewing_time"":187987},{""page_index"":4,""viewing_time"":662},{""page_index"":3,""viewing_time"":1296},{""page_index"":2,""viewing_time"":2640},{""page_index"":3,""viewing_time"":708},{""page_index"":4,""viewing_time"":1098},{""page_index"":5,""viewing_time"":1574}]",200917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,size_comprehension_check,,survey-multi-choice,5,232721,0.0-1.0-0.1-1.1,0,0,37970,,9394.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,html-keyboard-response,6,234684,0.0-1.0-1.0,0,0,37970,,1962.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,size_choice,,html-keyboard-response,7,236189,0.0-1.0-2.0,0,0,37970,,,,,,0.0,0.0,1.0,1000.0,L-L,,L,L,3.0,3.0,dishwasher,garbagecan,dishwasher9,garbagecan9,28.0,38.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher2.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan12.jpg,,1.0,1.5,1.5,,,,,,,,,,,
8,,iti,,html-keyboard-response,8,236295,0.0-1.0-4.0,0,0,37970,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.0,,,,,,,,,,,
9,,size_choice,,html-keyboard-response,9,236502,0.0-1.0-6.0,0,0,37970,,206.0,,,68.0,1.0,1.0,1.0,1000.0,M-M,,M,M,2.0,2.0,handsaw,hairdryer,handsaw1,hairdryer2,80.0,71.0,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw8.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer12.jpg,,,1.706,0.206,1.0,handsaw,hairdryer,M,M,2.0,2.0,handsaw1,hairdryer2,0.0,
10,,size_choice_confirmation,,html-keyboard-response,10,237803,0.0-1.0-7.0-0.0,0,0,37970,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,1.294,,,,,,,,,,,
11,,iti,,html-keyboard-response,11,237909,0.0-1.0-8.0,0,0,37970,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,
12,,size_choice,,html-keyboard-response,12,238348,0.0-1.0-10.0,0,0,37970,,438.0,,,68.0,2.0,2.0,1.0,1500.0,S-XL,0.0,S,XL,1.0,4.0,teabag,dumptruck,teabag7,dumptruck8,136.0,177.0,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag10.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck7.jpg,0.0,,4.438,0.438,1.0,teabag,dumptruck,S,XL,1.0,4.0,teabag7,dumptruck8,0.0,
13,,size_choice_confirmation,,html-keyboard-response,13,239412,0.0-1.0-11.0-0.0,0,0,37970,,,,,,2.0,,,,,,,,,,,,,,,,,,,,5.5,1.062,,,,,,,,,,,
14,,iti,,html-keyboard-response,14,239514,0.0-1.0-12.0,0,0,37970,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.5,,,,,,,,,,,
15,,size_choice,,html-keyboard-response,15,241020,0.0-1.0-14.0,0,0,37970,,,,,,3.0,3.0,1.0,2000.0,S-M,1.0,M,S,2.0,1.0,hairdryer,screws,hairdryer5,screws5,74.0,124.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer15.jpg,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws2.jpg,,1.0,8.5,1.5,,,,,,,,,,,
16,,iti,,html-keyboard-response,16,241121,0.0-1.0-16.0,0,0,37970,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,1.0,,,,,,,,,,,
17,,size_choice,,html-keyboard-response,17,242623,0.0-1.0-18.0,0,0,37970,,,,,,4.0,4.0,1.0,3500.0,S-XL,0.0,S,XL,1.0,4.0,teabag,car,teabag4,car9,133.0,158.0,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag3.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/car/car15.jpg,,1.0,11.0,1.5,,,,,,,,,,,
18,,iti,,html-keyboard-response,18,242728,0.0-1.0-20.0,0,0,37970,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,2.5,,,,,,,,,,,
19,,size_choice,,html-keyboard-response,19,243024,0.0-1.0-22.0,0,0,37970,,294.0,,,68.0,5.0,5.0,1.0,1500.0,M-L,1.0,L,M,3.0,2.0,cooler,handsaw,cooler10,handsaw7,9.0,86.0,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler6.jpg,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw5.jpg,1.0,,13.794,0.294,1.0,cooler,handsaw,L,M,3.0,2.0,cooler10,handsaw7,0.0,
20,,size_choice_confirmation,,html-keyboard-response,20,244235,0.0-1.0-23.0-0.0,0,0,37970,,,,,,5.0,,,,,,,,,,,,,,,,,,,,15.0,1.206,,,,,,,,,,,
21,,iti,,html-keyboard-response,21,244340,0.0-1.0-24.0,0,0,37970,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,1.5,,,,,,,,,,,
22,,size_choice,,html-keyboard-response,22,244528,0.0-1.0-26.0,0,0,37970,,186.0,,,68.0,6.0,6.0,1.0,2000.0,M-XL,0.0,M,XL,2.0,4.0,basketball,crane,basketball10,crane9,59.0,168.0,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball4.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane8.jpg,0.0,,16.686,0.186,1.0,basketball,crane,M,XL,2.0,4.0,basketball10,crane9,0.0,
23,,size_choice_confirmation,,html-keyboard-response,23,245846,0.0-1.0-27.0-0.0,0,0,37970,,,,,,6.0,,,,,,,,,,,,,,,,,,,,18.0,1.314,,,,,,,,,,,
24,,iti,,html-keyboard-response,24,245952,0.0-1.0-28.0,0,0,37970,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,2.0,,,,,,,,,,,
25,,size_choice,,html-keyboard-response,25,246140,0.0-1.0-30.0,0,0,37970,,185.0,,,68.0,7.0,7.0,1.0,3000.0,M-XL,0.0,M,XL,2.0,4.0,hairdryer,dumptruck,hairdryer7,dumptruck6,76.0,175.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer3.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck2.jpg,0.0,,20.185,0.185,1.0,hairdryer,dumptruck,M,XL,2.0,4.0,hairdryer7,dumptruck6,0.0,
26,,size_choice_confirmation,,html-keyboard-response,26,247456,0.0-1.0-31.0-0.0,0,0,37970,,,,,,7.0,,,,,,,,,,,,,,,,,,,,21.5,1.315,,,,,,,,,,,
27,,iti,,html-keyboard-response,27,247562,0.0-1.0-32.0,0,0,37970,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,3.0,,,,,,,,,,,
28,,size_choice,,html-keyboard-response,28,247786,0.0-1.0-34.0,0,0,37970,,223.0,,,68.0,8.0,8.0,1.0,2000.0,XL-XL,,XL,XL,4.0,4.0,van,crane,van2,crane8,191.0,167.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van4.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane10.jpg,,,24.723,0.223,1.0,van,crane,XL,XL,4.0,4.0,van2,crane8,0.0,
29,,size_choice_confirmation,,html-keyboard-response,29,249068,0.0-1.0-35.0-0.0,0,0,37970,,,,,,8.0,,,,,,,,,,,,,,,,,,,,26.0,1.277,,,,,,,,,,,
30,,iti,,html-keyboard-response,30,249174,0.0-1.0-36.0,0,0,37970,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,2.0,,,,,,,,,,,
31,,size_choice,,html-keyboard-response,31,249608,0.0-1.0-38.0,0,0,37970,,432.0,,,68.0,9.0,9.0,1.0,2000.0,L-L,,L,L,3.0,3.0,dishwasher,cooler,dishwasher7,cooler8,26.0,7.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher7.jpg,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler5.jpg,,,28.432,0.432,1.0,dishwasher,cooler,L,L,3.0,3.0,dishwasher7,cooler8,0.0,
32,,size_choice_confirmation,,html-keyboard-response,32,250681,0.0-1.0-39.0-0.0,0,0,37970,,,,,,9.0,,,,,,,,,,,,,,,,,,,,29.5,1.068,,,,,,,,,,,
33,,iti,,html-keyboard-response,33,250784,0.0-1.0-40.0,0,0,37970,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,2.0,,,,,,,,,,,
