,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
0,True,full_screen,d06012022hr2355,fullscreen,0,6091,0.0-0.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,10649,0.0-1.0-0.0-0.0,0,0,96744,"[{""page_index"":0,""viewing_time"":1457},{""page_index"":1,""viewing_time"":390},{""page_index"":2,""viewing_time"":885},{""page_index"":3,""viewing_time"":1128},{""page_index"":4,""viewing_time"":389},{""page_index"":5,""viewing_time"":309}]",4558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,16220,0.0-1.0-0.0-1.0,0,0,96744,,5567.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,17414,0.0-1.0-1.0,0,0,96744,,1191.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,18073,0.0-1.0-2.0,0,0,96744,,657.0,,,68.0,0.0,0.0,1.0,2000.0,L-L,,L,L,3.0,3.0,deskchair,mailbox,deskchair10,mailbox3,19.0,42.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair2.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox1.jpg,1.0,deskchair,mailbox,L,L,3.0,3.0,deskchair10,mailbox3,,0.657,0.657,0.0,
5,,size_choice_confirmation,,html-keyboard-response,5,18918,0.0-1.0-3.0-0.0,0,0,96744,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.843,,
6,,iti,,html-keyboard-response,6,19024,0.0-1.0-4.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
7,,size_choice,,html-keyboard-response,7,20528,0.0-1.0-6.0,0,0,96744,,,,,,1.0,1.0,1.0,1000.0,S-XL,1.0,XL,S,4.0,1.0,dumptruck,teabag,dumptruck9,teabag3,178.0,132.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck5.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag1.jpg,,,,,,,,,,,5.0,1.5,1.0,
8,,iti,,html-keyboard-response,8,20634,0.0-1.0-8.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,
9,,size_choice,,html-keyboard-response,9,22140,0.0-1.0-10.0,0,0,96744,,,,,,2.0,2.0,1.0,1000.0,M-L,1.0,L,M,3.0,2.0,mailbox,ketchup,mailbox9,ketchup7,48.0,96.0,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox9.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup4.jpg,,,,,,,,,,,7.5,1.5,1.0,
10,,iti,,html-keyboard-response,10,22243,0.0-1.0-12.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,1.0,,
11,,size_choice,,html-keyboard-response,11,23749,0.0-1.0-14.0,0,0,96744,,,,,,3.0,3.0,1.0,2000.0,M-XL,1.0,XL,M,4.0,2.0,dumptruck,ketchup,dumptruck4,ketchup2,173.0,91.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck1.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup9.jpg,,,,,,,,,,,10.0,1.5,1.0,
12,,iti,,html-keyboard-response,12,23853,0.0-1.0-16.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,,
13,,size_choice,,html-keyboard-response,13,25357,0.0-1.0-18.0,0,0,96744,,,,,,4.0,4.0,1.0,1000.0,L-XL,0.0,L,XL,3.0,4.0,garbagecan,dumptruck,garbagecan9,dumptruck7,38.0,176.0,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan12.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck6.jpg,,,,,,,,,,,13.5,1.5,1.0,
14,,iti,,html-keyboard-response,14,25462,0.0-1.0-20.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,1.0,,
15,,size_choice,,html-keyboard-response,15,26965,0.0-1.0-22.0,0,0,96744,,,,,,5.0,5.0,1.0,1500.0,S-L,1.0,L,S,3.0,1.0,mailbox,thread,mailbox8,thread8,47.0,147.0,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox10.jpg,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread10.jpg,,,,,,,,,,,16.0,1.5,1.0,
16,,iti,,html-keyboard-response,16,27070,0.0-1.0-24.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,1.5,,
17,,size_choice,,html-keyboard-response,17,28577,0.0-1.0-26.0,0,0,96744,,,,,,6.0,6.0,1.0,2000.0,S-L,1.0,L,S,3.0,1.0,garbagecan,teabag,garbagecan6,teabag10,35.0,139.0,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan14.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag4.jpg,,,,,,,,,,,19.0,1.5,1.0,
18,,iti,,html-keyboard-response,18,28678,0.0-1.0-28.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2.0,,
19,,size_choice,,html-keyboard-response,19,30182,0.0-1.0-30.0,0,0,96744,,,,,,7.0,7.0,1.0,1000.0,M-XL,1.0,XL,M,4.0,2.0,car,ketchup,car2,ketchup5,151.0,94.0,/static/Size_judgement/Stimuli/Size_stims/XL/car/car3.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup3.jpg,,,,,,,,,,,22.5,1.5,1.0,
20,,iti,,html-keyboard-response,20,30283,0.0-1.0-32.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,1.0,,
21,,size_choice,,html-keyboard-response,21,31787,0.0-1.0-34.0,0,0,96744,,,,,,8.0,8.0,1.0,1000.0,XL-XL,,XL,XL,4.0,4.0,van,car,van3,car4,192.0,153.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van6.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/car/car6.jpg,,,,,,,,,,,25.0,1.5,1.0,
22,,iti,,html-keyboard-response,22,31891,0.0-1.0-36.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,1.0,,
23,,size_choice,,html-keyboard-response,23,32335,0.0-1.0-38.0,0,0,96744,,442.0,,,68.0,9.0,9.0,1.0,1500.0,S-XL,0.0,S,XL,1.0,4.0,teabag,dumptruck,teabag8,dumptruck8,137.0,177.0,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag7.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck7.jpg,1.0,teabag,dumptruck,S,XL,1.0,4.0,teabag8,dumptruck8,0.0,26.442,0.442,0.0,
24,,size_choice_confirmation,,html-keyboard-response,24,33398,0.0-1.0-39.0-0.0,0,0,96744,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,1.058,,
25,,iti,,html-keyboard-response,25,33499,0.0-1.0-40.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.5,,
26,,size_choice,,html-keyboard-response,26,33744,0.0-1.0-42.0,0,0,96744,,242.0,,,75.0,10.0,10.0,1.0,1000.0,M-M,,M,M,2.0,2.0,handsaw,ketchup,handsaw4,ketchup9,83.0,98.0,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw3.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup7.jpg,0.0,ketchup,handsaw,M,M,2.0,2.0,ketchup9,handsaw4,,29.242,0.242,0.0,
27,,size_choice_confirmation,,html-keyboard-response,27,35007,0.0-1.0-43.0-0.0,0,0,96744,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,1.258,,
28,,iti,,html-keyboard-response,28,35110,0.0-1.0-44.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,1.0,,
29,,size_choice,,html-keyboard-response,29,35288,0.0-1.0-46.0,0,0,96744,,177.0,,,75.0,11.0,11.0,1.0,1000.0,M-L,0.0,M,L,2.0,3.0,hairdryer,garbagecan,hairdryer6,garbagecan3,75.0,32.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer8.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan7.jpg,0.0,garbagecan,hairdryer,L,M,3.0,2.0,garbagecan3,hairdryer6,1.0,31.677,0.177,0.0,
30,,size_choice_confirmation,,html-keyboard-response,30,36614,0.0-1.0-47.0-0.0,0,0,96744,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,1.323,,
31,,iti,,html-keyboard-response,31,36717,0.0-1.0-48.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,1.0,,
32,,size_choice,,html-keyboard-response,32,36835,0.0-1.0-50.0,0,0,96744,,116.0,,,68.0,12.0,12.0,1.0,2000.0,M-L,0.0,M,L,2.0,3.0,coffeemaker,garbagecan,coffeemaker5,garbagecan4,64.0,33.0,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker10.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan6.jpg,1.0,coffeemaker,garbagecan,M,L,2.0,3.0,coffeemaker5,garbagecan4,0.0,34.116,0.116,0.0,
33,,size_choice_confirmation,,html-keyboard-response,33,38225,0.0-1.0-51.0-0.0,0,0,96744,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,1.384,,
34,,iti,,html-keyboard-response,34,38329,0.0-1.0-52.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,2.0,,
35,,size_choice,,html-keyboard-response,35,38617,0.0-1.0-54.0,0,0,96744,,288.0,,,75.0,13.0,13.0,1.0,1000.0,S-L,0.0,S,L,1.0,3.0,screws,garbagecan,screws10,garbagecan2,129.0,31.0,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws9.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan5.jpg,0.0,garbagecan,screws,L,S,3.0,1.0,garbagecan2,screws10,1.0,37.788,0.288,0.0,
36,,size_choice_confirmation,,html-keyboard-response,36,39832,0.0-1.0-55.0-0.0,0,0,96744,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,1.212,,
37,,iti,,html-keyboard-response,37,39933,0.0-1.0-56.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,1.0,,
38,,size_choice,,html-keyboard-response,38,40282,0.0-1.0-58.0,0,0,96744,,348.0,,,75.0,14.0,14.0,1.0,1000.0,M-XL,1.0,XL,M,4.0,2.0,dumptruck,hairdryer,dumptruck5,hairdryer4,174.0,73.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck3.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer16.jpg,0.0,hairdryer,dumptruck,M,XL,2.0,4.0,hairdryer4,dumptruck5,0.0,40.348,0.348,0.0,
39,,size_choice_confirmation,,html-keyboard-response,39,41441,0.0-1.0-59.0-0.0,0,0,96744,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,1.152,,
40,,iti,,html-keyboard-response,40,41545,0.0-1.0-60.0,0,0,96744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,1.0,,
