,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,accuracy,onset,duration,no_response,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,size_final_tally
0,True,full_screen,d06012022hr2321,fullscreen,0,458141,0.0-0.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,462983,0.0-1.0-0.0-0.0,0,0,3,"[{""page_index"":0,""viewing_time"":3462},{""page_index"":1,""viewing_time"":222},{""page_index"":2,""viewing_time"":202},{""page_index"":3,""viewing_time"":257},{""page_index"":4,""viewing_time"":456},{""page_index"":5,""viewing_time"":241}]",4840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,469890,0.0-1.0-0.0-1.0,0,0,3,,6905.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""pointer finger for left and middle finger for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,471379,0.0-1.0-1.0,0,0,3,,1487.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,472885,0.0-1.0-2.0,0,0,3,,,,,,0.0,0.0,1.0,1500.0,S-M,0.0,S,M,1.0,2.0,die,basketball,die2,basketball9,101.0,58.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die9.jpg,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball5.jpg,,1.5,1.5,1.0,,,,,,,,,,
5,,iti,,html-keyboard-response,5,472990,0.0-1.0-4.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,,,,,,,,,,
6,,size_choice,,html-keyboard-response,6,472991,0.0-1.0-6.0,0,0,3,,0.0,,,51.0,1.0,1.0,1.0,1500.0,S-L,1.0,L,S,3.0,1.0,cooler,die,cooler7,die7,6.0,106.0,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler4.jpg,/static/Size_judgement/Stimuli/Size_stims/S/die/die4.jpg,0.0,3.0,0.0,0.0,0.0,die,cooler,S,L,1.0,3.0,die7,cooler7,
7,,size_choice_confirmation,,html-keyboard-response,7,474496,0.0-1.0-7.0-0.0,0,0,3,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.5,1.5,,,,,,,,,,,
8,,iti,,html-keyboard-response,8,474597,0.0-1.0-8.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.5,,,,,,,,,,,
9,,size_choice,,html-keyboard-response,9,474833,0.0-1.0-10.0,0,0,3,,235.0,,,50.0,2.0,2.0,1.0,3000.0,M-XL,1.0,XL,M,4.0,2.0,car,hairdryer,car3,hairdryer4,152.0,73.0,/static/Size_judgement/Stimuli/Size_stims/XL/car/car4.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer16.jpg,1.0,6.235,0.235,0.0,1.0,car,hairdryer,XL,M,4.0,2.0,car3,hairdryer4,
10,,size_choice_confirmation,,html-keyboard-response,10,476102,0.0-1.0-11.0-0.0,0,0,3,,,,,,2.0,,,,,,,,,,,,,,,,,,,7.5,1.265,,,,,,,,,,,
11,,iti,,html-keyboard-response,11,476206,0.0-1.0-12.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,10.5,3.0,,,,,,,,,,,
12,,size_choice,,html-keyboard-response,12,476476,0.0-1.0-14.0,0,0,3,,269.0,,,50.0,3.0,3.0,1.0,1000.0,M-L,1.0,L,M,3.0,2.0,garbagecan,ketchup,garbagecan10,ketchup8,39.0,97.0,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan11.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup5.jpg,1.0,10.769,0.269,0.0,1.0,garbagecan,ketchup,L,M,3.0,2.0,garbagecan10,ketchup8,
13,,size_choice_confirmation,,html-keyboard-response,13,477713,0.0-1.0-15.0-0.0,0,0,3,,,,,,3.0,,,,,,,,,,,,,,,,,,,12.0,1.231,,,,,,,,,,,
14,,iti,,html-keyboard-response,14,477818,0.0-1.0-16.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,,,,,,,,,,,
15,,size_choice,,html-keyboard-response,15,477960,0.0-1.0-18.0,0,0,3,,141.0,,,50.0,4.0,4.0,1.0,2000.0,S-S,,S,S,1.0,1.0,thread,teabag,thread6,teabag4,145.0,133.0,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread2.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag3.jpg,,13.141,0.141,0.0,1.0,thread,teabag,S,S,1.0,1.0,thread6,teabag4,
16,,size_choice_confirmation,,html-keyboard-response,16,479323,0.0-1.0-19.0-0.0,0,0,3,,,,,,4.0,,,,,,,,,,,,,,,,,,,14.5,1.359,,,,,,,,,,,
17,,iti,,html-keyboard-response,17,479425,0.0-1.0-20.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,16.5,2.0,,,,,,,,,,,
18,,size_choice,,html-keyboard-response,18,479463,0.0-1.0-22.0,0,0,3,,37.0,,,51.0,5.0,5.0,1.0,3000.0,M-XL,1.0,XL,M,4.0,2.0,tractor,ketchup,tractor8,ketchup1,187.0,90.0,/static/Size_judgement/Stimuli/Size_stims/XL/tractor/tractor10.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup8.jpg,0.0,16.537,0.037,0.0,0.0,ketchup,tractor,M,XL,2.0,4.0,ketchup1,tractor8,
19,,size_choice_confirmation,,html-keyboard-response,19,480939,0.0-1.0-23.0-0.0,0,0,3,,,,,,5.0,,,,,,,,,,,,,,,,,,,18.0,1.463,,,,,,,,,,,
20,,iti,,html-keyboard-response,20,481041,0.0-1.0-24.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,21.0,3.0,,,,,,,,,,,
21,,size_choice,,html-keyboard-response,21,481538,0.0-1.0-26.0,0,0,3,,496.0,,,51.0,6.0,6.0,1.0,1000.0,S-S,,S,S,1.0,1.0,paperclip,teabag,paperclip3,teabag2,112.0,131.0,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip1.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag8.jpg,,21.496,0.496,0.0,0.0,teabag,paperclip,S,S,1.0,1.0,teabag2,paperclip3,
22,,size_choice_confirmation,,html-keyboard-response,22,482547,0.0-1.0-27.0-0.0,0,0,3,,,,,,6.0,,,,,,,,,,,,,,,,,,,22.5,1.004,,,,,,,,,,,
23,,iti,,html-keyboard-response,23,482650,0.0-1.0-28.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,23.5,1.0,,,,,,,,,,,
24,,size_choice,,html-keyboard-response,24,482891,0.0-1.0-30.0,0,0,3,,239.0,,,51.0,7.0,7.0,1.0,1000.0,S-M,0.0,S,M,1.0,2.0,paperclip,hairdryer,paperclip1,hairdryer6,110.0,75.0,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip9.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer8.jpg,1.0,23.739,0.239,0.0,0.0,hairdryer,paperclip,M,S,2.0,1.0,hairdryer6,paperclip1,
25,,size_choice_confirmation,,html-keyboard-response,25,484155,0.0-1.0-31.0-0.0,0,0,3,,,,,,7.0,,,,,,,,,,,,,,,,,,,25.0,1.261,,,,,,,,,,,
26,,iti,,html-keyboard-response,26,484257,0.0-1.0-32.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,26.0,1.0,,,,,,,,,,,
27,,size_choice,,html-keyboard-response,27,484483,0.0-1.0-34.0,0,0,3,,225.0,,,51.0,8.0,8.0,1.0,1500.0,S-L,1.0,L,S,3.0,1.0,garbagecan,die,garbagecan6,die4,35.0,103.0,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan14.jpg,/static/Size_judgement/Stimuli/Size_stims/S/die/die2.jpg,0.0,26.225,0.225,0.0,0.0,die,garbagecan,S,L,1.0,3.0,die4,garbagecan6,
28,,size_choice_confirmation,,html-keyboard-response,28,485763,0.0-1.0-35.0-0.0,0,0,3,,,,,,8.0,,,,,,,,,,,,,,,,,,,27.5,1.275,,,,,,,,,,,
29,,iti,,html-keyboard-response,29,485868,0.0-1.0-36.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.5,,,,,,,,,,,
30,,size_choice,,html-keyboard-response,30,486649,0.0-1.0-38.0,0,0,3,,780.0,,,51.0,9.0,9.0,1.0,1000.0,L-L,,L,L,3.0,3.0,garbagecan,deskchair,garbagecan8,deskchair6,37.0,15.0,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan13.jpg,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair5.jpg,,29.78,0.78,0.0,0.0,deskchair,garbagecan,L,L,3.0,3.0,deskchair6,garbagecan8,
31,,size_choice_confirmation,,html-keyboard-response,31,487371,0.0-1.0-39.0-0.0,0,0,3,,,,,,9.0,,,,,,,,,,,,,,,,,,,30.5,0.72,,,,,,,,,,,
32,,iti,,html-keyboard-response,32,487476,0.0-1.0-40.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,31.5,1.0,,,,,,,,,,,
33,,size_choice,,html-keyboard-response,33,488980,0.0-1.0-42.0,0,0,3,,,,,,10.0,10.0,1.0,1000.0,S-XL,1.0,XL,S,4.0,1.0,crane,screws,crane7,screws3,166.0,122.0,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane3.jpg,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws7.jpg,,33.0,1.5,1.0,,,,,,,,,,
34,,iti,,html-keyboard-response,34,489086,0.0-1.0-44.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,34.0,1.0,,,,,,,,,,,
35,,size_choice,,html-keyboard-response,35,489656,0.0-1.0-46.0,0,0,3,,569.0,,,51.0,11.0,11.0,1.0,2000.0,M-L,1.0,L,M,3.0,2.0,deskchair,coffeemaker,deskchair1,coffeemaker3,10.0,62.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair9.jpg,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker13.jpg,0.0,34.569,0.569,0.0,0.0,coffeemaker,deskchair,M,L,2.0,3.0,coffeemaker3,deskchair1,
36,,size_choice_confirmation,,html-keyboard-response,36,490593,0.0-1.0-47.0-0.0,0,0,3,,,,,,11.0,,,,,,,,,,,,,,,,,,,35.5,0.931,,,,,,,,,,,
37,,iti,,html-keyboard-response,37,490697,0.0-1.0-48.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,37.5,2.0,,,,,,,,,,,
38,,size_choice,,html-keyboard-response,38,491374,0.0-1.0-50.0,0,0,3,,676.0,,,51.0,12.0,12.0,1.0,3500.0,L-L,,L,L,3.0,3.0,deskchair,garbagecan,deskchair2,garbagecan5,11.0,34.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair8.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan3.jpg,,38.176,0.676,0.0,0.0,garbagecan,deskchair,L,L,3.0,3.0,garbagecan5,deskchair2,
39,,size_choice_confirmation,,html-keyboard-response,39,492203,0.0-1.0-51.0-0.0,0,0,3,,,,,,12.0,,,,,,,,,,,,,,,,,,,39.0,0.824,,,,,,,,,,,
40,,iti,,html-keyboard-response,40,492309,0.0-1.0-52.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,42.5,3.5,,,,,,,,,,,
41,,size_choice,,html-keyboard-response,41,492768,0.0-1.0-54.0,0,0,3,,458.0,,,51.0,13.0,13.0,1.0,3500.0,M-L,1.0,L,M,3.0,2.0,dishwasher,coffeemaker,dishwasher6,coffeemaker7,25.0,66.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher6.jpg,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker9.jpg,0.0,42.958,0.458,0.0,0.0,coffeemaker,dishwasher,M,L,2.0,3.0,coffeemaker7,dishwasher6,
42,,size_choice_confirmation,,html-keyboard-response,42,493815,0.0-1.0-55.0-0.0,0,0,3,,,,,,13.0,,,,,,,,,,,,,,,,,,,44.0,1.042,,,,,,,,,,,
43,,iti,,html-keyboard-response,43,493921,0.0-1.0-56.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,47.5,3.5,,,,,,,,,,,
44,,size_choice,,html-keyboard-response,44,494015,0.0-1.0-58.0,0,0,3,,92.0,,,51.0,14.0,14.0,1.0,1000.0,S-L,0.0,S,L,1.0,3.0,screws,deskchair,screws5,deskchair3,124.0,12.0,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws2.jpg,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair10.jpg,1.0,47.592,0.092,0.0,0.0,deskchair,screws,L,S,3.0,1.0,deskchair3,screws5,
