,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
0,True,full_screen,d06022022hr1441,fullscreen,0,2543,0.0-0.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,4352,0.0-1.0-0.0-0.0,0,0,96878,"[{""page_index"":0,""viewing_time"":1147},{""page_index"":1,""viewing_time"":154},{""page_index"":2,""viewing_time"":121},{""page_index"":3,""viewing_time"":141},{""page_index"":4,""viewing_time"":106},{""page_index"":5,""viewing_time"":138}]",1808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,9850,0.0-1.0-0.0-1.0,0,0,96878,,5495.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,10650,0.0-1.0-1.0,0,0,96878,,797.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,11057,0.0-1.0-2.0,0,0,96878,,405.0,,,68.0,0.0,0.0,1.0,1000.0,L-L,,L,L,3.0,3.0,dishwasher,garbagecan,dishwasher9,garbagecan9,28.0,38.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher2.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan12.jpg,1.0,dishwasher,garbagecan,L,L,3.0,3.0,dishwasher9,garbagecan9,,0.405,0.405,0.0,
5,,size_choice_confirmation,,html-keyboard-response,5,12157,0.0-1.0-3.0-0.0,0,0,96878,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.095,,
6,,iti,,html-keyboard-response,6,12261,0.0-1.0-4.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.0,,
7,,size_choice,,html-keyboard-response,7,12466,0.0-1.0-6.0,0,0,96878,,204.0,,,75.0,1.0,1.0,1.0,1000.0,M-M,,M,M,2.0,2.0,handsaw,hairdryer,handsaw1,hairdryer2,80.0,71.0,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw8.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer12.jpg,0.0,hairdryer,handsaw,M,M,2.0,2.0,hairdryer2,handsaw1,,2.704,0.204,0.0,
8,,size_choice_confirmation,,html-keyboard-response,8,13763,0.0-1.0-7.0-0.0,0,0,96878,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.296,,
9,,iti,,html-keyboard-response,9,13864,0.0-1.0-8.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,
10,,size_choice,,html-keyboard-response,10,14042,0.0-1.0-10.0,0,0,96878,,175.0,,,75.0,2.0,2.0,1.0,1500.0,S-XL,0.0,S,XL,1.0,4.0,teabag,dumptruck,teabag7,dumptruck8,136.0,177.0,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag10.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck7.jpg,0.0,dumptruck,teabag,XL,S,4.0,1.0,dumptruck8,teabag7,1.0,5.175,0.175,0.0,
11,,size_choice_confirmation,,html-keyboard-response,11,15373,0.0-1.0-11.0-0.0,0,0,96878,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.325,,
12,,iti,,html-keyboard-response,12,15474,0.0-1.0-12.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.5,,
13,,size_choice,,html-keyboard-response,13,16978,0.0-1.0-14.0,0,0,96878,,,,,,3.0,3.0,1.0,2000.0,S-M,1.0,M,S,2.0,1.0,hairdryer,screws,hairdryer5,screws5,74.0,124.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer15.jpg,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws2.jpg,,,,,,,,,,,9.5,1.5,1.0,
14,,iti,,html-keyboard-response,14,17079,0.0-1.0-16.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,2.0,,
15,,size_choice,,html-keyboard-response,15,18583,0.0-1.0-18.0,0,0,96878,,,,,,4.0,4.0,1.0,3500.0,S-XL,0.0,S,XL,1.0,4.0,teabag,car,teabag4,car9,133.0,158.0,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag3.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/car/car15.jpg,,,,,,,,,,,13.0,1.5,1.0,
16,,iti,,html-keyboard-response,16,18688,0.0-1.0-20.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,3.5,,
17,,size_choice,,html-keyboard-response,17,20194,0.0-1.0-22.0,0,0,96878,,,,,,5.0,5.0,1.0,1500.0,M-L,1.0,L,M,3.0,2.0,cooler,handsaw,cooler10,handsaw7,9.0,86.0,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler6.jpg,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw5.jpg,,,,,,,,,,,18.0,1.5,1.0,
18,,iti,,html-keyboard-response,18,20296,0.0-1.0-24.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,1.5,,
19,,size_choice,,html-keyboard-response,19,21798,0.0-1.0-26.0,0,0,96878,,,,,,6.0,6.0,1.0,2000.0,M-XL,0.0,M,XL,2.0,4.0,basketball,crane,basketball10,crane9,59.0,168.0,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball4.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane8.jpg,,,,,,,,,,,21.0,1.5,1.0,
20,,iti,,html-keyboard-response,20,21900,0.0-1.0-28.0,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2.0,,
21,,size_choice,,html-keyboard-response,21,23404,0.0-1.0-30.0,0,0,96878,,,,,,7.0,7.0,1.0,3000.0,M-XL,0.0,M,XL,2.0,4.0,hairdryer,dumptruck,hairdryer7,dumptruck6,76.0,175.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer3.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck2.jpg,,,,,,,,,,,24.5,1.5,1.0,
