,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
0,True,full_screen,d06012022hr2308,fullscreen,0,4025,0.0-0.0,0,0,97341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,7680,0.0-1.0-0.0-0.0,0,0,97341,"[{""page_index"":0,""viewing_time"":1306},{""page_index"":1,""viewing_time"":223},{""page_index"":2,""viewing_time"":181},{""page_index"":3,""viewing_time"":1236},{""page_index"":4,""viewing_time"":407},{""page_index"":5,""viewing_time"":301}]",3654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,13255,0.0-1.0-0.0-1.0,0,0,97341,,5573.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,14392,0.0-1.0-1.0,0,0,97341,,1134.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,15677,0.0-1.0-2.0,0,0,97341,,1284.0,,,68.0,0.0,0.0,1.0,1500.0,S-M,1.0,M,S,2.0,1.0,hairdryer,paperclip,hairdryer8,paperclip1,77.0,110.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer1.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip9.jpg,1.0,hairdryer,paperclip,M,S,2.0,1.0,hairdryer8,paperclip1,1.0,1.284,1.284,0.0,
5,,size_choice_confirmation,,html-keyboard-response,5,15897,0.0-1.0-3.0-0.0,0,0,97341,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.216,,
6,,iti,,html-keyboard-response,6,15999,0.0-1.0-4.0,0,0,97341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,
7,,size_choice,,html-keyboard-response,7,16369,0.0-1.0-6.0,0,0,97341,,369.0,,,75.0,1.0,1.0,1.0,1000.0,S-XL,0.0,S,XL,1.0,4.0,die,van,die5,van5,104.0,194.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die3.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/van/van3.jpg,0.0,van,die,XL,S,4.0,1.0,van5,die5,1.0,3.369,0.369,0.0,
8,,size_choice_confirmation,,html-keyboard-response,8,17507,0.0-1.0-7.0-0.0,0,0,97341,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1.131,,
9,,iti,,html-keyboard-response,9,17612,0.0-1.0-8.0,0,0,97341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.0,,
10,,size_choice,,html-keyboard-response,10,17807,0.0-1.0-10.0,0,0,97341,,194.0,,,75.0,2.0,2.0,1.0,1000.0,S-L,1.0,L,S,3.0,1.0,dishwasher,thread,dishwasher8,thread1,27.0,140.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher3.jpg,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread7.jpg,0.0,thread,dishwasher,S,L,1.0,3.0,thread1,dishwasher8,0.0,5.694,0.194,0.0,
11,,size_choice_confirmation,,html-keyboard-response,11,19116,0.0-1.0-11.0-0.0,0,0,97341,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.306,,
12,,iti,,html-keyboard-response,12,19219,0.0-1.0-12.0,0,0,97341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,
13,,size_choice,,html-keyboard-response,13,19263,0.0-1.0-14.0,0,0,97341,,43.0,,,68.0,3.0,3.0,1.0,1500.0,M-XL,1.0,XL,M,4.0,2.0,van,basketball,van4,basketball9,193.0,58.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van7.jpg,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball5.jpg,1.0,van,basketball,XL,M,4.0,2.0,van4,basketball9,1.0,8.043,0.043,0.0,
14,,size_choice_confirmation,,html-keyboard-response,14,20724,0.0-1.0-15.0-0.0,0,0,97341,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,1.457,,
15,,iti,,html-keyboard-response,15,20827,0.0-1.0-16.0,0,0,97341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.5,,
16,,size_choice,,html-keyboard-response,16,20876,0.0-1.0-18.0,0,0,97341,,48.0,,,75.0,4.0,4.0,1.0,1500.0,M-XL,1.0,XL,M,4.0,2.0,crane,handsaw,crane4,handsaw4,163.0,83.0,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane5.jpg,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw3.jpg,0.0,handsaw,crane,M,XL,2.0,4.0,handsaw4,crane4,0.0,11.048,0.048,0.0,
17,,size_choice_confirmation,,html-keyboard-response,17,22332,0.0-1.0-19.0-0.0,0,0,97341,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,1.452,,
18,,iti,,html-keyboard-response,18,22435,0.0-1.0-20.0,0,0,97341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.5,,
19,,size_choice,,html-keyboard-response,19,23941,0.0-1.0-22.0,0,0,97341,,,,,,5.0,5.0,1.0,1000.0,M-L,1.0,L,M,3.0,2.0,deskchair,handsaw,deskchair9,handsaw9,18.0,88.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair3.jpg,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw6.jpg,,,,,,,,,,,15.5,1.5,1.0,
20,,iti,,html-keyboard-response,20,24046,0.0-1.0-24.0,0,0,97341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,1.0,,
21,,size_choice,,html-keyboard-response,21,25548,0.0-1.0-26.0,0,0,97341,,,,,,6.0,6.0,1.0,1500.0,M-L,0.0,M,L,2.0,3.0,coffeemaker,mailbox,coffeemaker7,mailbox7,66.0,46.0,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker9.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox7.jpg,,,,,,,,,,,18.0,1.5,1.0,
22,,iti,,html-keyboard-response,22,25653,0.0-1.0-28.0,0,0,97341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,1.5,,
23,,size_choice,,html-keyboard-response,23,27158,0.0-1.0-30.0,0,0,97341,,,,,,7.0,7.0,1.0,1500.0,M-L,1.0,L,M,3.0,2.0,deskchair,ketchup,deskchair10,ketchup3,19.0,92.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair2.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup10.jpg,,,,,,,,,,,21.0,1.5,1.0,
24,,iti,,html-keyboard-response,24,27263,0.0-1.0-32.0,0,0,97341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,1.5,,
25,,size_choice,,html-keyboard-response,25,28769,0.0-1.0-34.0,0,0,97341,,,,,,8.0,8.0,1.0,2000.0,S-L,1.0,L,S,3.0,1.0,cooler,paperclip,cooler8,paperclip3,7.0,112.0,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler5.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip1.jpg,,,,,,,,,,,24.0,1.5,1.0,
26,,iti,,html-keyboard-response,26,28875,0.0-1.0-36.0,0,0,97341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,2.0,,
