,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,accuracy,onset,duration,no_response,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,size_final_tally
0,True,full_screen,d06072022hr1804,fullscreen,0,4523,0.0-0.0,0,0,46320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,31215,0.0-1.0-0.0-0.0,0,0,46320,"[{""page_index"":0,""viewing_time"":6573},{""page_index"":1,""viewing_time"":5718},{""page_index"":2,""viewing_time"":2732},{""page_index"":3,""viewing_time"":4909},{""page_index"":4,""viewing_time"":4937},{""page_index"":5,""viewing_time"":1817}]",26688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,55862,0.0-1.0-0.0-1.0,0,0,46320,,24633.0,"{""Q0"":""True"",""Q1"":""Size on the screen"",""Q2"":""True"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,missed_instruction_checkup,,html-keyboard-response,3,60491,0.0-1.0-0.0-2.0-0.0,0,1,46320,,4624.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_instructions,,instructions,4,79759,0.0-1.0-0.1-0.1,0,0,46320,"[{""page_index"":0,""viewing_time"":3296},{""page_index"":1,""viewing_time"":4001},{""page_index"":2,""viewing_time"":1988},{""page_index"":3,""viewing_time"":2002},{""page_index"":4,""viewing_time"":5964},{""page_index"":5,""viewing_time"":2013}]",19265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,size_comprehension_check,,survey-multi-choice,5,90840,0.0-1.0-0.1-1.1,0,0,46320,,11076.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,html-keyboard-response,6,93830,0.0-1.0-1.0,0,0,46320,,2987.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,size_choice,,html-keyboard-response,7,95382,0.0-1.0-2.0,0,0,46320,,,,,,0.0,0.0,1.0,2000.0,L-L,,L,L,3.0,3.0,deskchair,mailbox,deskchair10,mailbox3,19.0,42.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair2.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox1.jpg,,1.5,1.5,1.0,,,,,,,,,,
8,,iti,,html-keyboard-response,8,97544,0.0-1.0-4.0,0,0,46320,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,3.5,2.0,,,,,,,,,,,
9,,size_choice,,html-keyboard-response,9,98890,0.0-1.0-6.0,0,0,46320,,1343.0,,,75.0,1.0,1.0,1.0,1000.0,S-XL,1.0,XL,S,4.0,1.0,dumptruck,teabag,dumptruck9,teabag3,178.0,132.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck5.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag1.jpg,0.0,4.843,1.343,0.0,0.0,teabag,dumptruck,S,XL,1.0,4.0,teabag3,dumptruck9,
