,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
0,True,full_screen,d06152022hr2216,fullscreen,0,7985,0.0-0.0,0,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,70997,0.0-1.0-0.0-0.0,0,0,99,"[{""page_index"":0,""viewing_time"":7125},{""page_index"":1,""viewing_time"":11171},{""page_index"":2,""viewing_time"":12611},{""page_index"":3,""viewing_time"":20230},{""page_index"":4,""viewing_time"":8422},{""page_index"":5,""viewing_time"":3451}]",63010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,104454,0.0-1.0-0.0-1.0,0,0,99,,33454.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""pointer finger for left and middle finger for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,111849,0.0-1.0-1.0,0,0,99,,7391.0,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,start_run,,html-keyboard-response,4,134657,0.0-1.0-2.0,0,0,99,,22807.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,size_choice,,html-keyboard-response,5,135658,0.0-1.0-3.0,0,0,99,,1000.0,,,50.0,0.0,0.0,1.0,1000.0,M-XL,1.0,XL,M,4.0,2.0,crane,coffeemaker,crane4,coffeemaker10,163.0,69.0,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane5.jpg,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker18.jpg,1.0,crane,coffeemaker,XL,M,4.0,2.0,crane4,coffeemaker10,1.0,0.0,1.0,0.0,
6,,size_choice_confirmation,,html-keyboard-response,6,136160,0.0-1.0-4.0-0.0,0,0,99,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,
7,,iti,,html-keyboard-response,7,137161,0.0-1.0-5.0,0,0,99,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.0,,
8,,size_choice,,html-keyboard-response,8,138083,0.0-1.0-7.0,0,0,99,,920.0,,,51.0,1.0,1.0,1.0,500.0,S-L,0.0,S,L,1.0,3.0,screws,mailbox,screws1,mailbox5,120.0,44.0,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws4.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox4.jpg,0.0,mailbox,screws,L,S,3.0,1.0,mailbox5,screws1,1.0,2.5,0.92,0.0,
9,,size_choice_confirmation,,html-keyboard-response,9,138665,0.0-1.0-8.0-0.0,0,0,99,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,0.58,,
10,,iti,,html-keyboard-response,10,139166,0.0-1.0-9.0,0,0,99,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.5,,
11,,size_choice,,html-keyboard-response,11,140173,0.0-1.0-11.0,0,0,99,,1004.0,,,51.0,2.0,2.0,1.0,1000.0,M-L,0.0,M,L,2.0,3.0,ketchup,cooler,ketchup6,cooler9,95.0,8.0,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup1.jpg,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler7.jpg,0.0,cooler,ketchup,L,M,3.0,2.0,cooler9,ketchup6,1.0,4.5,1.004,0.0,
12,,size_choice_confirmation,,html-keyboard-response,12,140670,0.0-1.0-12.0-0.0,0,0,99,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.504,0.496,,
13,,iti,,html-keyboard-response,13,141673,0.0-1.0-13.0,0,0,99,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,
14,,size_choice,,html-keyboard-response,14,142421,0.0-1.0-15.0,0,0,99,,747.0,,,51.0,3.0,3.0,1.0,1000.0,S-M,0.0,S,M,1.0,2.0,die,basketball,die2,basketball9,101.0,58.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die9.jpg,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball5.jpg,0.0,basketball,die,M,S,2.0,1.0,basketball9,die2,1.0,7.0,0.747,0.0,
15,,size_choice_confirmation,,html-keyboard-response,15,143176,0.0-1.0-16.0-0.0,0,0,99,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.747,0.753,,
16,,iti,,html-keyboard-response,16,144181,0.0-1.0-17.0,0,0,99,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,1.0,,
17,,size_choice,,html-keyboard-response,17,144845,0.0-1.0-19.0,0,0,99,,663.0,,,51.0,4.0,4.0,1.0,500.0,S-XL,0.0,S,XL,1.0,4.0,screws,van,screws4,van1,123.0,190.0,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws6.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/van/van5.jpg,0.0,van,screws,XL,S,4.0,1.0,van1,screws4,1.0,9.5,0.663,0.0,
18,,size_choice_confirmation,,html-keyboard-response,18,145684,0.0-1.0-20.0-0.0,0,0,99,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.163,0.837,,
19,,iti,,html-keyboard-response,19,146185,0.0-1.0-21.0,0,0,99,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.5,,
20,,size_choice,,html-keyboard-response,20,146972,0.0-1.0-23.0,0,0,99,,786.0,,,50.0,5.0,5.0,1.0,1500.0,S-XL,1.0,XL,S,4.0,1.0,tractor,teabag,tractor6,teabag10,185.0,139.0,/static/Size_judgement/Stimuli/Size_stims/XL/tractor/tractor3.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag4.jpg,1.0,tractor,teabag,XL,S,4.0,1.0,tractor6,teabag10,1.0,11.5,0.786,0.0,
