,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,no_response,onset,duration,no_resposne,size_final_tally
0,True,full_screen,d05312022hr2028,fullscreen,0,3451,0.0-0.0,0,0,96511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,37309,0.0-1.0-0.0-0.0,0,0,96511,"[{""page_index"":0,""viewing_time"":3088},{""page_index"":1,""viewing_time"":5173},{""page_index"":2,""viewing_time"":6654},{""page_index"":3,""viewing_time"":3941},{""page_index"":4,""viewing_time"":12075},{""page_index"":5,""viewing_time"":2926}]",33858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,47698,0.0-1.0-0.0-1.0,0,0,96511,,10387.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,48754,0.0-1.0-1.0,0,0,96511,,1050.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,49570,0.0-1.0-2.0,0,0,96511,,814.0,,,68.0,0.0,0.0,1.0,1500.0,S-M,0.0,S,M,1.0,2.0,die,basketball,die2,basketball9,101.0,58.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die9.jpg,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball5.jpg,1.0,die,basketball,S,M,1.0,2.0,die2,basketball9,0.0,0.0,0.814,0.814,,
5,,size_choice_confirmation,,html-keyboard-response,5,50261,0.0-1.0-3.0-0.0,0,0,96511,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.686,,
6,,iti,,html-keyboard-response,6,51765,0.0-1.0-4.0,0,0,96511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,
7,,size_choice,,html-keyboard-response,7,52434,0.0-1.0-6.0,0,0,96511,,667.0,,,75.0,1.0,1.0,1.0,1500.0,S-L,1.0,L,S,3.0,1.0,cooler,die,cooler7,die7,6.0,106.0,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler4.jpg,/static/Size_judgement/Stimuli/Size_stims/S/die/die4.jpg,0.0,die,cooler,S,L,1.0,3.0,die7,cooler7,0.0,0.0,3.667,0.667,,
8,,size_choice_confirmation,,html-keyboard-response,8,53270,0.0-1.0-7.0-0.0,0,0,96511,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,0.833,,
9,,iti,,html-keyboard-response,9,54773,0.0-1.0-8.0,0,0,96511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.5,,
10,,size_choice,,html-keyboard-response,10,55201,0.0-1.0-10.0,0,0,96511,,427.0,,,68.0,2.0,2.0,1.0,3000.0,M-XL,1.0,XL,M,4.0,2.0,car,hairdryer,car3,hairdryer4,152.0,73.0,/static/Size_judgement/Stimuli/Size_stims/XL/car/car4.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer16.jpg,1.0,car,hairdryer,XL,M,4.0,2.0,car3,hairdryer4,1.0,0.0,6.427,0.427,,
11,,size_choice_confirmation,,html-keyboard-response,11,56278,0.0-1.0-11.0-0.0,0,0,96511,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,1.073,,
12,,iti,,html-keyboard-response,12,59280,0.0-1.0-12.0,0,0,96511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,3.0,,
13,,size_choice,,html-keyboard-response,13,59932,0.0-1.0-14.0,0,0,96511,,651.0,,,68.0,3.0,3.0,1.0,1000.0,M-L,1.0,L,M,3.0,2.0,garbagecan,ketchup,garbagecan10,ketchup8,39.0,97.0,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan11.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup5.jpg,1.0,garbagecan,ketchup,L,M,3.0,2.0,garbagecan10,ketchup8,1.0,0.0,11.151,0.651,,
14,,size_choice_confirmation,,html-keyboard-response,14,60784,0.0-1.0-15.0-0.0,0,0,96511,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.849,,
15,,iti,,html-keyboard-response,15,61787,0.0-1.0-16.0,0,0,96511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,,
16,,size_choice,,html-keyboard-response,16,62959,0.0-1.0-18.0,0,0,96511,,1171.0,,,68.0,4.0,4.0,1.0,2000.0,S-S,,S,S,1.0,1.0,thread,teabag,thread6,teabag4,145.0,133.0,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread2.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag3.jpg,1.0,thread,teabag,S,S,1.0,1.0,thread6,teabag4,,0.0,14.171,1.171,,
17,,size_choice_confirmation,,html-keyboard-response,17,63291,0.0-1.0-19.0-0.0,0,0,96511,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,0.329,,
18,,iti,,html-keyboard-response,18,65291,0.0-1.0-20.0,0,0,96511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,2.0,,
