,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response,total_bonus_tally
0,True,full_screen,d06072022hr1205,fullscreen,0,5565,0.0-0.0,0,0,72837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,47462,0.0-1.0-0.0-0.0,0,0,72837,"[{""page_index"":0,""viewing_time"":4323},{""page_index"":1,""viewing_time"":14455},{""page_index"":2,""viewing_time"":14865},{""page_index"":3,""viewing_time"":4272},{""page_index"":4,""viewing_time"":1808},{""page_index"":5,""viewing_time"":2168}]",41892.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,56671,0.0-1.0-0.0-1.0,0,0,72837,,9203.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,57862,0.0-1.0-1.0,0,0,72837,,1186.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,58546,0.0-1.0-2.0,0,0,72837,,676.0,,,68.0,0.0,0.0,1.0,hard,3500.0,2000.0,1.0,60.0,40.0,80.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,60.0,40.0,80.0,40.0,A,B,0.676,0.676,0.0,
5,,rl_choice_confirmation,,html-keyboard-response,5,59392,0.0-1.0-3.0-0.0,0,0,72837,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,1.5,0.824,,
6,,isi,,html-keyboard-response,6,61417,0.0-1.0-5.0,0,0,72837,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
7,,feedback,,html-keyboard-response,7,62440,0.0-1.0-6.0-0.0,0,0,72837,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,4.5,1.0,,
8,,iti,,html-keyboard-response,8,65952,0.0-1.0-7.0,0,0,72837,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,8.0,3.5,,
9,,rl_choice,,html-keyboard-response,9,66483,0.0-1.0-9.0,0,0,72837,,513.0,,,68.0,1.0,1.0,1.0,hard,1000.0,2000.0,1.0,60.0,40.0,80.0,20.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,60.0,40.0,80.0,20.0,A,B,8.513,0.513,0.0,
10,,rl_choice_confirmation,,html-keyboard-response,10,67483,0.0-1.0-10.0-0.0,0,0,72837,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,9.5,0.987,,
11,,isi,,html-keyboard-response,11,69495,0.0-1.0-12.0,0,0,72837,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,11.5,2.0,,
12,,feedback,,html-keyboard-response,12,70519,0.0-1.0-13.0-0.0,0,0,72837,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,12.5,1.0,,
13,,iti,,html-keyboard-response,13,71533,0.0-1.0-14.0,0,0,72837,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,13.5,1.0,,
14,,rl_choice,,html-keyboard-response,14,72337,0.0-1.0-16.0,0,0,72837,,800.0,,,75.0,2.0,2.0,1.0,easy,2000.0,2000.0,0.0,20.0,80.0,40.0,100.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,0.0,80.0,20.0,100.0,40.0,C,D,14.3,0.8,0.0,
15,,rl_choice_confirmation,,html-keyboard-response,15,73058,0.0-1.0-17.0-0.0,0,0,72837,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,15.0,0.7,,
