,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response,total_bonus_tally
0,True,full_screen,d06032022hr1820,fullscreen,0,4760,0.0-0.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,47733,0.0-1.0-0.0-0.0,0,0,47956,"[{""page_index"":0,""viewing_time"":2510},{""page_index"":1,""viewing_time"":17164},{""page_index"":2,""viewing_time"":16011},{""page_index"":3,""viewing_time"":2122},{""page_index"":4,""viewing_time"":3002},{""page_index"":5,""viewing_time"":2160}]",42971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,59750,0.0-1.0-0.0-1.0,0,0,47956,,12009.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,61939,0.0-1.0-1.0,0,0,47956,,2180.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,62955,0.0-1.0-2.0,0,0,47956,,1010.0,,,68.0,0.0,0.0,1.0,hard,1000.0,2000.0,0.0,40.0,60.0,20.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,1.0,40.0,60.0,20.0,60.0,C,D,1.01,1.01,0.0,
5,,rl_choice_confirmation,,html-keyboard-response,5,63450,0.0-1.0-3.0-0.0,0,0,47956,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.5,0.49,,
6,,isi,,html-keyboard-response,6,65453,0.0-1.0-5.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
7,,feedback,,html-keyboard-response,7,66457,0.0-1.0-6.0-0.0,0,0,47956,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,4.5,1.0,,
8,,iti,,html-keyboard-response,8,67459,0.0-1.0-7.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.0,,
9,,rl_choice,,html-keyboard-response,9,68122,0.0-1.0-9.0,0,0,47956,,659.0,,,68.0,1.0,1.0,1.0,easy,1000.0,3000.0,1.0,80.0,20.0,100.0,40.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.0,80.0,20.0,100.0,40.0,B,A,6.159,0.659,0.0,
10,,rl_choice_confirmation,,html-keyboard-response,10,68966,0.0-1.0-10.0-0.0,0,0,47956,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,7.0,0.841,,
11,,isi,,html-keyboard-response,11,71969,0.0-1.0-12.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,3.0,,
12,,feedback,,html-keyboard-response,12,72973,0.0-1.0-13.0-0.0,0,0,47956,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,,
13,,iti,,html-keyboard-response,13,73975,0.0-1.0-14.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,
14,,rl_choice,,html-keyboard-response,14,74403,0.0-1.0-16.0,0,0,47956,,424.0,,,75.0,2.0,2.0,1.0,hard,3000.0,1000.0,0.0,40.0,60.0,20.0,80.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,0.0,60.0,40.0,80.0,20.0,D,C,12.424,0.424,0.0,
15,,rl_choice_confirmation,,html-keyboard-response,15,75482,0.0-1.0-17.0-0.0,0,0,47956,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,13.5,1.076,,
16,,isi,,html-keyboard-response,16,76485,0.0-1.0-19.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,1.0,,
17,,feedback,,html-keyboard-response,17,77489,0.0-1.0-20.0-0.0,0,0,47956,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,15.5,1.0,,
18,,iti,,html-keyboard-response,18,80491,0.0-1.0-21.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,3.0,,
19,,rl_choice,,html-keyboard-response,19,81099,0.0-1.0-23.0,0,0,47956,,604.0,,,75.0,3.0,3.0,1.0,hard,1000.0,3500.0,0.0,40.0,60.0,60.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,0.0,60.0,40.0,60.0,60.0,D,C,19.104,0.604,0.0,
20,,rl_choice_confirmation,,html-keyboard-response,20,81998,0.0-1.0-24.0-0.0,0,0,47956,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,20.0,0.896,,
21,,isi,,html-keyboard-response,21,85501,0.0-1.0-26.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,3.5,,
22,,feedback,,html-keyboard-response,22,86505,0.0-1.0-27.0-0.0,0,0,47956,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,24.5,1.0,,
23,,iti,,html-keyboard-response,23,87508,0.0-1.0-28.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,1.0,,
24,,rl_choice,,html-keyboard-response,24,88049,0.0-1.0-30.0,0,0,47956,,538.0,,,68.0,4.0,4.0,1.0,hard,1500.0,3000.0,0.0,40.0,60.0,20.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,1.0,40.0,60.0,20.0,60.0,C,D,26.038,0.538,0.0,
25,,rl_choice_confirmation,,html-keyboard-response,25,89014,0.0-1.0-31.0-0.0,0,0,47956,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,27.0,0.962,,
26,,isi,,html-keyboard-response,26,92017,0.0-1.0-33.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,3.0,,
27,,feedback,,html-keyboard-response,27,93021,0.0-1.0-34.0-0.0,0,0,47956,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,31.0,1.0,,
28,,iti,,html-keyboard-response,28,94523,0.0-1.0-35.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,1.5,,
29,,rl_choice,,html-keyboard-response,29,94907,0.0-1.0-37.0,0,0,47956,,381.0,,,75.0,5.0,5.0,1.0,easy,2000.0,2000.0,0.0,20.0,80.0,20.0,100.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,0.0,80.0,20.0,100.0,20.0,B,A,32.881,0.381,0.0,
30,,rl_choice_confirmation,,html-keyboard-response,30,96030,0.0-1.0-38.0-0.0,0,0,47956,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,34.0,1.119,,
31,,isi,,html-keyboard-response,31,98033,0.0-1.0-40.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,2.0,,
32,,feedback,,html-keyboard-response,32,99037,0.0-1.0-41.0-0.0,0,0,47956,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,37.0,1.0,,
33,,iti,,html-keyboard-response,33,101040,0.0-1.0-42.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,2.0,,
