,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response,total_bonus_tally
0,True,full_screen,d06032022hr1718,fullscreen,0,3503,0.0-0.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,65414,0.0-1.0-0.0-0.0,0,0,54497,"[{""page_index"":0,""viewing_time"":3986},{""page_index"":1,""viewing_time"":7136},{""page_index"":2,""viewing_time"":41189},{""page_index"":3,""viewing_time"":5565},{""page_index"":4,""viewing_time"":2593},{""page_index"":5,""viewing_time"":1437}]",61907.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,74275,0.0-1.0-0.0-1.0,0,0,54497,,8858.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,77640,0.0-1.0-1.0,0,0,54497,,3360.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,78418,0.0-1.0-2.0,0,0,54497,,775.0,,,68.0,0.0,0.0,1.0,hard,3500.0,2000.0,1.0,60.0,40.0,80.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,60.0,40.0,80.0,40.0,A,B,0.775,0.775,0.0,
5,,rl_choice_confirmation,,html-keyboard-response,5,79148,0.0-1.0-3.0-0.0,0,0,54497,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.5,0.725,,
6,,isi,,html-keyboard-response,6,81151,0.0-1.0-5.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
7,,feedback,,html-keyboard-response,7,82155,0.0-1.0-6.0-0.0,0,0,54497,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,4.5,1.0,,
8,,iti,,html-keyboard-response,8,85658,0.0-1.0-7.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.5,,
9,,rl_choice,,html-keyboard-response,9,86567,0.0-1.0-9.0,0,0,54497,,906.0,,,75.0,1.0,1.0,1.0,hard,1000.0,2000.0,1.0,60.0,40.0,80.0,20.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,0.0,40.0,60.0,20.0,80.0,B,A,8.906,0.906,0.0,
10,,rl_choice_confirmation,,html-keyboard-response,10,87165,0.0-1.0-10.0-0.0,0,0,54497,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,9.5,0.594,,
11,,isi,,html-keyboard-response,11,89168,0.0-1.0-12.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,2.0,,
12,,feedback,,html-keyboard-response,12,90171,0.0-1.0-13.0-0.0,0,0,54497,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,12.5,1.0,,
13,,iti,,html-keyboard-response,13,91174,0.0-1.0-14.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,1.0,,
14,,rl_choice,,html-keyboard-response,14,91959,0.0-1.0-16.0,0,0,54497,,783.0,,,68.0,2.0,2.0,1.0,easy,2000.0,2000.0,0.0,20.0,80.0,40.0,100.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,1.0,20.0,80.0,40.0,100.0,D,C,14.283,0.783,0.0,
15,,rl_choice_confirmation,,html-keyboard-response,15,92679,0.0-1.0-17.0-0.0,0,0,54497,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,15.0,0.717,,
16,,isi,,html-keyboard-response,16,94680,0.0-1.0-19.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,2.0,,
17,,feedback,,html-keyboard-response,17,95684,0.0-1.0-20.0-0.0,0,0,54497,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,18.0,1.0,,
18,,iti,,html-keyboard-response,18,97686,0.0-1.0-21.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,2.0,,
19,,rl_choice,,html-keyboard-response,19,98508,0.0-1.0-23.0,0,0,54497,,820.0,,,75.0,3.0,3.0,1.0,hard,1500.0,1000.0,0.0,40.0,60.0,20.0,60.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,0.0,60.0,40.0,60.0,20.0,A,B,20.82,0.82,0.0,
20,,rl_choice_confirmation,,html-keyboard-response,20,99191,0.0-1.0-24.0-0.0,0,0,54497,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,21.5,0.68,,
21,,isi,,html-keyboard-response,21,100194,0.0-1.0-26.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,1.0,,
22,,feedback,,html-keyboard-response,22,101198,0.0-1.0-27.0-0.0,0,0,54497,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,23.5,1.0,,
23,,iti,,html-keyboard-response,23,102700,0.0-1.0-28.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,1.5,,
24,,rl_choice,,html-keyboard-response,24,103261,0.0-1.0-30.0,0,0,54497,,559.0,,,75.0,4.0,4.0,1.0,hard,1500.0,3000.0,0.0,40.0,60.0,40.0,60.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,0.0,60.0,40.0,60.0,40.0,A,B,25.559,0.559,0.0,
25,,rl_choice_confirmation,,html-keyboard-response,25,104206,0.0-1.0-31.0-0.0,0,0,54497,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,26.5,0.941,,
26,,isi,,html-keyboard-response,26,107208,0.0-1.0-33.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,3.0,,
27,,feedback,,html-keyboard-response,27,108212,0.0-1.0-34.0-0.0,0,0,54497,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,30.5,1.0,,
28,,iti,,html-keyboard-response,28,109714,0.0-1.0-35.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,1.5,,
29,,rl_choice,,html-keyboard-response,29,110789,0.0-1.0-37.0,0,0,54497,,1073.0,,,75.0,5.0,5.0,1.0,easy,1500.0,1500.0,1.0,80.0,20.0,80.0,0.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,0.0,20.0,80.0,0.0,80.0,D,C,33.073,1.073,0.0,
30,,rl_choice_confirmation,,html-keyboard-response,30,111219,0.0-1.0-38.0-0.0,0,0,54497,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,33.5,0.427,,
31,,isi,,html-keyboard-response,31,112721,0.0-1.0-40.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,1.5,,
32,,feedback,,html-keyboard-response,32,113725,0.0-1.0-41.0-0.0,0,0,54497,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,36.0,1.0,,
33,,iti,,html-keyboard-response,33,115228,0.0-1.0-42.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,1.5,,
34,,rl_choice,,html-keyboard-response,34,115749,0.0-1.0-44.0,0,0,54497,,519.0,,,68.0,6.0,6.0,1.0,easy,1000.0,1000.0,1.0,80.0,20.0,60.0,40.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,1.0,80.0,20.0,60.0,40.0,C,D,38.019,0.519,0.0,
35,,rl_choice_confirmation,,html-keyboard-response,35,116734,0.0-1.0-45.0-0.0,0,0,54497,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,39.0,0.981,,
36,,isi,,html-keyboard-response,36,117738,0.0-1.0-47.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,1.0,,
37,,feedback,,html-keyboard-response,37,118742,0.0-1.0-48.0-0.0,0,0,54497,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,41.0,1.0,,
38,,iti,,html-keyboard-response,38,119744,0.0-1.0-49.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,1.0,,
39,,rl_choice,,html-keyboard-response,39,120581,0.0-1.0-51.0,0,0,54497,,834.0,,,75.0,7.0,7.0,1.0,easy,3000.0,2000.0,0.0,20.0,80.0,0.0,80.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,0.0,80.0,20.0,80.0,0.0,C,D,42.834,0.834,0.0,
40,,rl_choice_confirmation,,html-keyboard-response,40,121250,0.0-1.0-52.0-0.0,0,0,54497,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,43.5,0.666,,
41,,isi,,html-keyboard-response,41,123252,0.0-1.0-54.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,2.0,,
42,,feedback,,html-keyboard-response,42,124256,0.0-1.0-55.0-0.0,0,0,54497,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,46.5,1.0,,
43,,iti,,html-keyboard-response,43,127259,0.0-1.0-56.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5,3.0,,
