,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response,total_bonus_tally
0,True,full_screen,d06072022hr1929,fullscreen,0,3454,0.0-0.0,0,0,18170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,18298,0.0-1.0-0.0-0.0,0,0,18170,"[{""page_index"":0,""viewing_time"":2212},{""page_index"":1,""viewing_time"":5611},{""page_index"":2,""viewing_time"":2751},{""page_index"":3,""viewing_time"":1815},{""page_index"":4,""viewing_time"":1155},{""page_index"":5,""viewing_time"":1298}]",14842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,24118,0.0-1.0-0.0-1.0,0,0,18170,,5817.0,"{""Q0"":""True"",""Q1"":""False"",""Q2"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,missed_instruction_checkup,,html-keyboard-response,3,25525,0.0-1.0-0.0-2.0-0.0,0,0,18170,,1406.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_instructions,,instructions,4,39012,0.0-1.0-0.1-0.1,0,0,18170,"[{""page_index"":0,""viewing_time"":1959},{""page_index"":1,""viewing_time"":3368},{""page_index"":2,""viewing_time"":4237},{""page_index"":3,""viewing_time"":1237},{""page_index"":4,""viewing_time"":1200},{""page_index"":5,""viewing_time"":1484}]",13486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,rl_comprehension_check,,survey-multi-choice,5,45111,0.0-1.0-0.1-1.1,0,0,18170,,6096.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,html-keyboard-response,6,45967,0.0-1.0-1.0,0,0,18170,,855.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,rl_choice,,html-keyboard-response,7,46705,0.0-1.0-2.0,0,0,18170,,737.0,,,75.0,0.0,0.0,1.0,hard,1500.0,2000.0,1.0,60.0,40.0,80.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,0.0,40.0,60.0,20.0,80.0,A,B,0.737,0.737,0.0,
8,,rl_choice_confirmation,,html-keyboard-response,8,47470,0.0-1.0-3.0-0.0,0,0,18170,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,1.5,0.763,,
9,,isi,,html-keyboard-response,9,49473,0.0-1.0-5.0,0,0,18170,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
