,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response,total_bonus_tally
0,True,full_screen,d06032022hr1630,fullscreen,0,5146,0.0-0.0,0,0,27789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,65333,0.0-1.0-0.0-0.0,0,0,27789,"[{""page_index"":0,""viewing_time"":7574},{""page_index"":1,""viewing_time"":19129},{""page_index"":2,""viewing_time"":19156},{""page_index"":3,""viewing_time"":5255},{""page_index"":4,""viewing_time"":6418},{""page_index"":5,""viewing_time"":2652}]",60185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,79987,0.0-1.0-0.0-1.0,0,0,27789,,14648.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,83727,0.0-1.0-1.0,0,0,27789,,3734.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,84576,0.0-1.0-2.0,0,0,27789,,845.0,,,75.0,0.0,0.0,1.0,hard,3500.0,2000.0,1.0,60.0,40.0,80.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,0.0,40.0,60.0,40.0,80.0,B,A,0.845,0.845,0.0,
5,,rl_choice_confirmation,,html-keyboard-response,5,85237,0.0-1.0-3.0-0.0,0,0,27789,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.5,0.655,,
6,,isi,,html-keyboard-response,6,87239,0.0-1.0-5.0,0,0,27789,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
7,,feedback,,html-keyboard-response,7,88244,0.0-1.0-6.0-0.0,0,0,27789,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,4.5,1.0,,
8,,iti,,html-keyboard-response,8,91747,0.0-1.0-7.0,0,0,27789,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.5,,
9,,rl_choice,,html-keyboard-response,9,92382,0.0-1.0-9.0,0,0,27789,,631.0,,,68.0,1.0,1.0,1.0,hard,1000.0,2000.0,1.0,60.0,40.0,80.0,20.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,60.0,40.0,80.0,20.0,A,B,8.631,0.631,0.0,
10,,rl_choice_confirmation,,html-keyboard-response,10,93256,0.0-1.0-10.0-0.0,0,0,27789,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,9.5,0.869,,
11,,isi,,html-keyboard-response,11,95259,0.0-1.0-12.0,0,0,27789,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,2.0,,
12,,feedback,,html-keyboard-response,12,96263,0.0-1.0-13.0-0.0,0,0,27789,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,12.5,1.0,,
13,,iti,,html-keyboard-response,13,97266,0.0-1.0-14.0,0,0,27789,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,1.0,,
14,,rl_choice,,html-keyboard-response,14,97741,0.0-1.0-16.0,0,0,27789,,472.0,,,75.0,2.0,2.0,1.0,easy,2000.0,2000.0,0.0,20.0,80.0,40.0,100.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,0.0,80.0,20.0,100.0,40.0,C,D,13.972,0.472,0.0,
