,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,onset,duration,no_response,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,total_bonus_tally
0,True,full_screen,d06032022hr1650,fullscreen,0,4655,0.0-0.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,125727,0.0-1.0-0.0-0.0,0,0,64747,"[{""page_index"":0,""viewing_time"":5540},{""page_index"":1,""viewing_time"":6186},{""page_index"":2,""viewing_time"":5826},{""page_index"":3,""viewing_time"":2962},{""page_index"":4,""viewing_time"":97117},{""page_index"":5,""viewing_time"":3436}]",121069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,142912,0.0-1.0-0.0-1.0,0,0,64747,,17172.0,"{""Q0"":""False"",""Q1"":""True"",""Q2"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,missed_instruction_checkup,,html-keyboard-response,3,146073,0.0-1.0-0.0-2.0-0.0,0,0,64747,,3150.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_instructions,,instructions,4,189551,0.0-1.0-0.1-0.1,0,0,64747,"[{""page_index"":0,""viewing_time"":3792},{""page_index"":1,""viewing_time"":23109},{""page_index"":2,""viewing_time"":11387},{""page_index"":3,""viewing_time"":1870},{""page_index"":4,""viewing_time"":1219},{""page_index"":5,""viewing_time"":2097}]",43474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,rl_comprehension_check,,survey-multi-choice,5,197631,0.0-1.0-0.1-1.1,0,0,64747,,8065.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,html-keyboard-response,6,199485,0.0-1.0-1.0,0,0,64747,,1850.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,rl_choice,,html-keyboard-response,7,200991,0.0-1.0-2.0,0,0,64747,,,,,,0.0,0.0,1.0,hard,2000.0,1000.0,0.0,40.0,60.0,60.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,1.5,1.5,1.0,,,,,,,,
8,,rl_choice_warning,,html-keyboard-response,8,201999,0.0-1.0-4.0-0.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,2.5,1.0,,,,,,,,,
9,,isi,,html-keyboard-response,9,203006,0.0-1.0-5.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,3.5,1.0,,,,,,,,,
10,,iti,,html-keyboard-response,10,205011,0.0-1.0-7.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,5.5,2.0,,,,,,,,,
