,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response,total_bonus_tally
0,True,full_screen,d06012022hr2034,fullscreen,0,4995,0.0-0.0,0,0,50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,8093,0.0-1.0-0.0-0.0,0,0,50795,"[{""page_index"":0,""viewing_time"":1429},{""page_index"":1,""viewing_time"":333},{""page_index"":2,""viewing_time"":217},{""page_index"":3,""viewing_time"":234},{""page_index"":4,""viewing_time"":549},{""page_index"":5,""viewing_time"":335}]",3097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,12893,0.0-1.0-0.0-1.0,0,0,50795,,4798.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,13790,0.0-1.0-1.0,0,0,50795,,893.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,14052,0.0-1.0-2.0,0,0,50795,,260.0,,,68.0,0.0,0.0,1.0,hard,2000.0,1000.0,0.0,40.0,60.0,60.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,1.0,40.0,60.0,60.0,40.0,D,C,0.26,0.26,0.0,
5,,rl_choice_confirmation,,html-keyboard-response,5,15294,0.0-1.0-3.0-0.0,0,0,50795,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.5,1.24,,
6,,isi,,html-keyboard-response,6,15396,0.0-1.0-5.0,0,0,50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.0,,
7,,feedback,,html-keyboard-response,7,16398,0.0-1.0-6.0-0.0,0,0,50795,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,3.5,1.0,,
8,,iti,,html-keyboard-response,8,16499,0.0-1.0-7.0,0,0,50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,2.0,,
9,,rl_choice,,html-keyboard-response,9,16568,0.0-1.0-9.0,0,0,50795,,68.0,,,75.0,1.0,1.0,1.0,hard,1000.0,1000.0,0.0,40.0,60.0,20.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,0.0,60.0,40.0,40.0,20.0,C,D,5.568,0.068,0.0,
10,,rl_choice_confirmation,,html-keyboard-response,10,18004,0.0-1.0-10.0-0.0,0,0,50795,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,7.0,1.432,,
11,,isi,,html-keyboard-response,11,18104,0.0-1.0-12.0,0,0,50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,
12,,feedback,,html-keyboard-response,12,19107,0.0-1.0-13.0-0.0,0,0,50795,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,
13,,iti,,html-keyboard-response,13,19209,0.0-1.0-14.0,0,0,50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,
14,,rl_choice,,html-keyboard-response,14,19359,0.0-1.0-16.0,0,0,50795,,149.0,,,68.0,2.0,2.0,1.0,easy,1000.0,1000.0,0.0,20.0,80.0,40.0,60.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.0,20.0,80.0,40.0,60.0,B,A,10.149,0.149,0.0,
15,,rl_choice_confirmation,,html-keyboard-response,15,20712,0.0-1.0-17.0-0.0,0,0,50795,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,11.5,1.351,,
16,,isi,,html-keyboard-response,16,20816,0.0-1.0-19.0,0,0,50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,1.0,,
17,,feedback,,html-keyboard-response,17,21820,0.0-1.0-20.0-0.0,0,0,50795,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,13.5,1.0,,
18,,iti,,html-keyboard-response,18,21922,0.0-1.0-21.0,0,0,50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,1.0,,
19,,rl_choice,,html-keyboard-response,19,23427,0.0-1.0-23.0,0,0,50795,,,,,,3.0,3.0,1.0,easy,3000.0,3000.0,1.0,80.0,20.0,100.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,,,,,,,,16.0,1.5,1.0,
20,,rl_choice_warning,,html-keyboard-response,20,24431,0.0-1.0-25.0-0.0,0,0,50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,,
21,,isi,,html-keyboard-response,21,24533,0.0-1.0-26.0,0,0,50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,3.0,,
22,,iti,,html-keyboard-response,22,24638,0.0-1.0-28.0,0,0,50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,3.0,,
23,,rl_choice,,html-keyboard-response,23,26143,0.0-1.0-30.0,0,0,50795,,,,,,4.0,4.0,1.0,hard,1000.0,1000.0,0.0,40.0,60.0,40.0,80.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,,,,,,,,24.5,1.5,1.0,
24,,rl_choice_warning,,html-keyboard-response,24,27148,0.0-1.0-32.0-0.0,0,0,50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,1.0,,
25,,isi,,html-keyboard-response,25,27254,0.0-1.0-33.0,0,0,50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,1.0,,
26,,iti,,html-keyboard-response,26,27355,0.0-1.0-35.0,0,0,50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,1.0,,
27,,rl_choice,,html-keyboard-response,27,28859,0.0-1.0-37.0,0,0,50795,,,,,,5.0,5.0,1.0,hard,3000.0,1000.0,1.0,60.0,40.0,60.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,,,,,,,,29.0,1.5,1.0,
