,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response,total_bonus_tally
0,True,full_screen,d06022022hr0058,fullscreen,0,14887,0.0-0.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,17050,0.0-1.0-0.0-0.0,0,0,30311,"[{""page_index"":0,""viewing_time"":1246},{""page_index"":1,""viewing_time"":214},{""page_index"":2,""viewing_time"":177},{""page_index"":3,""viewing_time"":174},{""page_index"":4,""viewing_time"":153},{""page_index"":5,""viewing_time"":191}]",2155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,21830,0.0-1.0-0.0-1.0,0,0,30311,,4777.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,23213,0.0-1.0-1.0,0,0,30311,,1380.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,23577,0.0-1.0-2.0,0,0,30311,,363.0,,,68.0,0.0,0.0,1.0,hard,2000.0,1000.0,0.0,40.0,60.0,60.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,1.0,40.0,60.0,60.0,40.0,D,C,0.363,0.363,0.0,
5,,rl_choice_confirmation,,html-keyboard-response,5,24716,0.0-1.0-3.0-0.0,0,0,30311,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.5,1.137,,
6,,isi,,html-keyboard-response,6,24821,0.0-1.0-5.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.0,,
7,,feedback,,html-keyboard-response,7,25823,0.0-1.0-6.0-0.0,0,0,30311,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,3.5,1.0,,
8,,iti,,html-keyboard-response,8,25929,0.0-1.0-7.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,2.0,,
9,,rl_choice,,html-keyboard-response,9,25990,0.0-1.0-9.0,0,0,30311,,59.0,,,75.0,1.0,1.0,1.0,hard,1000.0,1000.0,0.0,40.0,60.0,20.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,0.0,60.0,40.0,40.0,20.0,C,D,5.559,0.059,0.0,
10,,rl_choice_confirmation,,html-keyboard-response,10,27434,0.0-1.0-10.0-0.0,0,0,30311,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,7.0,1.441,,
11,,isi,,html-keyboard-response,11,27538,0.0-1.0-12.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,
12,,feedback,,html-keyboard-response,12,28540,0.0-1.0-13.0-0.0,0,0,30311,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,
13,,iti,,html-keyboard-response,13,28645,0.0-1.0-14.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,
14,,rl_choice,,html-keyboard-response,14,28923,0.0-1.0-16.0,0,0,30311,,277.0,,,75.0,2.0,2.0,1.0,easy,1000.0,1000.0,0.0,20.0,80.0,40.0,60.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,0.0,80.0,20.0,60.0,40.0,A,B,10.277,0.277,0.0,
15,,rl_choice_confirmation,,html-keyboard-response,15,30148,0.0-1.0-17.0-0.0,0,0,30311,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,11.5,1.223,,
16,,isi,,html-keyboard-response,16,30253,0.0-1.0-19.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,1.0,,
17,,feedback,,html-keyboard-response,17,31255,0.0-1.0-20.0-0.0,0,0,30311,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,13.5,1.0,,
18,,iti,,html-keyboard-response,18,31361,0.0-1.0-21.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,1.0,,
19,,rl_choice,,html-keyboard-response,19,31407,0.0-1.0-23.0,0,0,30311,,45.0,,,75.0,3.0,3.0,1.0,easy,3000.0,3000.0,1.0,80.0,20.0,100.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,0.0,20.0,80.0,40.0,100.0,B,A,14.545,0.045,0.0,
20,,rl_choice_confirmation,,html-keyboard-response,20,32868,0.0-1.0-24.0-0.0,0,0,30311,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,16.0,1.455,,
21,,isi,,html-keyboard-response,21,32972,0.0-1.0-26.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,3.0,,
22,,feedback,,html-keyboard-response,22,33978,0.0-1.0-27.0-0.0,0,0,30311,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,,
23,,iti,,html-keyboard-response,23,34081,0.0-1.0-28.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,3.0,,
24,,rl_choice,,html-keyboard-response,24,34116,0.0-1.0-30.0,0,0,30311,,34.0,,,75.0,4.0,4.0,1.0,hard,1000.0,1000.0,0.0,40.0,60.0,40.0,80.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,0.0,60.0,40.0,80.0,40.0,C,D,23.034,0.034,0.0,
25,,rl_choice_confirmation,,html-keyboard-response,25,35588,0.0-1.0-31.0-0.0,0,0,30311,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,24.5,1.466,,
26,,isi,,html-keyboard-response,26,35693,0.0-1.0-33.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,1.0,,
27,,feedback,,html-keyboard-response,27,36698,0.0-1.0-34.0-0.0,0,0,30311,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,26.5,1.0,,
28,,iti,,html-keyboard-response,28,36801,0.0-1.0-35.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,1.0,,
29,,rl_choice,,html-keyboard-response,29,37009,0.0-1.0-37.0,0,0,30311,,207.0,,,68.0,5.0,5.0,1.0,hard,3000.0,1000.0,1.0,60.0,40.0,60.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,1.0,60.0,40.0,60.0,60.0,C,D,27.707,0.207,0.0,
30,,rl_choice_confirmation,,html-keyboard-response,30,38309,0.0-1.0-38.0-0.0,0,0,30311,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,29.0,1.293,,
31,,isi,,html-keyboard-response,31,38410,0.0-1.0-40.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,,
32,,feedback,,html-keyboard-response,32,39413,0.0-1.0-41.0-0.0,0,0,30311,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,31.0,1.0,,
33,,iti,,html-keyboard-response,33,39514,0.0-1.0-42.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,3.0,,
34,,rl_choice,,html-keyboard-response,34,39525,0.0-1.0-44.0,0,0,30311,,9.0,,,68.0,6.0,6.0,1.0,easy,1000.0,2000.0,0.0,20.0,80.0,40.0,100.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.0,20.0,80.0,40.0,100.0,B,A,34.009,0.009,0.0,
35,,rl_choice_confirmation,,html-keyboard-response,35,41021,0.0-1.0-45.0-0.0,0,0,30311,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,35.5,1.491,,
36,,isi,,html-keyboard-response,36,41125,0.0-1.0-47.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,2.0,,
37,,feedback,,html-keyboard-response,37,42129,0.0-1.0-48.0-0.0,0,0,30311,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,38.5,1.0,,
38,,iti,,html-keyboard-response,38,42234,0.0-1.0-49.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,1.0,,
