,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,onset,duration,no_response,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,total_bonus_tally
0,True,full_screen,d06232022hr2022,fullscreen,0,8729,0.0-0.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,10998,0.0-1.0-0.0-0.0,0,0,1,"[{""page_index"":0,""viewing_time"":1474},{""page_index"":1,""viewing_time"":156},{""page_index"":2,""viewing_time"":156},{""page_index"":3,""viewing_time"":157},{""page_index"":4,""viewing_time"":157},{""page_index"":5,""viewing_time"":166}]",2266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,15487,0.0-1.0-0.0-1.0,0,0,1,,4485.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""pointer finger for left and middle finger for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,16653,0.0-1.0-1.0,0,0,1,,1163.0,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,start_run,,html-keyboard-response,4,17645,0.0-1.0-2.0,0,0,1,,992.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,rl_choice,,html-keyboard-response,5,19148,0.0-1.0-3.0,0,0,1,,,,,,0.0,0.0,1.0,hard,3500.0,2000.0,1.0,60.0,40.0,80.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,0.0,1.5,1.0,,,,,,,,
6,,rl_choice_warning,,html-keyboard-response,6,20153,0.0-1.0-5.0-0.0,0,0,1,,,,,,0.0,,1.0,,,,,,,,,,,,,1.5,1.0,,,,,,,,,
7,,isi,,html-keyboard-response,7,22160,0.0-1.0-6.0,0,0,1,,,,,,0.0,,1.0,,,,,,,,,,,,,2.5,2.0,,,,,,,,,
8,,iti,,html-keyboard-response,8,25667,0.0-1.0-8.0,0,0,1,,,,,,0.0,,1.0,,,,,,,,,,,,,4.5,3.5,,,,,,,,,
9,,rl_choice,,html-keyboard-response,9,27170,0.0-1.0-10.0,0,0,1,,,,,,1.0,1.0,1.0,hard,1000.0,2000.0,1.0,60.0,40.0,80.0,20.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,8.0,1.5,1.0,,,,,,,,
10,,rl_choice_warning,,html-keyboard-response,10,28173,0.0-1.0-12.0-0.0,0,0,1,,,,,,1.0,,1.0,,,,,,,,,,,,,9.5,1.0,,,,,,,,,
11,,isi,,html-keyboard-response,11,30175,0.0-1.0-13.0,0,0,1,,,,,,1.0,,1.0,,,,,,,,,,,,,10.5,2.0,,,,,,,,,
12,,iti,,html-keyboard-response,12,31181,0.0-1.0-15.0,0,0,1,,,,,,1.0,,1.0,,,,,,,,,,,,,12.5,1.0,,,,,,,,,
13,,rl_choice,,html-keyboard-response,13,33528,0.0-1.0-17.0,0,0,1,,,,,,2.0,2.0,1.0,easy,2000.0,2000.0,0.0,20.0,80.0,40.0,100.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,13.5,1.5,1.0,,,,,,,,
14,,rl_choice_warning,,html-keyboard-response,14,35629,0.0-1.0-19.0-0.0,0,0,1,,,,,,2.0,,1.0,,,,,,,,,,,,,15.0,1.0,,,,,,,,,
15,,isi,,html-keyboard-response,15,38996,0.0-1.0-20.0,0,0,1,,,,,,2.0,,1.0,,,,,,,,,,,,,16.0,2.0,,,,,,,,,
16,,iti,,html-keyboard-response,16,41989,0.0-1.0-22.0,0,0,1,,,,,,2.0,,1.0,,,,,,,,,,,,,18.0,2.0,,,,,,,,,
17,,rl_choice,,html-keyboard-response,17,44982,0.0-1.0-24.0,0,0,1,,,,,,3.0,3.0,1.0,hard,1500.0,1000.0,0.0,40.0,60.0,20.0,60.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,20.0,1.5,1.0,,,,,,,,
18,,rl_choice_warning,,html-keyboard-response,18,46741,0.0-1.0-26.0-0.0,0,0,1,,,,,,3.0,,1.0,,,,,,,,,,,,,21.5,1.0,,,,,,,,,
19,,isi,,html-keyboard-response,19,48695,0.0-1.0-27.0,0,0,1,,,,,,3.0,,1.0,,,,,,,,,,,,,22.5,1.0,,,,,,,,,
20,,iti,,html-keyboard-response,20,52108,0.0-1.0-29.0,0,0,1,,,,,,3.0,,1.0,,,,,,,,,,,,,23.5,1.5,,,,,,,,,
21,,rl_choice,,html-keyboard-response,21,55087,0.0-1.0-31.0,0,0,1,,,,,,4.0,4.0,1.0,hard,1500.0,3000.0,0.0,40.0,60.0,40.0,60.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,25.0,1.5,1.0,,,,,,,,
22,,rl_choice_warning,,html-keyboard-response,22,56375,0.0-1.0-33.0-0.0,0,0,1,,,,,,4.0,,1.0,,,,,,,,,,,,,26.5,1.0,,,,,,,,,
23,,isi,,html-keyboard-response,23,60425,0.0-1.0-34.0,0,0,1,,,,,,4.0,,1.0,,,,,,,,,,,,,27.5,3.0,,,,,,,,,
24,,iti,,html-keyboard-response,24,62321,0.0-1.0-36.0,0,0,1,,,,,,4.0,,1.0,,,,,,,,,,,,,30.5,1.5,,,,,,,,,
25,,rl_choice,,html-keyboard-response,25,64278,0.0-1.0-38.0,0,0,1,,,,,,5.0,5.0,1.0,easy,1500.0,1500.0,1.0,80.0,20.0,80.0,0.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,32.0,1.5,1.0,,,,,,,,
26,,rl_choice_warning,,html-keyboard-response,26,66975,0.0-1.0-40.0-0.0,0,0,1,,,,,,5.0,,1.0,,,,,,,,,,,,,33.5,1.0,,,,,,,,,
