,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response,total_bonus_tally
0,True,full_screen,d06022022hr0034,fullscreen,0,2722,0.0-0.0,0,0,31921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,11136,0.0-1.0-0.0-0.0,0,0,31921,"[{""page_index"":0,""viewing_time"":6559},{""page_index"":1,""viewing_time"":903},{""page_index"":2,""viewing_time"":182},{""page_index"":3,""viewing_time"":174},{""page_index"":4,""viewing_time"":164},{""page_index"":5,""viewing_time"":430}]",8412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,15492,0.0-1.0-0.0-1.0,0,0,31921,,4353.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,16565,0.0-1.0-1.0,0,0,31921,,1070.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,17256,0.0-1.0-2.0,0,0,31921,,690.0,,,68.0,0.0,0.0,1.0,hard,3500.0,2000.0,1.0,60.0,40.0,80.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,60.0,40.0,80.0,40.0,A,B,0.69,0.69,0.0,
5,,rl_choice_confirmation,,html-keyboard-response,5,18071,0.0-1.0-3.0-0.0,0,0,31921,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.5,0.81,,
6,,isi,,html-keyboard-response,6,18177,0.0-1.0-5.0,0,0,31921,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
7,,feedback,,html-keyboard-response,7,19183,0.0-1.0-6.0-0.0,0,0,31921,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,4.5,1.0,,
8,,iti,,html-keyboard-response,8,19284,0.0-1.0-7.0,0,0,31921,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.5,,
9,,rl_choice,,html-keyboard-response,9,19463,0.0-1.0-9.0,0,0,31921,,178.0,,,75.0,1.0,1.0,1.0,hard,1000.0,2000.0,1.0,60.0,40.0,80.0,20.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,0.0,40.0,60.0,20.0,80.0,B,A,8.177999999999999,0.17800000000000002,0.0,
10,,rl_choice_confirmation,,html-keyboard-response,10,20791,0.0-1.0-10.0-0.0,0,0,31921,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,9.5,1.3219999999999998,,
11,,isi,,html-keyboard-response,11,20895,0.0-1.0-12.0,0,0,31921,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,2.0,,
12,,feedback,,html-keyboard-response,12,21897,0.0-1.0-13.0-0.0,0,0,31921,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,12.5,1.0,,
13,,iti,,html-keyboard-response,13,22001,0.0-1.0-14.0,0,0,31921,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,1.0,,
14,,rl_choice,,html-keyboard-response,14,22203,0.0-1.0-16.0,0,0,31921,,201.0,,,75.0,2.0,2.0,1.0,easy,2000.0,2000.0,0.0,20.0,80.0,40.0,100.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,0.0,80.0,20.0,100.0,40.0,C,D,13.700999999999999,0.201,0.0,
15,,rl_choice_confirmation,,html-keyboard-response,15,23508,0.0-1.0-17.0-0.0,0,0,31921,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,15.0,1.2990000000000002,,
16,,isi,,html-keyboard-response,16,23611,0.0-1.0-19.0,0,0,31921,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,2.0,,
17,,feedback,,html-keyboard-response,17,24617,0.0-1.0-20.0-0.0,0,0,31921,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,18.0,1.0,,
18,,iti,,html-keyboard-response,18,24718,0.0-1.0-21.0,0,0,31921,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,2.0,,
19,,rl_choice,,html-keyboard-response,19,24736,0.0-1.0-23.0,0,0,31921,,17.0,,,68.0,3.0,3.0,1.0,hard,1500.0,1000.0,0.0,40.0,60.0,20.0,60.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.0,40.0,60.0,20.0,60.0,B,A,20.017,0.017,0.0,
20,,rl_choice_confirmation,,html-keyboard-response,20,26225,0.0-1.0-24.0-0.0,0,0,31921,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,21.5,1.483,,
21,,isi,,html-keyboard-response,21,26329,0.0-1.0-26.0,0,0,31921,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,1.0,,
22,,feedback,,html-keyboard-response,22,27331,0.0-1.0-27.0-0.0,0,0,31921,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,23.5,1.0,,
23,,iti,,html-keyboard-response,23,27433,0.0-1.0-28.0,0,0,31921,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,1.5,,
24,,rl_choice,,html-keyboard-response,24,27475,0.0-1.0-30.0,0,0,31921,,41.0,,,68.0,4.0,4.0,1.0,hard,1500.0,3000.0,0.0,40.0,60.0,40.0,60.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.0,40.0,60.0,40.0,60.0,B,A,25.041,0.040999999999999995,0.0,
25,,rl_choice_confirmation,,html-keyboard-response,25,28937,0.0-1.0-31.0-0.0,0,0,31921,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,26.5,1.459,,
26,,isi,,html-keyboard-response,26,29041,0.0-1.0-33.0,0,0,31921,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,3.0,,
27,,feedback,,html-keyboard-response,27,30043,0.0-1.0-34.0-0.0,0,0,31921,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,30.5,1.0,,
28,,iti,,html-keyboard-response,28,30148,0.0-1.0-35.0,0,0,31921,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,1.5,,
29,,rl_choice,,html-keyboard-response,29,31652,0.0-1.0-37.0,0,0,31921,,,,,,5.0,5.0,1.0,easy,1500.0,1500.0,1.0,80.0,20.0,80.0,0.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,,,,,,,,33.5,1.5,1.0,
