,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,onset,duration,no_response,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,total_bonus_tally
0,True,full_screen,d06072022hr1217,fullscreen,0,10551,0.0-0.0,0,0,76870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,67717,0.0-1.0-0.0-0.0,0,0,76870,"[{""page_index"":0,""viewing_time"":10148},{""page_index"":1,""viewing_time"":23783},{""page_index"":2,""viewing_time"":11744},{""page_index"":3,""viewing_time"":7800},{""page_index"":4,""viewing_time"":2208},{""page_index"":5,""viewing_time"":1480}]",57164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,83005,0.0-1.0-0.0-1.0,0,0,76870,,15283.0,"{""Q0"":""True"",""Q1"":""False"",""Q2"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,missed_instruction_checkup,,html-keyboard-response,3,86467,0.0-1.0-0.0-2.0-0.0,0,0,76870,,3455.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_instructions,,instructions,4,119300,0.0-1.0-0.1-0.1,0,0,76870,"[{""page_index"":0,""viewing_time"":4014},{""page_index"":1,""viewing_time"":10256},{""page_index"":2,""viewing_time"":12576},{""page_index"":3,""viewing_time"":2592},{""page_index"":4,""viewing_time"":1912},{""page_index"":5,""viewing_time"":1480}]",32831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,rl_comprehension_check,,survey-multi-choice,5,129141,0.0-1.0-0.1-1.1,0,0,76870,,9836.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,html-keyboard-response,6,131776,0.0-1.0-1.0,0,0,76870,,2629.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,rl_choice,,html-keyboard-response,7,133279,0.0-1.0-2.0,0,0,76870,,,,,,0.0,0.0,1.0,hard,1500.0,2000.0,1.0,60.0,40.0,80.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.5,1.5,1.0,,,,,,,,
8,,rl_choice_warning,,html-keyboard-response,8,134282,0.0-1.0-4.0-0.0,0,0,76870,,,,,,0.0,,1.0,,,,,,,,,,,,,2.5,1.0,,,,,,,,,
9,,isi,,html-keyboard-response,9,136284,0.0-1.0-5.0,0,0,76870,,,,,,0.0,,1.0,,,,,,,,,,,,,4.5,2.0,,,,,,,,,
10,,iti,,html-keyboard-response,10,137787,0.0-1.0-7.0,0,0,76870,,,,,,0.0,,1.0,,,,,,,,,,,,,6.0,1.5,,,,,,,,,
11,,rl_choice,,html-keyboard-response,11,138474,0.0-1.0-9.0,0,0,76870,,686.0,,,68.0,1.0,1.0,1.0,easy,1500.0,3000.0,1.0,80.0,20.0,60.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,6.686,0.686,0.0,1.0,80.0,20.0,60.0,40.0,D,C,
12,,rl_choice_confirmation,,html-keyboard-response,12,139292,0.0-1.0-10.0-0.0,0,0,76870,,,,,,1.0,,1.0,,,,,,,,,,,,,7.5,0.814,,,,,,,,,
