,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response,total_bonus_tally
0,True,full_screen,d06072022hr1441,fullscreen,0,4960,0.0-0.0,0,0,64144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,34545,0.0-1.0-0.0-0.0,0,0,64144,"[{""page_index"":0,""viewing_time"":4517},{""page_index"":1,""viewing_time"":7354},{""page_index"":2,""viewing_time"":9818},{""page_index"":3,""viewing_time"":2933},{""page_index"":4,""viewing_time"":2093},{""page_index"":5,""viewing_time"":2863}]",29581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,45520,0.0-1.0-0.0-1.0,0,0,64144,,10964.0,"{""Q0"":""True"",""Q1"":""False"",""Q2"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,missed_instruction_checkup,,html-keyboard-response,3,48029,0.0-1.0-0.0-2.0-0.0,0,0,64144,,2501.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_instructions,,instructions,4,86644,0.0-1.0-0.1-0.1,0,0,64144,"[{""page_index"":0,""viewing_time"":3944},{""page_index"":1,""viewing_time"":9065},{""page_index"":2,""viewing_time"":17991},{""page_index"":3,""viewing_time"":2719},{""page_index"":4,""viewing_time"":2670},{""page_index"":5,""viewing_time"":2224}]",38614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,rl_comprehension_check,,survey-multi-choice,5,95850,0.0-1.0-0.1-1.1,0,0,64144,,9189.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,html-keyboard-response,6,98934,0.0-1.0-1.0,0,0,64144,,3078.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,rl_choice,,html-keyboard-response,7,99656,0.0-1.0-2.0,0,0,64144,,715.0,,,68.0,0.0,0.0,1.0,hard,1000.0,2000.0,0.0,40.0,60.0,20.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,1.0,40.0,60.0,20.0,60.0,C,D,0.715,0.715,0.0,
8,,rl_choice_confirmation,,html-keyboard-response,8,100448,0.0-1.0-3.0-0.0,0,0,64144,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,1.5,0.785,,
9,,isi,,html-keyboard-response,9,102450,0.0-1.0-5.0,0,0,64144,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
