,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response,total_bonus_tally
0,True,full_screen,d06042022hr0227,fullscreen,0,4604,0.0-0.0,0,0,26705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,493801,0.0-1.0-0.0-0.0,0,0,26705,"[{""page_index"":0,""viewing_time"":4986},{""page_index"":1,""viewing_time"":12155},{""page_index"":2,""viewing_time"":17311},{""page_index"":3,""viewing_time"":4374},{""page_index"":4,""viewing_time"":446752},{""page_index"":5,""viewing_time"":3611}]",489190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,502017,0.0-1.0-0.0-1.0,0,0,26705,,8192.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,573044,0.0-1.0-1.0,0,0,26705,,71015.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,573798,0.0-1.0-2.0,0,0,26705,,747.0,,,68.0,0.0,0.0,1.0,hard,3500.0,2000.0,1.0,60.0,40.0,80.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,60.0,40.0,80.0,40.0,A,B,0.747,0.747,0.0,
5,,rl_choice_confirmation,,html-keyboard-response,5,574563,0.0-1.0-3.0-0.0,0,0,26705,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.5,0.753,,
6,,isi,,html-keyboard-response,6,576567,0.0-1.0-5.0,0,0,26705,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
7,,feedback,,html-keyboard-response,7,577622,0.0-1.0-6.0-0.0,0,0,26705,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,4.5,1.0,,
8,,iti,,html-keyboard-response,8,581138,0.0-1.0-7.0,0,0,26705,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.5,,
9,,rl_choice,,html-keyboard-response,9,581714,0.0-1.0-9.0,0,0,26705,,571.0,,,75.0,1.0,1.0,1.0,hard,1000.0,2000.0,1.0,60.0,40.0,80.0,20.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,0.0,40.0,60.0,20.0,80.0,B,A,8.571,0.571,0.0,
10,,rl_choice_confirmation,,html-keyboard-response,10,582652,0.0-1.0-10.0-0.0,0,0,26705,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,9.5,0.929,,
