,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,onset,duration,no_response,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,total_bonus_tally
0,True,full_screen,d06032022hr1612,fullscreen,0,3217,0.0-0.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,32684,0.0-1.0-0.0-0.0,0,0,59346,"[{""page_index"":0,""viewing_time"":6784},{""page_index"":1,""viewing_time"":5521},{""page_index"":2,""viewing_time"":3892},{""page_index"":3,""viewing_time"":1998},{""page_index"":2,""viewing_time"":7854},{""page_index"":3,""viewing_time"":1184},{""page_index"":4,""viewing_time"":941},{""page_index"":5,""viewing_time"":1290}]",29465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,43008,0.0-1.0-0.0-1.0,0,0,59346,,10312.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,44509,0.0-1.0-1.0,0,0,59346,,1483.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,46014,0.0-1.0-2.0,0,0,59346,,,,,,0.0,0.0,1.0,hard,1500.0,2000.0,1.0,60.0,40.0,80.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.5,1.5,1.0,,,,,,,,
5,,rl_choice_warning,,html-keyboard-response,5,47019,0.0-1.0-4.0-0.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,2.5,1.0,,,,,,,,,
6,,isi,,html-keyboard-response,6,49023,0.0-1.0-5.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,4.5,2.0,,,,,,,,,
7,,iti,,html-keyboard-response,7,50527,0.0-1.0-7.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,6.0,1.5,,,,,,,,,
8,,rl_choice,,html-keyboard-response,8,51320,0.0-1.0-9.0,0,0,59346,,790.0,,,75.0,1.0,1.0,1.0,easy,1500.0,3000.0,1.0,80.0,20.0,60.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,6.79,0.79,0.0,0.0,20.0,80.0,40.0,60.0,C,D,
9,,rl_choice_confirmation,,html-keyboard-response,9,52034,0.0-1.0-10.0-0.0,0,0,59346,,,,,,1.0,,,,,,,,,,,,,,,7.5,0.71,,,,,,,,,
