,event,trial,time,PID
0,blur,0,5062,3
1,focus,0,14375,3
2,fullscreenenter,0,16319,3
3,fullscreenexit,1,30739,3
4,blur,1,33629,3
5,focus,1,175474,3
6,blur,1,178388,3
7,focus,1,197554,3
8,blur,1,198625,3
9,focus,1,229962,3
10,blur,1,230997,3
11,focus,1,233160,3
12,blur,1,234567,3
13,focus,1,235422,3
14,blur,1,236380,3
15,focus,1,275118,3
16,blur,1,276106,3
17,focus,1,278560,3
18,blur,47,312285,3
19,focus,65,324376,3
20,blur,78,331062,3
21,focus,113,355498,3
