,event,trial,time,PID
0,fullscreenenter,0,1324,10
1,fullscreenexit,1,3335,10
2,blur,44,100469,10
3,focus,46,105404,10
4,blur,50,109396,10
5,focus,51,111454,10
6,blur,72,136310,10
7,focus,73,137677,10
8,blur,135,202611,10
9,focus,137,204960,10
10,blur,204,287628,10
11,focus,204,294474,10
12,blur,285,392352,10
13,focus,286,393825,10
14,blur,292,400248,10
15,focus,297,407197,10
16,blur,300,410712,10
17,focus,303,414363,10
18,blur,310,422151,10
19,focus,315,429151,10
20,blur,319,435952,10
21,focus,320,438484,10
22,blur,322,440702,10
23,focus,325,446078,10
24,blur,326,449416,10
25,focus,328,453306,10
26,blur,332,458215,10
27,focus,336,462741,10
28,blur,338,464327,10
29,focus,341,467702,10
30,blur,345,471930,10
31,focus,346,473067,10
32,blur,349,475144,10
33,focus,353,482405,10
34,blur,358,487314,10
35,focus,359,490092,10
36,blur,388,520831,10
37,focus,389,521854,10
38,blur,400,539008,10
39,focus,400,548224,10
