,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice
0,True,full_screen,d06122022hr0129,fullscreen,0,16941,0.0-0.0,0,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,24209,0.0-1.0-0.0-0.0,0,0,77,"[{""page_index"":0,""viewing_time"":1821},{""page_index"":1,""viewing_time"":202},{""page_index"":2,""viewing_time"":509},{""page_index"":3,""viewing_time"":527},{""page_index"":4,""viewing_time"":962},{""page_index"":5,""viewing_time"":1343},{""page_index"":6,""viewing_time"":1899}]",7264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,28734,0.0-1.0-0.0-1.0,0,0,77,,4519.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""pointer finger for left and middle finger for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,36510,0.0-1.0-1.0,0,0,77,,7772.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,choice,,html-keyboard-response,4,37487,0.0-1.0-2.0-0.0-0.0,0,0,77,,973.0,,,50.0,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,1.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,0.0,0.0,0.973,
5,,confirmation,,html-keyboard-response,5,38019,0.0-1.0-2.0-0.0-1.0-0.0,0,0,77,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.973,0.527,
6,,isi,,html-keyboard-response,6,39525,0.0-1.0-2.0-0.0-2.0,0,0,77,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,
7,,feedback,,html-keyboard-response,7,40532,0.0-1.0-2.0-0.0-3.0-0.0,0,0,77,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,
8,,iti,,html-keyboard-response,8,41537,0.0-1.0-2.0-0.0-5.0,0,0,77,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,
9,,choice,,html-keyboard-response,9,41935,0.0-1.0-3.0-0.0-0.0,0,0,77,,393.0,,,50.0,1.0,1.0,3000.0,1500.0,1.0,0.0,0.0,20-40,,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,22829064.thl.jpg,bagels_cinnraisin_large.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829064.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,0.0,5.0,0.393,
10,,confirmation,,html-keyboard-response,10,43047,0.0-1.0-3.0-0.0-1.0-0.0,0,0,77,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.393,1.107,
11,,isi,,html-keyboard-response,11,46052,0.0-1.0-3.0-0.0-2.0,0,0,77,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,3.0,
12,,feedback,,html-keyboard-response,12,47061,0.0-1.0-3.0-0.0-3.0-0.0,0,0,77,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,1.0,
13,,iti,,html-keyboard-response,13,48565,0.0-1.0-3.0-0.0-5.0,0,0,77,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,1.5,
14,,choice,,html-keyboard-response,14,48890,0.0-1.0-4.0-0.0-0.0,0,0,77,,321.0,,,50.0,2.0,2.0,2000.0,3000.0,1.0,0.0,0.0,60-80,,0.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/26373355.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg,1.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,0.0,12.0,0.321,
15,,confirmation,,html-keyboard-response,15,50075,0.0-1.0-4.0-0.0-1.0-0.0,0,0,77,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.321,1.179,
16,,isi,,html-keyboard-response,16,52083,0.0-1.0-4.0-0.0-2.0,0,0,77,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,2.0,
17,,feedback,,html-keyboard-response,17,53087,0.0-1.0-4.0-0.0-3.0-0.0,0,0,77,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,1.0,
18,,iti,,html-keyboard-response,18,56093,0.0-1.0-4.0-0.0-5.0,0,0,77,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,3.0,
19,,choice,,html-keyboard-response,19,56596,0.0-1.0-5.0-0.0-0.0,0,0,77,,499.0,,,50.0,3.0,3.0,1000.0,2000.0,1.0,0.0,0.0,40-80,,0.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,22829184.thl.jpg,Aalarmclock2.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829184.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/Aalarmclock2.jpg,1.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,0.0,19.5,0.499,
20,,confirmation,,html-keyboard-response,20,57602,0.0-1.0-5.0-0.0-1.0-0.0,0,0,77,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.999,1.001,
21,,isi,,html-keyboard-response,21,58609,0.0-1.0-5.0-0.0-2.0,0,0,77,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,1.0,
22,,feedback,,html-keyboard-response,22,59614,0.0-1.0-5.0-0.0-3.0-0.0,0,0,77,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,
23,,iti,,html-keyboard-response,23,61621,0.0-1.0-5.0-0.0-5.0,0,0,77,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2.0,
24,,choice,,html-keyboard-response,24,61988,0.0-1.0-6.0-0.0-0.0,0,0,77,,362.0,,,50.0,4.0,4.0,2500.0,2500.0,1.0,0.0,0.0,20-60,,1.0,dumbbell,bagel,80.0,20.0,dumbbell3,bagel3,100.0,40.0,41K7QVRX50L._SS500_.jpg,photo-169.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/41K7QVRX50L._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/photo-169.jpg,1.0,dumbbell,bagel,80.0,20.0,dumbbell3,bagel3,100.0,40.0,0.0,25.0,0.362,1.0
25,,confirmation,,html-keyboard-response,25,63131,0.0-1.0-6.0-0.0-1.0-0.0,0,0,77,,,,,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.362,1.138,
26,,isi,,html-keyboard-response,26,65635,0.0-1.0-6.0-0.0-2.0,0,0,77,,,,,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,2.5,
27,,feedback,,html-keyboard-response,27,66643,0.0-1.0-6.0-0.0-3.0-0.0,0,0,77,,,,,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.0,
28,,iti,,html-keyboard-response,28,69147,0.0-1.0-6.0-0.0-5.0,0,0,77,,,,,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,2.5,
29,,practice_over,,html-keyboard-response,29,72282,0.0-1.0-6.0-0.0-6.0-0.0,0,0,77,,3133.0,,,83.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,start_run,,html-keyboard-response,30,74584,0.0-1.0-6.0-0.0-6.0-1.0,0,0,77,,2298.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,choice,,html-keyboard-response,31,75555,0.0-1.0-7.0-0.0-0.0,0,0,77,,967.0,,,50.0,5.0,5.0,1000.0,1500.0,0.0,1.0,0.0,40-40,,,door knob,desk,40.0,40.0,door knob15,desk9,60.0,20.0,Legacy_oval.jpg,desk 189dr96dr chr.jpg,/static/Category_learning/Stimuli/Experimental_stims/door knob/Legacy_oval.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/desk 189dr96dr chr.jpg,1.0,door knob,desk,40.0,40.0,door knob15,desk9,60.0,20.0,0.0,0.0,0.967,
32,,confirmation,,html-keyboard-response,32,76093,0.0-1.0-7.0-0.0-1.0-0.0,0,0,77,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.967,0.533,
33,,isi,,html-keyboard-response,33,77101,0.0-1.0-7.0-0.0-2.0,0,0,77,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.0,
34,,feedback,,html-keyboard-response,34,78107,0.0-1.0-7.0-0.0-3.0-0.0,0,0,77,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.0,
35,,iti,,html-keyboard-response,35,79613,0.0-1.0-7.0-0.0-5.0,0,0,77,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.5,
36,,choice,,html-keyboard-response,36,80096,0.0-1.0-8.0-0.0-0.0,0,0,77,,478.0,,,50.0,6.0,6.0,1500.0,2000.0,0.0,1.0,0.0,40-80,,1.0,pen,door knob,80.0,40.0,pen12,door knob7,100.0,20.0,pen02.jpg,doorknob2.jpg,/static/Category_learning/Stimuli/Experimental_stims/pen/pen02.jpg,/static/Category_learning/Stimuli/Experimental_stims/door knob/doorknob2.jpg,1.0,pen,door knob,80.0,40.0,pen12,door knob7,100.0,20.0,0.0,5.0,0.478,
37,,confirmation,,html-keyboard-response,37,81123,0.0-1.0-8.0-0.0-1.0-0.0,0,0,77,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.478,1.022,
38,,isi,,html-keyboard-response,38,82628,0.0-1.0-8.0-0.0-2.0,0,0,77,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.5,
39,,feedback,,html-keyboard-response,39,83633,0.0-1.0-8.0-0.0-3.0-0.0,0,0,77,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,
40,,iti,,html-keyboard-response,40,85640,0.0-1.0-8.0-0.0-5.0,0,0,77,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,
41,,choice,,html-keyboard-response,41,85881,0.0-1.0-9.0-0.0-0.0,0,0,77,,237.0,,,50.0,7.0,7.0,1000.0,1500.0,0.0,1.0,0.0,80-80,,,seashell,pen,80.0,80.0,seashell3,pen3,80.0,80.0,coquillage.jpg,pen08.jpg,/static/Category_learning/Stimuli/Experimental_stims/seashell/coquillage.jpg,/static/Category_learning/Stimuli/Experimental_stims/pen/pen08.jpg,1.0,seashell,pen,80.0,80.0,seashell3,pen3,80.0,80.0,0.0,11.0,0.237,
42,,confirmation,,html-keyboard-response,42,87148,0.0-1.0-9.0-0.0-1.0-0.0,0,0,77,,,,,,7.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.237,1.263,
43,,isi,,html-keyboard-response,43,88154,0.0-1.0-9.0-0.0-2.0,0,0,77,,,,,,7.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,1.0,
44,,feedback,,html-keyboard-response,44,89158,0.0-1.0-9.0-0.0-3.0-0.0,0,0,77,,,,,,7.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,1.0,
45,,iti,,html-keyboard-response,45,90667,0.0-1.0-9.0-0.0-5.0,0,0,77,,,,,,7.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,1.5,
46,,choice,,html-keyboard-response,46,90731,0.0-1.0-10.0-0.0-0.0,0,0,77,,60.0,,,50.0,8.0,8.0,1000.0,2000.0,0.0,1.0,0.0,60-60,,,lipstick,key chain,60.0,60.0,lipstick10,key chain1,60.0,80.0,21K0D7QKFAL._SS500_.jpg,jm05s16.jpg,/static/Category_learning/Stimuli/Experimental_stims/lipstick/21K0D7QKFAL._SS500_.jpg,/static/Category_learning/Stimuli/Experimental_stims/key chain/jm05s16.jpg,1.0,lipstick,key chain,60.0,60.0,lipstick10,key chain1,60.0,80.0,0.0,16.0,0.06,
47,,confirmation,,html-keyboard-response,47,92178,0.0-1.0-10.0-0.0-1.0-0.0,0,0,77,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.06,1.44,
48,,isi,,html-keyboard-response,48,93185,0.0-1.0-10.0-0.0-2.0,0,0,77,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,1.0,
49,,feedback,,html-keyboard-response,49,94192,0.0-1.0-10.0-0.0-3.0-0.0,0,0,77,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,1.0,
50,,iti,,html-keyboard-response,50,96201,0.0-1.0-10.0-0.0-5.0,0,0,77,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,2.0,
51,,choice,,html-keyboard-response,51,96430,0.0-1.0-11.0-0.0-0.0,0,0,77,,224.0,,,50.0,9.0,9.0,3000.0,1500.0,0.0,1.0,0.0,60-80,,0.0,makeup compact,patio lounge chair,60.0,80.0,makeup compact4,patio lounge chair15,40.0,60.0,262668_fpx.jpg,phpThumb.jpg,/static/Category_learning/Stimuli/Experimental_stims/makeup compact/262668_fpx.jpg,/static/Category_learning/Stimuli/Experimental_stims/patio lounge chair/phpThumb.jpg,1.0,makeup compact,patio lounge chair,60.0,80.0,makeup compact4,patio lounge chair15,40.0,60.0,0.0,21.5,0.224,
52,,confirmation,,html-keyboard-response,52,97711,0.0-1.0-11.0-0.0-1.0-0.0,0,0,77,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.724,1.276,
53,,isi,,html-keyboard-response,53,100718,0.0-1.0-11.0-0.0-2.0,0,0,77,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,3.0,
54,,feedback,,html-keyboard-response,54,101723,0.0-1.0-11.0-0.0-3.0-0.0,0,0,77,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,1.0,
