,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
0,True,full_screen,d06032022hr1727,fullscreen,0,11356,0.0-0.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,45687,0.0-1.0-0.0-0.0,0,0,54497,"[{""page_index"":0,""viewing_time"":3514},{""page_index"":1,""viewing_time"":7339},{""page_index"":2,""viewing_time"":2179},{""page_index"":3,""viewing_time"":3649},{""page_index"":4,""viewing_time"":16184},{""page_index"":5,""viewing_time"":1462}]",34329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,55493,0.0-1.0-0.0-1.0,0,0,54497,,9803.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,60391,0.0-1.0-1.0,0,0,54497,,4895.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,61542,0.0-1.0-2.0,0,0,54497,,1145.0,,,68.0,0.0,0.0,1.0,1500.0,S-M,1.0,M,S,2.0,1.0,hairdryer,paperclip,hairdryer8,paperclip1,77.0,110.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer1.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip9.jpg,1.0,hairdryer,paperclip,M,S,2.0,1.0,hairdryer8,paperclip1,1.0,1.145,1.145,0.0,
5,,size_choice_confirmation,,html-keyboard-response,5,61902,0.0-1.0-3.0-0.0,0,0,54497,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.355,,
6,,iti,,html-keyboard-response,6,63405,0.0-1.0-4.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,
7,,size_choice,,html-keyboard-response,7,64283,0.0-1.0-6.0,0,0,54497,,876.0,,,75.0,1.0,1.0,1.0,1000.0,S-XL,0.0,S,XL,1.0,4.0,die,van,die5,van5,104.0,194.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die3.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/van/van3.jpg,0.0,van,die,XL,S,4.0,1.0,van5,die5,1.0,3.876,0.876,0.0,
8,,size_choice_confirmation,,html-keyboard-response,8,64910,0.0-1.0-7.0-0.0,0,0,54497,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,0.624,,
9,,iti,,html-keyboard-response,9,65916,0.0-1.0-8.0,0,0,54497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.0,,
