,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,accuracy,onset,duration,no_response,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,size_final_tally
0,True,full_screen,d06072022hr1222,fullscreen,0,6131,0.0-0.0,0,0,87963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,22761,0.0-1.0-0.0-0.0,0,0,87963,"[{""page_index"":0,""viewing_time"":4789},{""page_index"":1,""viewing_time"":3679},{""page_index"":2,""viewing_time"":4124},{""page_index"":3,""viewing_time"":1901},{""page_index"":4,""viewing_time"":1479},{""page_index"":5,""viewing_time"":655}]",16628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,32906,0.0-1.0-0.0-1.0,0,0,87963,,10141.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,33813,0.0-1.0-1.0,0,0,87963,,903.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,35316,0.0-1.0-2.0,0,0,87963,,,,,,0.0,0.0,1.0,1500.0,S-M,0.0,S,M,1.0,2.0,die,basketball,die2,basketball9,101.0,58.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die9.jpg,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball5.jpg,,1.5,1.5,1.0,,,,,,,,,,
5,,iti,,html-keyboard-response,5,36818,0.0-1.0-4.0,0,0,87963,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,3.0,1.5,,,,,,,,,,,
6,,size_choice,,html-keyboard-response,6,37941,0.0-1.0-6.0,0,0,87963,,1120.0,,,68.0,1.0,1.0,1.0,1500.0,S-L,1.0,L,S,3.0,1.0,cooler,die,cooler7,die7,6.0,106.0,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler4.jpg,/static/Size_judgement/Stimuli/Size_stims/S/die/die4.jpg,1.0,4.12,1.12,0.0,1.0,cooler,die,L,S,3.0,1.0,cooler7,die7,
7,,size_choice_confirmation,,html-keyboard-response,7,38325,0.0-1.0-7.0-0.0,0,0,87963,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,4.5,0.38,,,,,,,,,,,
8,,iti,,html-keyboard-response,8,39826,0.0-1.0-8.0,0,0,87963,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,6.0,1.5,,,,,,,,,,,
9,,size_choice,,html-keyboard-response,9,40693,0.0-1.0-10.0,0,0,87963,,864.0,,,68.0,2.0,2.0,1.0,3000.0,M-XL,1.0,XL,M,4.0,2.0,car,hairdryer,car3,hairdryer4,152.0,73.0,/static/Size_judgement/Stimuli/Size_stims/XL/car/car4.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer16.jpg,1.0,6.864,0.864,0.0,1.0,car,hairdryer,XL,M,4.0,2.0,car3,hairdryer4,
10,,size_choice_confirmation,,html-keyboard-response,10,41331,0.0-1.0-11.0-0.0,0,0,87963,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,7.5,0.636,,,,,,,,,,,
11,,iti,,html-keyboard-response,11,44333,0.0-1.0-12.0,0,0,87963,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,10.5,3.0,,,,,,,,,,,
12,,size_choice,,html-keyboard-response,12,45287,0.0-1.0-14.0,0,0,87963,,949.0,,,68.0,3.0,3.0,1.0,1000.0,M-L,1.0,L,M,3.0,2.0,garbagecan,ketchup,garbagecan10,ketchup8,39.0,97.0,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan11.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup5.jpg,1.0,11.449,0.949,0.0,1.0,garbagecan,ketchup,L,M,3.0,2.0,garbagecan10,ketchup8,
