,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
0,True,full_screen,d06072022hr1435,fullscreen,0,4199,0.0-0.0,0,0,64144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,37536,0.0-1.0-0.0-0.0,0,0,64144,"[{""page_index"":0,""viewing_time"":4630},{""page_index"":1,""viewing_time"":6164},{""page_index"":2,""viewing_time"":3247},{""page_index"":3,""viewing_time"":3946},{""page_index"":4,""viewing_time"":12615},{""page_index"":5,""viewing_time"":2731}]",33334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,54711,0.0-1.0-0.0-1.0,0,0,64144,,17164.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,56427,0.0-1.0-1.0,0,0,64144,,1707.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,57585,0.0-1.0-2.0,0,0,64144,,1155.0,,,68.0,0.0,0.0,1.0,2000.0,L-L,,L,L,3.0,3.0,deskchair,mailbox,deskchair10,mailbox3,19.0,42.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair2.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox1.jpg,1.0,deskchair,mailbox,L,L,3.0,3.0,deskchair10,mailbox3,,1.155,1.155,0.0,
5,,size_choice_confirmation,,html-keyboard-response,5,57941,0.0-1.0-3.0-0.0,0,0,64144,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.345,,
6,,iti,,html-keyboard-response,6,59945,0.0-1.0-4.0,0,0,64144,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
7,,size_choice,,html-keyboard-response,7,60980,0.0-1.0-6.0,0,0,64144,,1031.0,,,68.0,1.0,1.0,1.0,1000.0,S-XL,1.0,XL,S,4.0,1.0,dumptruck,teabag,dumptruck9,teabag3,178.0,132.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck5.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag1.jpg,1.0,dumptruck,teabag,XL,S,4.0,1.0,dumptruck9,teabag3,1.0,4.531,1.031,0.0,
8,,size_choice_confirmation,,html-keyboard-response,8,61453,0.0-1.0-7.0-0.0,0,0,64144,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.469,,
9,,iti,,html-keyboard-response,9,62457,0.0-1.0-8.0,0,0,64144,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,
10,,size_choice,,html-keyboard-response,10,63467,0.0-1.0-10.0,0,0,64144,,1006.0,,,68.0,2.0,2.0,1.0,1000.0,M-L,1.0,L,M,3.0,2.0,mailbox,ketchup,mailbox9,ketchup7,48.0,96.0,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox9.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup4.jpg,1.0,mailbox,ketchup,L,M,3.0,2.0,mailbox9,ketchup7,1.0,7.006,1.006,0.0,
11,,size_choice_confirmation,,html-keyboard-response,11,63965,0.0-1.0-11.0-0.0,0,0,64144,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,0.494,,
12,,iti,,html-keyboard-response,12,64968,0.0-1.0-12.0,0,0,64144,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,1.0,,
13,,size_choice,,html-keyboard-response,13,65793,0.0-1.0-14.0,0,0,64144,,820.0,,,68.0,3.0,3.0,1.0,2000.0,M-XL,1.0,XL,M,4.0,2.0,dumptruck,ketchup,dumptruck4,ketchup2,173.0,91.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck1.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup9.jpg,1.0,dumptruck,ketchup,XL,M,4.0,2.0,dumptruck4,ketchup2,1.0,9.32,0.82,0.0,
14,,size_choice_confirmation,,html-keyboard-response,14,66479,0.0-1.0-15.0-0.0,0,0,64144,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.68,,
15,,iti,,html-keyboard-response,15,68482,0.0-1.0-16.0,0,0,64144,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,,
16,,size_choice,,html-keyboard-response,16,69430,0.0-1.0-18.0,0,0,64144,,944.0,,,75.0,4.0,4.0,1.0,1000.0,L-XL,0.0,L,XL,3.0,4.0,garbagecan,dumptruck,garbagecan9,dumptruck7,38.0,176.0,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan12.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck6.jpg,0.0,dumptruck,garbagecan,XL,L,4.0,3.0,dumptruck7,garbagecan9,1.0,12.944,0.944,0.0,
17,,size_choice_confirmation,,html-keyboard-response,17,69991,0.0-1.0-19.0-0.0,0,0,64144,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,0.556,,
18,,iti,,html-keyboard-response,18,70994,0.0-1.0-20.0,0,0,64144,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,1.0,,
19,,size_choice,,html-keyboard-response,19,71771,0.0-1.0-22.0,0,0,64144,,773.0,,,68.0,5.0,5.0,1.0,1500.0,S-L,1.0,L,S,3.0,1.0,mailbox,thread,mailbox8,thread8,47.0,147.0,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox10.jpg,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread10.jpg,1.0,mailbox,thread,L,S,3.0,1.0,mailbox8,thread8,1.0,15.273,0.773,0.0,
20,,size_choice_confirmation,,html-keyboard-response,20,72502,0.0-1.0-23.0-0.0,0,0,64144,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.727,,
21,,iti,,html-keyboard-response,21,74005,0.0-1.0-24.0,0,0,64144,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,1.5,,
22,,size_choice,,html-keyboard-response,22,74943,0.0-1.0-26.0,0,0,64144,,934.0,,,68.0,6.0,6.0,1.0,2000.0,S-L,1.0,L,S,3.0,1.0,garbagecan,teabag,garbagecan6,teabag10,35.0,139.0,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan14.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag4.jpg,1.0,garbagecan,teabag,L,S,3.0,1.0,garbagecan6,teabag10,1.0,18.434,0.934,0.0,
23,,size_choice_confirmation,,html-keyboard-response,23,75513,0.0-1.0-27.0-0.0,0,0,64144,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,0.566,,
24,,iti,,html-keyboard-response,24,77517,0.0-1.0-28.0,0,0,64144,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2.0,,
25,,size_choice,,html-keyboard-response,25,78192,0.0-1.0-30.0,0,0,64144,,671.0,,,68.0,7.0,7.0,1.0,1000.0,M-XL,1.0,XL,M,4.0,2.0,car,ketchup,car2,ketchup5,151.0,94.0,/static/Size_judgement/Stimuli/Size_stims/XL/car/car3.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup3.jpg,1.0,car,ketchup,XL,M,4.0,2.0,car2,ketchup5,1.0,21.671,0.671,0.0,
26,,size_choice_confirmation,,html-keyboard-response,26,79025,0.0-1.0-31.0-0.0,0,0,64144,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,0.829,,
27,,iti,,html-keyboard-response,27,80028,0.0-1.0-32.0,0,0,64144,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,1.0,,
28,,size_choice,,html-keyboard-response,28,80947,0.0-1.0-34.0,0,0,64144,,913.0,,,68.0,8.0,8.0,1.0,1000.0,XL-XL,,XL,XL,4.0,4.0,van,car,van3,car4,192.0,153.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van6.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/car/car6.jpg,1.0,van,car,XL,XL,4.0,4.0,van3,car4,,24.413,0.913,0.0,
29,,size_choice_confirmation,,html-keyboard-response,29,81539,0.0-1.0-35.0-0.0,0,0,64144,,,,,,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.587,,
30,,iti,,html-keyboard-response,30,82542,0.0-1.0-36.0,0,0,64144,,,,,,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,1.0,,
31,,size_choice,,html-keyboard-response,31,83233,0.0-1.0-38.0,0,0,64144,,687.0,,,75.0,9.0,9.0,1.0,1500.0,S-XL,0.0,S,XL,1.0,4.0,teabag,dumptruck,teabag8,dumptruck8,137.0,177.0,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag7.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck7.jpg,0.0,dumptruck,teabag,XL,S,4.0,1.0,dumptruck8,teabag8,1.0,26.687,0.687,0.0,
32,,size_choice_confirmation,,html-keyboard-response,32,84052,0.0-1.0-39.0-0.0,0,0,64144,,,,,,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,0.813,,
33,,iti,,html-keyboard-response,33,85555,0.0-1.0-40.0,0,0,64144,,,,,,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.5,,
34,,size_choice,,html-keyboard-response,34,86584,0.0-1.0-42.0,0,0,64144,,1024.0,,,68.0,10.0,10.0,1.0,1000.0,M-M,,M,M,2.0,2.0,handsaw,ketchup,handsaw4,ketchup9,83.0,98.0,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw3.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup7.jpg,1.0,handsaw,ketchup,M,M,2.0,2.0,handsaw4,ketchup9,,30.024,1.024,0.0,
35,,size_choice_confirmation,,html-keyboard-response,35,87065,0.0-1.0-43.0-0.0,0,0,64144,,,,,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,0.476,,
36,,iti,,html-keyboard-response,36,88068,0.0-1.0-44.0,0,0,64144,,,,,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,1.0,,
37,,size_choice,,html-keyboard-response,37,89154,0.0-1.0-46.0,0,0,64144,,1082.0,,,75.0,11.0,11.0,1.0,1000.0,M-L,0.0,M,L,2.0,3.0,hairdryer,garbagecan,hairdryer6,garbagecan3,75.0,32.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer8.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan7.jpg,0.0,garbagecan,hairdryer,L,M,3.0,2.0,garbagecan3,hairdryer6,1.0,32.582,1.082,0.0,
38,,size_choice_confirmation,,html-keyboard-response,38,89576,0.0-1.0-47.0-0.0,0,0,64144,,,,,,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.418,,
39,,iti,,html-keyboard-response,39,90579,0.0-1.0-48.0,0,0,64144,,,,,,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,1.0,,
40,,size_choice,,html-keyboard-response,40,91441,0.0-1.0-50.0,0,0,64144,,857.0,,,68.0,12.0,12.0,1.0,2000.0,M-L,0.0,M,L,2.0,3.0,coffeemaker,garbagecan,coffeemaker5,garbagecan4,64.0,33.0,/static/Size_judgement/Stimuli/Size_stims/M/coffeemaker/coffeemaker10.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan6.jpg,1.0,coffeemaker,garbagecan,M,L,2.0,3.0,coffeemaker5,garbagecan4,0.0,34.857,0.857,0.0,
41,,size_choice_confirmation,,html-keyboard-response,41,92088,0.0-1.0-51.0-0.0,0,0,64144,,,,,,12.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,0.643,,
42,,iti,,html-keyboard-response,42,94091,0.0-1.0-52.0,0,0,64144,,,,,,12.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,2.0,,
43,,size_choice,,html-keyboard-response,43,94964,0.0-1.0-54.0,0,0,64144,,868.0,,,75.0,13.0,13.0,1.0,1000.0,S-L,0.0,S,L,1.0,3.0,screws,garbagecan,screws10,garbagecan2,129.0,31.0,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws9.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan5.jpg,0.0,garbagecan,screws,L,S,3.0,1.0,garbagecan2,screws10,1.0,38.368,0.868,0.0,
44,,size_choice_confirmation,,html-keyboard-response,44,95601,0.0-1.0-55.0-0.0,0,0,64144,,,,,,13.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,0.632,,
45,,iti,,html-keyboard-response,45,96603,0.0-1.0-56.0,0,0,64144,,,,,,13.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,1.0,,
46,,size_choice,,html-keyboard-response,46,97440,0.0-1.0-58.0,0,0,64144,,832.0,,,68.0,14.0,14.0,1.0,1000.0,M-XL,1.0,XL,M,4.0,2.0,dumptruck,hairdryer,dumptruck5,hairdryer4,174.0,73.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck3.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer16.jpg,1.0,dumptruck,hairdryer,XL,M,4.0,2.0,dumptruck5,hairdryer4,1.0,40.832,0.832,0.0,
