,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
0,True,full_screen,d06032022hr1628,fullscreen,0,48953,0.0-0.0,0,0,58537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,60373,0.0-1.0-0.0-0.0,0,0,58537,"[{""page_index"":0,""viewing_time"":5384},{""page_index"":1,""viewing_time"":1214},{""page_index"":2,""viewing_time"":978},{""page_index"":3,""viewing_time"":2154},{""page_index"":4,""viewing_time"":934},{""page_index"":5,""viewing_time"":751}]",11417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,67222,0.0-1.0-0.0-1.0,0,0,58537,,6839.0,"{""Q0"":""True"",""Q1"":""Size on the screen"",""Q2"":""True"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,missed_instruction_checkup,,html-keyboard-response,3,68789,0.0-1.0-0.0-2.0-0.0,0,1,58537,,1562.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_instructions,,instructions,4,76219,0.0-1.0-0.1-0.1,0,0,58537,"[{""page_index"":0,""viewing_time"":2701},{""page_index"":1,""viewing_time"":736},{""page_index"":2,""viewing_time"":472},{""page_index"":3,""viewing_time"":2009},{""page_index"":4,""viewing_time"":792},{""page_index"":5,""viewing_time"":718}]",7429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,size_comprehension_check,,survey-multi-choice,5,85293,0.0-1.0-0.1-1.1,0,0,58537,,9068.0,"{""Q0"":""True"",""Q1"":""Size on the screen"",""Q2"":""False"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,missed_instruction_checkup,,html-keyboard-response,6,86674,0.0-1.0-0.1-2.1-0.1,0,1,58537,,1376.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,size_instructions,,instructions,7,103371,0.0-1.0-0.2-0.2,0,0,58537,"[{""page_index"":0,""viewing_time"":3529},{""page_index"":1,""viewing_time"":5920},{""page_index"":2,""viewing_time"":830},{""page_index"":3,""viewing_time"":1072},{""page_index"":4,""viewing_time"":953},{""page_index"":3,""viewing_time"":209},{""page_index"":2,""viewing_time"":2215},{""page_index"":3,""viewing_time"":584},{""page_index"":4,""viewing_time"":665},{""page_index"":5,""viewing_time"":719}]",16697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,size_comprehension_check,,survey-multi-choice,8,116405,0.0-1.0-0.2-1.2,0,0,58537,,13029.0,"{""Q0"":""False"",""Q1"":""Size on the screen"",""Q2"":""True"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,missed_instruction_checkup,,html-keyboard-response,9,117792,0.0-1.0-0.2-2.2-0.2,0,1,58537,,1385.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,size_instructions,,instructions,10,126621,0.0-1.0-0.3-0.3,0,0,58537,"[{""page_index"":0,""viewing_time"":2916},{""page_index"":1,""viewing_time"":3760},{""page_index"":2,""viewing_time"":527},{""page_index"":3,""viewing_time"":538},{""page_index"":4,""viewing_time"":502},{""page_index"":5,""viewing_time"":585}]",8829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,size_comprehension_check,,survey-multi-choice,11,132742,0.0-1.0-0.3-1.3,0,0,58537,,6115.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,html-keyboard-response,12,133976,0.0-1.0-1.0,0,0,58537,,1231.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,size_choice,,html-keyboard-response,13,135486,0.0-1.0-2.0,0,0,58537,,1501.0,,,68.0,0.0,0.0,1.0,1500.0,S-M,1.0,M,S,2.0,1.0,hairdryer,paperclip,hairdryer8,paperclip1,77.0,110.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer1.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip9.jpg,1.0,hairdryer,paperclip,M,S,2.0,1.0,hairdryer8,paperclip1,1.0,1.501,1.501,0.0,
14,,size_choice_confirmation,,html-keyboard-response,14,135495,0.0-1.0-3.0-0.0,0,0,58537,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,-0.001,,
15,,iti,,html-keyboard-response,15,136998,0.0-1.0-4.0,0,0,58537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,
16,,size_choice,,html-keyboard-response,16,138303,0.0-1.0-6.0,0,0,58537,,1302.0,,,68.0,1.0,1.0,1.0,1000.0,S-XL,0.0,S,XL,1.0,4.0,die,van,die5,van5,104.0,194.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die3.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/van/van3.jpg,1.0,die,van,S,XL,1.0,4.0,die5,van5,0.0,4.302,1.302,0.0,
17,,size_choice_confirmation,,html-keyboard-response,17,138506,0.0-1.0-7.0-0.0,0,0,58537,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,0.198,,
18,,iti,,html-keyboard-response,18,139509,0.0-1.0-8.0,0,0,58537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.0,,
19,,size_choice,,html-keyboard-response,19,141013,0.0-1.0-10.0,0,0,58537,,,,,,2.0,2.0,1.0,1000.0,S-L,1.0,L,S,3.0,1.0,dishwasher,thread,dishwasher8,thread1,27.0,140.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher3.jpg,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread7.jpg,,,,,,,,,,,7.0,1.5,1.0,
20,,iti,,html-keyboard-response,20,142017,0.0-1.0-12.0,0,0,58537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,
21,,size_choice,,html-keyboard-response,21,143523,0.0-1.0-14.0,0,0,58537,,,,,,3.0,3.0,1.0,1500.0,M-XL,1.0,XL,M,4.0,2.0,van,basketball,van4,basketball9,193.0,58.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van7.jpg,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball5.jpg,,,,,,,,,,,9.5,1.5,1.0,
