,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
0,True,full_screen,d06072022hr1158,fullscreen,0,2950,0.0-0.0,0,0,44248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,24603,0.0-1.0-0.0-0.0,0,0,44248,"[{""page_index"":0,""viewing_time"":8099},{""page_index"":1,""viewing_time"":2934},{""page_index"":2,""viewing_time"":1652},{""page_index"":3,""viewing_time"":2254},{""page_index"":4,""viewing_time"":2305},{""page_index"":5,""viewing_time"":4407}]",21652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,38287,0.0-1.0-0.0-1.0,0,0,44248,,13681.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,39179,0.0-1.0-1.0,0,0,44248,,890.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,40122,0.0-1.0-2.0,0,0,44248,,942.0,,,75.0,0.0,0.0,1.0,2000.0,L-L,,L,L,3.0,3.0,deskchair,mailbox,deskchair10,mailbox3,19.0,42.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair2.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox1.jpg,0.0,mailbox,deskchair,L,L,3.0,3.0,mailbox3,deskchair10,,0.942,0.942,0.0,
5,,size_choice_confirmation,,html-keyboard-response,5,40683,0.0-1.0-3.0-0.0,0,0,44248,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.558,,
6,,iti,,html-keyboard-response,6,42684,0.0-1.0-4.0,0,0,44248,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
7,,size_choice,,html-keyboard-response,7,43930,0.0-1.0-6.0,0,0,44248,,1245.0,,,68.0,1.0,1.0,1.0,1000.0,S-XL,1.0,XL,S,4.0,1.0,dumptruck,teabag,dumptruck9,teabag3,178.0,132.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck5.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag1.jpg,1.0,dumptruck,teabag,XL,S,4.0,1.0,dumptruck9,teabag3,1.0,4.745,1.245,0.0,
8,,size_choice_confirmation,,html-keyboard-response,8,44186,0.0-1.0-7.0-0.0,0,0,44248,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.255,,
9,,iti,,html-keyboard-response,9,45187,0.0-1.0-8.0,0,0,44248,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,
