trial_num,block,pair_type,iti,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,delta_size,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img,right_img,left_img_path,right_img_path
0,1,S-S,1000,NA,S,S,1,1,0,thread,paperclip,thread7,paperclip1,146,110,thread3.jpg,paperclip9.jpg,Stimuli/Size_stims/S/thread/thread3.jpg,Stimuli/Size_stims/S/paperclip/paperclip9.jpg
1,1,M-L,2500,1,L,M,3,2,1,mailbox,ketchup,mailbox9,ketchup7,48,96,mailbox9.jpg,ketchup4.jpg,Stimuli/Size_stims/L/mailbox/mailbox9.jpg,Stimuli/Size_stims/M/ketchup/ketchup4.jpg
2,1,L-L,1000,NA,L,L,3,3,0,dishwasher,cooler,dishwasher4,cooler3,23,2,dishwasher5.jpg,cooler2.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher5.jpg,Stimuli/Size_stims/L/cooler/cooler2.jpg
3,1,L-XL,500,0,L,XL,3,4,-1,garbagecan,dumptruck,garbagecan9,dumptruck7,38,176,garbagecan12.jpg,dumptruck6.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan12.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck6.jpg
4,1,S-L,500,1,L,S,3,1,2,cooler,paperclip,cooler8,paperclip6,7,115,cooler5.jpg,paperclip6.jpg,Stimuli/Size_stims/L/cooler/cooler5.jpg,Stimuli/Size_stims/S/paperclip/paperclip6.jpg
5,1,XL-XL,1000,NA,XL,XL,4,4,0,van,car,van3,car4,192,153,van6.jpg,car6.jpg,Stimuli/Size_stims/XL/van/van6.jpg,Stimuli/Size_stims/XL/car/car6.jpg
6,1,M-XL,2500,1,XL,M,4,2,2,van,hairdryer,van8,hairdryer9,197,78,van10.jpg,hairdryer5.jpg,Stimuli/Size_stims/XL/van/van10.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer5.jpg
7,1,XL-XL,3500,NA,XL,XL,4,4,0,crane,car,crane10,car8,169,157,crane9.jpg,car14.jpg,Stimuli/Size_stims/XL/crane/crane9.jpg,Stimuli/Size_stims/XL/car/car14.jpg
8,1,S-XL,500,1,XL,S,4,1,3,dumptruck,die,dumptruck1,die6,170,105,dumptruck9.jpg,die1.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck9.jpg,Stimuli/Size_stims/S/die/die1.jpg
9,1,M-XL,500,1,XL,M,4,2,2,dumptruck,hairdryer,dumptruck10,hairdryer8,179,77,dumptruck4.jpg,hairdryer1.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck4.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer1.jpg
10,1,M-XL,1500,1,XL,M,4,2,2,tractor,ketchup,tractor10,ketchup6,189,95,tractor8.jpg,ketchup1.jpg,Stimuli/Size_stims/XL/tractor/tractor8.jpg,Stimuli/Size_stims/M/ketchup/ketchup1.jpg
11,1,M-L,500,1,L,M,3,2,1,garbagecan,handsaw,garbagecan1,handsaw9,30,88,garbagecan4.jpg,handsaw6.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan4.jpg,Stimuli/Size_stims/M/handsaw/handsaw6.jpg
12,1,S-L,2000,1,L,S,3,1,2,cooler,screws,cooler4,screws5,3,124,cooler3.jpg,screws2.jpg,Stimuli/Size_stims/L/cooler/cooler3.jpg,Stimuli/Size_stims/S/screws/screws2.jpg
13,1,S-L,500,1,L,S,3,1,2,cooler,thread,cooler1,thread2,0,141,cooler8.jpg,thread6.jpg,Stimuli/Size_stims/L/cooler/cooler8.jpg,Stimuli/Size_stims/S/thread/thread6.jpg
14,1,M-XL,1500,0,M,XL,2,4,-2,basketball,tractor,basketball7,tractor6,56,185,basketball6.jpg,tractor3.jpg,Stimuli/Size_stims/M/basketball/basketball6.jpg,Stimuli/Size_stims/XL/tractor/tractor3.jpg
15,1,M-L,500,0,M,L,2,3,-1,coffeemaker,cooler,coffeemaker3,cooler7,62,6,coffeemaker13.jpg,cooler4.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker13.jpg,Stimuli/Size_stims/L/cooler/cooler4.jpg
16,1,M-M,1500,NA,M,M,2,2,0,hairdryer,basketball,hairdryer3,basketball3,72,52,hairdryer17.jpg,basketball10.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer17.jpg,Stimuli/Size_stims/M/basketball/basketball10.jpg
17,1,S-L,500,0,S,L,1,3,-2,die,mailbox,die10,mailbox10,109,49,die6.jpg,mailbox8.jpg,Stimuli/Size_stims/S/die/die6.jpg,Stimuli/Size_stims/L/mailbox/mailbox8.jpg
18,1,M-XL,3500,1,XL,M,4,2,2,crane,coffeemaker,crane5,coffeemaker2,164,61,crane1.jpg,coffeemaker12.jpg,Stimuli/Size_stims/XL/crane/crane1.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker12.jpg
19,1,M-XL,1500,1,XL,M,4,2,2,car,handsaw,car6,handsaw2,155,81,car12.jpg,handsaw9.jpg,Stimuli/Size_stims/XL/car/car12.jpg,Stimuli/Size_stims/M/handsaw/handsaw9.jpg
20,1,M-M,500,NA,M,M,2,2,0,handsaw,ketchup,handsaw4,ketchup9,83,98,handsaw3.jpg,ketchup7.jpg,Stimuli/Size_stims/M/handsaw/handsaw3.jpg,Stimuli/Size_stims/M/ketchup/ketchup7.jpg
21,1,S-XL,5500,1,XL,S,4,1,3,crane,screws,crane8,screws2,167,121,crane10.jpg,screws5.jpg,Stimuli/Size_stims/XL/crane/crane10.jpg,Stimuli/Size_stims/S/screws/screws5.jpg
22,1,M-L,500,1,L,M,3,2,1,garbagecan,hairdryer,garbagecan10,hairdryer7,39,76,garbagecan11.jpg,hairdryer3.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan11.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer3.jpg
23,1,S-L,2500,1,L,S,3,1,2,deskchair,paperclip,deskchair1,paperclip5,10,114,deskchair9.jpg,paperclip2.jpg,Stimuli/Size_stims/L/deskchair/deskchair9.jpg,Stimuli/Size_stims/S/paperclip/paperclip2.jpg
24,1,M-XL,4000,0,M,XL,2,4,-2,coffeemaker,van,coffeemaker9,van4,68,193,coffeemaker7.jpg,van7.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker7.jpg,Stimuli/Size_stims/XL/van/van7.jpg
25,1,L-L,2000,NA,L,L,3,3,0,deskchair,mailbox,deskchair10,mailbox3,19,42,deskchair2.jpg,mailbox1.jpg,Stimuli/Size_stims/L/deskchair/deskchair2.jpg,Stimuli/Size_stims/L/mailbox/mailbox1.jpg
