"trial_num","block","pair_type","iti","isi","high_size_on_left","left_size_group","right_size_group","left_size_num","right_size_num","delta_size","left_category","right_category","left_exemplar","right_exemplar","left_index","right_index","left_img","right_img","left_img_path","right_img_path"
0,1,"L-XL",1500,3000,0,"L","XL",3,4,-1,"dishwasher","crane","dishwasher8","crane6",27,165,"dishwasher3.jpg","crane2.jpg","Stimuli/Size_stims/L/dishwasher/dishwasher3.jpg","Stimuli/Size_stims/XL/crane/crane2.jpg"
1,1,"S-L",1000,1500,1,"L","S",3,1,2,"garbagecan","screws","garbagecan8","screws1",37,120,"garbagecan13.jpg","screws4.jpg","Stimuli/Size_stims/L/garbagecan/garbagecan13.jpg","Stimuli/Size_stims/S/screws/screws4.jpg"
2,1,"M-L",1500,2000,0,"M","L",2,3,-1,"coffeemaker","mailbox","coffeemaker10","mailbox7",69,46,"coffeemaker18.jpg","mailbox7.jpg","Stimuli/Size_stims/M/coffeemaker/coffeemaker18.jpg","Stimuli/Size_stims/L/mailbox/mailbox7.jpg"
3,1,"S-XL",2000,1000,1,"XL","S",4,1,3,"crane","die","crane7","die4",166,103,"crane3.jpg","die2.jpg","Stimuli/Size_stims/XL/crane/crane3.jpg","Stimuli/Size_stims/S/die/die2.jpg"
4,1,"S-L",1500,1500,1,"L","S",3,1,2,"dishwasher","paperclip","dishwasher6","paperclip10",25,119,"dishwasher6.jpg","paperclip10.jpg","Stimuli/Size_stims/L/dishwasher/dishwasher6.jpg","Stimuli/Size_stims/S/paperclip/paperclip10.jpg"
5,1,"L-L",1000,2000,NA,"L","L",3,3,0,"dishwasher","deskchair","dishwasher9","deskchair7",28,16,"dishwasher2.jpg","deskchair4.jpg","Stimuli/Size_stims/L/dishwasher/dishwasher2.jpg","Stimuli/Size_stims/L/deskchair/deskchair4.jpg"
6,1,"S-S",1500,3500,NA,"S","S",1,1,0,"teabag","thread","teabag4","thread3",133,142,"teabag3.jpg","thread4.jpg","Stimuli/Size_stims/S/teabag/teabag3.jpg","Stimuli/Size_stims/S/thread/thread4.jpg"
7,1,"S-L",1000,3500,0,"S","L",1,3,-2,"teabag","mailbox","teabag1","mailbox4",130,43,"teabag9.jpg","mailbox5.jpg","Stimuli/Size_stims/S/teabag/teabag9.jpg","Stimuli/Size_stims/L/mailbox/mailbox5.jpg"
8,1,"S-L",1000,1500,1,"L","S",3,1,2,"dishwasher","die","dishwasher5","die1",24,100,"dishwasher4.jpg","die8.jpg","Stimuli/Size_stims/L/dishwasher/dishwasher4.jpg","Stimuli/Size_stims/S/die/die8.jpg"
9,1,"S-L",2000,1000,1,"L","S",3,1,2,"deskchair","paperclip","deskchair2","paperclip6",11,115,"deskchair8.jpg","paperclip6.jpg","Stimuli/Size_stims/L/deskchair/deskchair8.jpg","Stimuli/Size_stims/S/paperclip/paperclip6.jpg"
