"trial_num","block","pair_type","iti","isi","high_size_on_left","left_size_group","right_size_group","left_size_num","right_size_num","delta_size","left_category","right_category","left_exemplar","right_exemplar","left_index","right_index","left_img","right_img","left_img_path","right_img_path"
45,1,"S-L",1000,2000,0,"S","L",1,3,-2,"die","garbagecan","die9","garbagecan8",108,37,"die7.jpg","garbagecan13.jpg","Stimuli/Size_stims/S/die/die7.jpg","Stimuli/Size_stims/L/garbagecan/garbagecan13.jpg"
46,1,"L-L",1500,2000,NA,"L","L",3,3,0,"deskchair","garbagecan","deskchair6","garbagecan2",15,31,"deskchair5.jpg","garbagecan5.jpg","Stimuli/Size_stims/L/deskchair/deskchair5.jpg","Stimuli/Size_stims/L/garbagecan/garbagecan5.jpg"
47,1,"S-L",1000,1500,1,"L","S",3,1,2,"dishwasher","die","dishwasher1","die5",20,104,"dishwasher10.jpg","die3.jpg","Stimuli/Size_stims/L/dishwasher/dishwasher10.jpg","Stimuli/Size_stims/S/die/die3.jpg"
48,1,"S-XL",2000,1500,0,"S","XL",1,4,-3,"teabag","crane","teabag9","crane8",138,167,"teabag5.jpg","crane10.jpg","Stimuli/Size_stims/S/teabag/teabag5.jpg","Stimuli/Size_stims/XL/crane/crane10.jpg"
49,1,"M-XL",1000,3500,1,"XL","M",4,2,2,"tractor","hairdryer","tractor5","hairdryer1",184,70,"tractor1.jpg","hairdryer11.jpg","Stimuli/Size_stims/XL/tractor/tractor1.jpg","Stimuli/Size_stims/M/hairdryer/hairdryer11.jpg"
50,1,"M-L",2000,1000,1,"L","M",3,2,1,"cooler","handsaw","cooler8","handsaw3",7,82,"cooler5.jpg","handsaw2.jpg","Stimuli/Size_stims/L/cooler/cooler5.jpg","Stimuli/Size_stims/M/handsaw/handsaw2.jpg"
51,1,"S-XL",1500,1000,0,"S","XL",1,4,-3,"screws","van","screws8","van8",127,197,"screws10.jpg","van10.jpg","Stimuli/Size_stims/S/screws/screws10.jpg","Stimuli/Size_stims/XL/van/van10.jpg"
52,1,"M-L",1000,1000,1,"L","M",3,2,1,"dishwasher","hairdryer","dishwasher5","hairdryer8",24,77,"dishwasher4.jpg","hairdryer1.jpg","Stimuli/Size_stims/L/dishwasher/dishwasher4.jpg","Stimuli/Size_stims/M/hairdryer/hairdryer1.jpg"
53,1,"M-M",1500,1000,NA,"M","M",2,2,0,"coffeemaker","basketball","coffeemaker3","basketball4",62,53,"coffeemaker13.jpg","basketball1.jpg","Stimuli/Size_stims/M/coffeemaker/coffeemaker13.jpg","Stimuli/Size_stims/M/basketball/basketball1.jpg"
54,1,"M-L",3500,1000,0,"M","L",2,3,-1,"handsaw","deskchair","handsaw2","deskchair1",81,10,"handsaw9.jpg","deskchair9.jpg","Stimuli/Size_stims/M/handsaw/handsaw9.jpg","Stimuli/Size_stims/L/deskchair/deskchair9.jpg"
55,1,"S-L",1500,1500,1,"L","S",3,1,2,"dishwasher","thread","dishwasher2","thread10",21,149,"dishwasher9.jpg","thread9.jpg","Stimuli/Size_stims/L/dishwasher/dishwasher9.jpg","Stimuli/Size_stims/S/thread/thread9.jpg"
56,1,"M-L",1000,2000,0,"M","L",2,3,-1,"handsaw","cooler","handsaw7","cooler7",86,6,"handsaw5.jpg","cooler4.jpg","Stimuli/Size_stims/M/handsaw/handsaw5.jpg","Stimuli/Size_stims/L/cooler/cooler4.jpg"
57,1,"S-L",1500,1500,0,"S","L",1,3,-2,"thread","deskchair","thread4","deskchair7",143,16,"thread5.jpg","deskchair4.jpg","Stimuli/Size_stims/S/thread/thread5.jpg","Stimuli/Size_stims/L/deskchair/deskchair4.jpg"
58,1,"M-L",1500,3500,0,"M","L",2,3,-1,"ketchup","deskchair","ketchup7","deskchair3",96,12,"ketchup4.jpg","deskchair10.jpg","Stimuli/Size_stims/M/ketchup/ketchup4.jpg","Stimuli/Size_stims/L/deskchair/deskchair10.jpg"
59,1,"M-L",2000,1000,1,"L","M",3,2,1,"deskchair","handsaw","deskchair8","handsaw6",17,85,"deskchair1.jpg","handsaw4.jpg","Stimuli/Size_stims/L/deskchair/deskchair1.jpg","Stimuli/Size_stims/M/handsaw/handsaw4.jpg"
60,1,"S-M",3500,1000,0,"S","M",1,2,-1,"screws","handsaw","screws5","handsaw10",124,89,"screws2.jpg","handsaw10.jpg","Stimuli/Size_stims/S/screws/screws2.jpg","Stimuli/Size_stims/M/handsaw/handsaw10.jpg"
61,1,"M-XL",3000,1500,0,"M","XL",2,4,-2,"coffeemaker","car","coffeemaker1","car3",60,152,"coffeemaker14.jpg","car4.jpg","Stimuli/Size_stims/M/coffeemaker/coffeemaker14.jpg","Stimuli/Size_stims/XL/car/car4.jpg"
62,1,"S-L",3500,1000,1,"L","S",3,1,2,"deskchair","thread","deskchair5","thread3",14,142,"deskchair7.jpg","thread4.jpg","Stimuli/Size_stims/L/deskchair/deskchair7.jpg","Stimuli/Size_stims/S/thread/thread4.jpg"
63,1,"M-L",1500,3000,0,"M","L",2,3,-1,"basketball","dishwasher","basketball5","dishwasher10",54,29,"basketball3.jpg","dishwasher1.jpg","Stimuli/Size_stims/M/basketball/basketball3.jpg","Stimuli/Size_stims/L/dishwasher/dishwasher1.jpg"
64,1,"S-XL",2000,1500,0,"S","XL",1,4,-3,"screws","crane","screws7","crane7",126,166,"screws1.jpg","crane3.jpg","Stimuli/Size_stims/S/screws/screws1.jpg","Stimuli/Size_stims/XL/crane/crane3.jpg"
65,1,"S-XL",3500,2000,0,"S","XL",1,4,-3,"paperclip","dumptruck","paperclip10","dumptruck2",119,171,"paperclip10.jpg","dumptruck8.jpg","Stimuli/Size_stims/S/paperclip/paperclip10.jpg","Stimuli/Size_stims/XL/dumptruck/dumptruck8.jpg"
66,1,"S-S",1500,2000,NA,"S","S",1,1,0,"teabag","paperclip","teabag8","paperclip8",137,117,"teabag7.jpg","paperclip5.jpg","Stimuli/Size_stims/S/teabag/teabag7.jpg","Stimuli/Size_stims/S/paperclip/paperclip5.jpg"
67,1,"M-XL",1000,1500,0,"M","XL",2,4,-2,"handsaw","tractor","handsaw9","tractor10",88,189,"handsaw6.jpg","tractor8.jpg","Stimuli/Size_stims/M/handsaw/handsaw6.jpg","Stimuli/Size_stims/XL/tractor/tractor8.jpg"
68,1,"S-L",2000,3500,0,"S","L",1,3,-2,"die","cooler","die6","cooler1",105,0,"die1.jpg","cooler8.jpg","Stimuli/Size_stims/S/die/die1.jpg","Stimuli/Size_stims/L/cooler/cooler8.jpg"
69,1,"M-XL",1000,1000,0,"M","XL",2,4,-2,"coffeemaker","dumptruck","coffeemaker9","dumptruck1",68,170,"coffeemaker7.jpg","dumptruck9.jpg","Stimuli/Size_stims/M/coffeemaker/coffeemaker7.jpg","Stimuli/Size_stims/XL/dumptruck/dumptruck9.jpg"
70,1,"S-XL",1500,1500,1,"XL","S",4,1,3,"tractor","teabag","tractor1","teabag3",180,132,"tractor6.jpg","teabag1.jpg","Stimuli/Size_stims/XL/tractor/tractor6.jpg","Stimuli/Size_stims/S/teabag/teabag1.jpg"
71,1,"S-XL",1000,3000,1,"XL","S",4,1,3,"van","paperclip","van10","paperclip2",199,111,"van8.jpg","paperclip8.jpg","Stimuli/Size_stims/XL/van/van8.jpg","Stimuli/Size_stims/S/paperclip/paperclip8.jpg"
72,1,"M-XL",1000,1000,1,"XL","M",4,2,2,"van","handsaw","van3","handsaw8",192,87,"van6.jpg","handsaw7.jpg","Stimuli/Size_stims/XL/van/van6.jpg","Stimuli/Size_stims/M/handsaw/handsaw7.jpg"
73,1,"M-M",1000,1000,NA,"M","M",2,2,0,"basketball","ketchup","basketball1","ketchup5",50,94,"basketball9.jpg","ketchup3.jpg","Stimuli/Size_stims/M/basketball/basketball9.jpg","Stimuli/Size_stims/M/ketchup/ketchup3.jpg"
74,1,"S-M",1000,1000,1,"M","S",2,1,1,"ketchup","paperclip","ketchup3","paperclip1",92,110,"ketchup10.jpg","paperclip9.jpg","Stimuli/Size_stims/M/ketchup/ketchup10.jpg","Stimuli/Size_stims/S/paperclip/paperclip9.jpg"
75,1,"M-L",1000,1000,1,"L","M",3,2,1,"mailbox","coffeemaker","mailbox9","coffeemaker2",48,61,"mailbox9.jpg","coffeemaker12.jpg","Stimuli/Size_stims/L/mailbox/mailbox9.jpg","Stimuli/Size_stims/M/coffeemaker/coffeemaker12.jpg"
76,1,"M-XL",1000,1000,0,"M","XL",2,4,-2,"hairdryer","crane","hairdryer2","crane9",71,168,"hairdryer12.jpg","crane8.jpg","Stimuli/Size_stims/M/hairdryer/hairdryer12.jpg","Stimuli/Size_stims/XL/crane/crane8.jpg"
77,1,"L-L",2000,1000,NA,"L","L",3,3,0,"deskchair","dishwasher","deskchair10","dishwasher9",19,28,"deskchair2.jpg","dishwasher2.jpg","Stimuli/Size_stims/L/deskchair/deskchair2.jpg","Stimuli/Size_stims/L/dishwasher/dishwasher2.jpg"
