trial_num,block,pair_type,iti,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,delta_size,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img,right_img,left_img_path,right_img_path
28,1,S-L,5500,1,L,S,3,1,2,deskchair,screws,deskchair7,screws10,16,129,deskchair4.jpg,screws9.jpg,Stimuli/Size_stims/L/deskchair/deskchair4.jpg,Stimuli/Size_stims/S/screws/screws9.jpg
29,1,S-XL,500,1,XL,S,4,1,3,car,teabag,car9,teabag10,158,139,car15.jpg,teabag4.jpg,Stimuli/Size_stims/XL/car/car15.jpg,Stimuli/Size_stims/S/teabag/teabag4.jpg
30,1,M-XL,3000,0,M,XL,2,4,-2,hairdryer,van,hairdryer9,van1,78,190,hairdryer5.jpg,van5.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer5.jpg,Stimuli/Size_stims/XL/van/van5.jpg
31,1,M-XL,1000,1,XL,M,4,2,2,van,coffeemaker,van2,coffeemaker8,191,67,van4.jpg,coffeemaker5.jpg,Stimuli/Size_stims/XL/van/van4.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker5.jpg
32,1,S-M,1000,0,S,M,1,2,-1,die,hairdryer,die6,hairdryer4,105,73,die1.jpg,hairdryer16.jpg,Stimuli/Size_stims/S/die/die1.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer16.jpg
33,1,M-XL,500,1,XL,M,4,2,2,tractor,coffeemaker,tractor5,coffeemaker1,184,60,tractor1.jpg,coffeemaker14.jpg,Stimuli/Size_stims/XL/tractor/tractor1.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker14.jpg
34,1,XL-XL,5000,NA,XL,XL,4,4,0,car,dumptruck,car7,dumptruck2,156,171,car13.jpg,dumptruck8.jpg,Stimuli/Size_stims/XL/car/car13.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck8.jpg
35,1,L-L,1000,NA,L,L,3,3,0,mailbox,cooler,mailbox4,cooler6,43,5,mailbox5.jpg,cooler1.jpg,Stimuli/Size_stims/L/mailbox/mailbox5.jpg,Stimuli/Size_stims/L/cooler/cooler1.jpg
36,1,S-L,2000,1,L,S,3,1,2,cooler,paperclip,cooler8,paperclip3,7,112,cooler5.jpg,paperclip1.jpg,Stimuli/Size_stims/L/cooler/cooler5.jpg,Stimuli/Size_stims/S/paperclip/paperclip1.jpg
37,1,S-S,1000,NA,S,S,1,1,0,paperclip,teabag,paperclip9,teabag2,118,131,paperclip4.jpg,teabag8.jpg,Stimuli/Size_stims/S/paperclip/paperclip4.jpg,Stimuli/Size_stims/S/teabag/teabag8.jpg
