,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,no_response,onset,duration,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,end_practice,total_bonus_tally,category,category_group_value,category_value_response,did_not_enter_response
902,,iti,,html-keyboard-response,902,1570390,0.0-1.0-174.0-0.0-5.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,1.0,,,,,,,,,,,,,,,
903,,choice,,html-keyboard-response,903,1571457,0.0-1.0-175.0-0.0-0.0,0,0,59346,,1058.0,,,75.0,173.0,176.0,1000.0,1000.0,0.0,3.0,0.0,60-80,,1.0,frame,dresser,80.0,60.0,frame9,dresser10,60.0,40.0,AFRAME188.jpg,ADRESSE14.jpg,/static/Category_learning/Stimuli/Experimental_stims/frame/AFRAME188.jpg,/static/Category_learning/Stimuli/Experimental_stims/dresser/ADRESSE14.jpg,0.0,302.058,1.058,0.0,dresser,frame,60.0,80.0,dresser10,frame9,40.0,60.0,,,,,,
904,,confirmation,,html-keyboard-response,904,1571922,0.0-1.0-175.0-0.0-1.0-0.0,0,0,59346,,,,,,173.0,,,,,,,,,,,,,,,,,,,,,,,302.5,0.442,,,,,,,,,,,,,,,
905,,isi,,html-keyboard-response,905,1572941,0.0-1.0-175.0-0.0-2.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.5,1.0,,,,,,,,,,,,,,,
906,,feedback,,html-keyboard-response,906,1573957,0.0-1.0-175.0-0.0-3.0-0.0,0,0,59346,,,,,,173.0,,,,,,,,,,,,,,,,,,,,,,,304.5,1.0,,,,,,,,,,,,,,,
907,,iti,,html-keyboard-response,907,1574987,0.0-1.0-175.0-0.0-5.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.5,1.0,,,,,,,,,,,,,,,
908,,choice,,html-keyboard-response,908,1576037,0.0-1.0-176.0-0.0-0.0,0,0,59346,,1037.0,,,68.0,174.0,177.0,2000.0,2000.0,0.0,3.0,1.0,80-80,1.0,,hat,hat,80.0,80.0,hat9,hat8,100.0,60.0,Astrawhat44.jpg,ABLUEHAT.jpg,/static/Category_learning/Stimuli/Experimental_stims/hat/Astrawhat44.jpg,/static/Category_learning/Stimuli/Experimental_stims/hat/ABLUEHAT.jpg,0.0,306.537,1.037,1.0,hat,hat,80.0,80.0,hat9,hat8,100.0,60.0,,,,,,
909,,confirmation,,html-keyboard-response,909,1576520,0.0-1.0-176.0-0.0-1.0-0.0,0,0,59346,,,,,,174.0,,,,,,,,,,,,,,,,,,,,,,,307.0,0.463,,,,,,,,,,,,,,,
910,,isi,,html-keyboard-response,910,1578534,0.0-1.0-176.0-0.0-2.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.0,2.0,,,,,,,,,,,,,,,
911,,feedback,,html-keyboard-response,911,1579552,0.0-1.0-176.0-0.0-3.0-0.0,0,0,59346,,,,,,174.0,,,,,,,,,,,,,,,,,,,,,,,310.0,1.0,,,,,,,,,,,,,,,
912,,iti,,html-keyboard-response,912,1581562,0.0-1.0-176.0-0.0-5.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,2.0,,,,,,,,,,,,,,,
913,,choice,,html-keyboard-response,913,1582395,0.0-1.0-177.0-0.0-0.0,0,0,59346,,822.0,,,68.0,175.0,178.0,1000.0,3000.0,0.0,3.0,1.0,80-80,1.0,,motorcycle,motorcycle,80.0,80.0,motorcycle5,motorcycle4,60.0,100.0,motorcycle101.jpg,motorcycle46.jpg,/static/Category_learning/Stimuli/Experimental_stims/motorcycle/motorcycle101.jpg,/static/Category_learning/Stimuli/Experimental_stims/motorcycle/motorcycle46.jpg,0.0,312.822,0.822,1.0,motorcycle,motorcycle,80.0,80.0,motorcycle5,motorcycle4,60.0,100.0,,,,,,
914,,confirmation,,html-keyboard-response,914,1583085,0.0-1.0-177.0-0.0-1.0-0.0,0,0,59346,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,313.5,0.678,,,,,,,,,,,,,,,
915,,isi,,html-keyboard-response,915,1584104,0.0-1.0-177.0-0.0-2.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.5,1.0,,,,,,,,,,,,,,,
916,,feedback,,html-keyboard-response,916,1585120,0.0-1.0-177.0-0.0-3.0-0.0,0,0,59346,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,315.5,1.0,,,,,,,,,,,,,,,
917,,iti,,html-keyboard-response,917,1588157,0.0-1.0-177.0-0.0-5.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.5,3.0,,,,,,,,,,,,,,,
918,,choice,,html-keyboard-response,918,1589233,0.0-1.0-178.0-0.0-0.0,0,0,59346,,1063.0,,,75.0,176.0,179.0,1000.0,1500.0,0.0,3.0,0.0,60-80,,0.0,desk,microscope,60.0,80.0,desk4,microscope6,80.0,100.0,AbbeyMiniRadialBIG(1).jpg,AMICROS25.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/AbbeyMiniRadialBIG(1).jpg,/static/Category_learning/Stimuli/Experimental_stims/microscope/AMICROS25.jpg,0.0,319.563,1.063,0.0,microscope,desk,80.0,60.0,microscope6,desk4,100.0,80.0,,,,,,
919,,confirmation,,html-keyboard-response,919,1589694,0.0-1.0-178.0-0.0-1.0-0.0,0,0,59346,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,320.0,0.437,,,,,,,,,,,,,,,
920,,isi,,html-keyboard-response,920,1590713,0.0-1.0-178.0-0.0-2.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.0,1.0,,,,,,,,,,,,,,,
921,,feedback,,html-keyboard-response,921,1591729,0.0-1.0-178.0-0.0-3.0-0.0,0,0,59346,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,322.0,1.0,,,,,,,,,,,,,,,
922,,iti,,html-keyboard-response,922,1593248,0.0-1.0-178.0-0.0-5.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.5,1.5,,,,,,,,,,,,,,,
923,,choice,,html-keyboard-response,923,1594037,0.0-1.0-179.0-0.0-0.0,0,0,59346,,780.0,,,75.0,177.0,180.0,1000.0,1000.0,0.0,3.0,0.0,20-80,,1.0,lipstick,sofa,80.0,20.0,lipstick11,sofa7,100.0,40.0,21SS8DBWDQL._SS500_.jpg,JACKSON-MS6007loveseat59X36X33.jpg,/static/Category_learning/Stimuli/Experimental_stims/lipstick/21SS8DBWDQL._SS500_.jpg,/static/Category_learning/Stimuli/Experimental_stims/sofa/JACKSON-MS6007loveseat59X36X33.jpg,0.0,324.28,0.78,0.0,sofa,lipstick,20.0,80.0,sofa7,lipstick11,40.0,100.0,,,,,,
924,,confirmation,,html-keyboard-response,924,1594769,0.0-1.0-179.0-0.0-1.0-0.0,0,0,59346,,,,,,177.0,,,,,,,,,,,,,,,,,,,,,,,325.0,0.72,,,,,,,,,,,,,,,
925,,isi,,html-keyboard-response,925,1595789,0.0-1.0-179.0-0.0-2.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.0,1.0,,,,,,,,,,,,,,,
926,,feedback,,html-keyboard-response,926,1596798,0.0-1.0-179.0-0.0-3.0-0.0,0,0,59346,,,,,,177.0,,,,,,,,,,,,,,,,,,,,,,,327.0,1.0,,,,,,,,,,,,,,,
927,,iti,,html-keyboard-response,927,1597813,0.0-1.0-179.0-0.0-5.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.0,1.0,,,,,,,,,,,,,,,
928,,choice,,html-keyboard-response,928,1599000,0.0-1.0-180.0-0.0-0.0,0,0,59346,,1177.0,,,75.0,178.0,181.0,1000.0,3000.0,0.0,3.0,0.0,20-60,,1.0,bongo,power strip,60.0,20.0,bongo3,power strip13,60.0,0.0,26390697.thl.jpg,01dccef1-d4b2-4d2e-a317-f2ed46b70b4b_400.jpg,/static/Category_learning/Stimuli/Experimental_stims/bongo/26390697.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/power strip/01dccef1-d4b2-4d2e-a317-f2ed46b70b4b_400.jpg,0.0,329.177,1.177,0.0,power strip,bongo,20.0,60.0,power strip13,bongo3,0.0,60.0,,,,,,
