"trial_num","is_practice","block","condition","iti","isi","high_group_on_left","left_group_value","right_group_value","left_item_value","right_item_value","delta_item_value","left_img","right_img","left_img_path","right_img_path"
52,0,2,"easy",1500,1500,0,20,80,40,80,-40,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
53,0,2,"hard",1000,2000,1,60,40,60,60,0,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
54,0,2,"easy",1500,2000,1,80,20,60,0,60,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
55,0,2,"hard",1500,1000,1,60,40,40,20,20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
56,0,2,"easy",3500,2000,0,20,80,20,80,-60,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
57,0,2,"easy",1000,1000,0,20,80,0,80,-80,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
58,0,2,"easy",2000,1000,0,20,80,40,100,-60,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
59,0,2,"hard",1000,1000,1,60,40,40,40,0,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
60,0,2,"hard",1000,2000,1,60,40,40,60,-20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
61,0,2,"hard",3500,1500,1,60,40,80,60,20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
62,0,2,"easy",1000,1500,0,20,80,20,60,-40,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
63,0,2,"hard",1000,3000,1,60,40,80,40,40,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
64,0,2,"hard",1000,1000,0,40,60,20,60,-40,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
65,0,2,"hard",2000,3500,0,40,60,20,60,-40,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
66,0,2,"easy",1000,1000,1,80,20,60,0,60,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
67,0,2,"easy",1000,3000,0,20,80,0,80,-80,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
68,0,2,"hard",1500,1500,1,60,40,60,40,20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
