,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally,category,category_group_value,category_value_response,did_not_enter_response
0,True,full_screen,d06022022hr0053,fullscreen,0,54563,0.0-0.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,56854,0.0-1.0-0.0-0.0,0,0,30311,"[{""page_index"":0,""viewing_time"":1107},{""page_index"":1,""viewing_time"":156},{""page_index"":2,""viewing_time"":171},{""page_index"":3,""viewing_time"":338},{""page_index"":4,""viewing_time"":156},{""page_index"":5,""viewing_time"":171},{""page_index"":6,""viewing_time"":189}]",2288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,62823,0.0-1.0-0.0-1.0,0,0,30311,,5964.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,63860,0.0-1.0-1.0,0,0,30311,,1032.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,choice,,html-keyboard-response,4,64652,0.0-1.0-2.0-0.0-0.0,0,0,30311,,788.0,,,75.0,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,0.0,dumbbell,bagel,80.0,20.0,dumbbell1,bagel1,80.0,0.0,0.0,0.788,0.788,,,,,,
5,,confirmation,,html-keyboard-response,5,65368,0.0-1.0-2.0-0.0-1.0-0.0,0,0,30311,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.712,,,,,,
6,,isi,,html-keyboard-response,6,65474,0.0-1.0-2.0-0.0-2.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,,,,,
7,,feedback,,html-keyboard-response,7,66478,0.0-1.0-2.0-0.0-3.0-0.0,0,0,30311,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,
8,,iti,,html-keyboard-response,8,66582,0.0-1.0-2.0-0.0-5.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,
9,,choice,,html-keyboard-response,9,66729,0.0-1.0-3.0-0.0-0.0,0,0,30311,,145.0,,,68.0,1.0,1.0,3000.0,1500.0,1.0,0.0,0.0,20-40,,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,22829064.thl.jpg,bagels_cinnraisin_large.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829064.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,0.0,5.145,0.145,,,,,,
10,,confirmation,,html-keyboard-response,10,68090,0.0-1.0-3.0-0.0-1.0-0.0,0,0,30311,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.355,,,,,,
11,,isi,,html-keyboard-response,11,68195,0.0-1.0-3.0-0.0-2.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,3.0,,,,,,
12,,feedback,,html-keyboard-response,12,69201,0.0-1.0-3.0-0.0-3.0-0.0,0,0,30311,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,1.0,,,,,,
13,,iti,,html-keyboard-response,13,69304,0.0-1.0-3.0-0.0-5.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.5,,,,,,
14,,choice,,html-keyboard-response,14,70812,0.0-1.0-4.0-0.0-0.0,0,0,30311,,,,,,2.0,2.0,2000.0,3000.0,1.0,0.0,0.0,60-80,,0.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/26373355.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg,,,,,,,,,,1.0,13.5,1.5,,,,,,
15,,isi,,html-keyboard-response,15,70917,0.0-1.0-4.0-0.0-2.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,2.0,,,,,,
16,,no_response,,html-keyboard-response,16,71923,0.0-1.0-4.0-0.0-4.0-0.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,1.0,,,,,,
17,,iti,,html-keyboard-response,17,72030,0.0-1.0-4.0-0.0-5.0,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,3.0,,,,,,
18,,choice,,html-keyboard-response,18,73536,0.0-1.0-4.0-0.1-0.1,0,0,30311,,,,,,2.0,2.0,2000.0,3000.0,1.0,0.0,0.0,60-80,,0.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/26373355.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg,,,,,,,,,,1.0,21.0,1.5,,,,,,
19,,isi,,html-keyboard-response,19,73640,0.0-1.0-4.0-0.1-2.1,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2.0,,,,,,
20,,no_response,,html-keyboard-response,20,74644,0.0-1.0-4.0-0.1-4.1-0.1,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,1.0,,,,,,
21,,iti,,html-keyboard-response,21,74750,0.0-1.0-4.0-0.1-5.1,0,0,30311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,3.0,,,,,,
