,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,no_response,onset,duration,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,end_practice,total_bonus_tally,category,category_group_value,category_value_response,did_not_enter_response
0,True,full_screen,d06032022hr1715,fullscreen,0,71819,0.0-0.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,223290,0.0-1.0-0.0-0.0,0,0,47956,"[{""page_index"":0,""viewing_time"":5526},{""page_index"":1,""viewing_time"":44314},{""page_index"":2,""viewing_time"":25162},{""page_index"":3,""viewing_time"":25648},{""page_index"":4,""viewing_time"":29783},{""page_index"":5,""viewing_time"":12679},{""page_index"":6,""viewing_time"":8354}]",151467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,247810,0.0-1.0-0.0-1.0,0,0,47956,,24510.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,missed_instruction_checkup,,html-keyboard-response,3,252341,0.0-1.0-0.0-2.0-0.0,0,0,47956,,4516.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,category_learning_instructions,,instructions,4,415301,0.0-1.0-0.1-0.1,0,0,47956,"[{""page_index"":0,""viewing_time"":2944},{""page_index"":1,""viewing_time"":27481},{""page_index"":2,""viewing_time"":26304},{""page_index"":3,""viewing_time"":15452},{""page_index"":4,""viewing_time"":87105},{""page_index"":5,""viewing_time"":2678},{""page_index"":6,""viewing_time"":990}]",162955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,category_learning_comprehension_check,,survey-multi-choice,5,482984,0.0-1.0-0.1-1.1,0,0,47956,,67671.0,"{""Q0"":""False"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,missed_instruction_checkup,,html-keyboard-response,6,487669,0.0-1.0-0.1-2.1-0.1,0,0,47956,,4673.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,category_learning_instructions,,instructions,7,493828,0.0-1.0-0.2-0.2,0,0,47956,"[{""page_index"":0,""viewing_time"":1954},{""page_index"":1,""viewing_time"":1156},{""page_index"":2,""viewing_time"":864},{""page_index"":3,""viewing_time"":638},{""page_index"":4,""viewing_time"":510},{""page_index"":5,""viewing_time"":560},{""page_index"":6,""viewing_time"":474}]",6156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,category_learning_comprehension_check,,survey-multi-choice,8,507635,0.0-1.0-0.2-1.2,0,0,47956,,13795.0,"{""Q0"":""True"",""Q1"":""False"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,missed_instruction_checkup,,html-keyboard-response,9,512483,0.0-1.0-0.2-2.2-0.2,0,0,47956,,4835.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,category_learning_instructions,,instructions,10,517942,0.0-1.0-0.3-0.3,0,0,47956,"[{""page_index"":0,""viewing_time"":1984},{""page_index"":1,""viewing_time"":1258},{""page_index"":2,""viewing_time"":476},{""page_index"":3,""viewing_time"":398},{""page_index"":4,""viewing_time"":460},{""page_index"":5,""viewing_time"":412},{""page_index"":6,""viewing_time"":468}]",5456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,category_learning_comprehension_check,,survey-multi-choice,11,525165,0.0-1.0-0.3-1.3,0,0,47956,,7213.0,"{""Q0"":""False"",""Q1"":""False"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,missed_instruction_checkup,,html-keyboard-response,12,527651,0.0-1.0-0.3-2.3-0.3,0,0,47956,,2474.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,category_learning_instructions,,instructions,13,532719,0.0-1.0-0.4-0.4,0,0,47956,"[{""page_index"":0,""viewing_time"":1612},{""page_index"":1,""viewing_time"":828},{""page_index"":2,""viewing_time"":456},{""page_index"":3,""viewing_time"":646},{""page_index"":4,""viewing_time"":584},{""page_index"":5,""viewing_time"":484},{""page_index"":6,""viewing_time"":454}]",5065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,category_learning_comprehension_check,,survey-multi-choice,14,556837,0.0-1.0-0.4-1.4,0,0,47956,,24108.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Change"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,missed_instruction_checkup,,html-keyboard-response,15,559036,0.0-1.0-0.4-2.4-0.4,0,0,47956,,2187.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,category_learning_instructions,,instructions,16,650828,0.0-1.0-0.5-0.5,0,0,47956,"[{""page_index"":0,""viewing_time"":1938},{""page_index"":1,""viewing_time"":23482},{""page_index"":2,""viewing_time"":25248},{""page_index"":3,""viewing_time"":21480},{""page_index"":4,""viewing_time"":14542},{""page_index"":5,""viewing_time"":2892},{""page_index"":6,""viewing_time"":2204}]",91787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,category_learning_comprehension_check,,survey-multi-choice,17,680167,0.0-1.0-0.5-1.5,0,0,47956,,29328.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""K for left and D for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,missed_instruction_checkup,,html-keyboard-response,18,683642,0.0-1.0-0.5-2.5-0.5,0,0,47956,,3464.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,category_learning_instructions,,instructions,19,688932,0.0-1.0-0.6-0.6,0,0,47956,"[{""page_index"":0,""viewing_time"":2615},{""page_index"":1,""viewing_time"":436},{""page_index"":2,""viewing_time"":598},{""page_index"":3,""viewing_time"":358},{""page_index"":4,""viewing_time"":449},{""page_index"":5,""viewing_time"":417},{""page_index"":6,""viewing_time"":414}]",5287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,category_learning_comprehension_check,,survey-multi-choice,20,697167,0.0-1.0-0.6-1.6,0,0,47956,,8226.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,html-keyboard-response,21,706299,0.0-1.0-1.0,0,0,47956,,9120.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,choice,,html-keyboard-response,22,707811,0.0-1.0-2.0-0.0-0.0,0,0,47956,,,,,,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,1.0,1.5,1.5,,,,,,,,,,,,,,,
23,,isi,,html-keyboard-response,23,709320,0.0-1.0-2.0-0.0-2.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,,,,,,,,,,,,,,
24,,no_response,,html-keyboard-response,24,710326,0.0-1.0-2.0-0.0-4.0-0.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,
25,,iti,,html-keyboard-response,25,711332,0.0-1.0-2.0-0.0-5.0,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,
26,,choice,,html-keyboard-response,26,712346,0.0-1.0-2.0-0.1-0.1,0,0,47956,,1006.0,,,68.0,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,0.0,6.006,1.006,1.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,,,,,,
27,,confirmation,,html-keyboard-response,27,712854,0.0-1.0-2.0-0.1-1.1-0.1,0,0,47956,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,6.5,0.494,,,,,,,,,,,,,,,
28,,isi,,html-keyboard-response,28,714360,0.0-1.0-2.0-0.1-2.1,0,0,47956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.5,,,,,,,,,,,,,,,
