,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally
0,True,full_screen,d06032022hr1524,fullscreen,0,27776,0.0-0.0,0,0,89885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,86145,0.0-1.0-0.0-0.0,0,0,89885,"[{""page_index"":0,""viewing_time"":15376},{""page_index"":1,""viewing_time"":13445},{""page_index"":2,""viewing_time"":9720},{""page_index"":3,""viewing_time"":4433},{""page_index"":4,""viewing_time"":10406},{""page_index"":5,""viewing_time"":2386},{""page_index"":6,""viewing_time"":2599}]",58366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,103598,0.0-1.0-0.0-1.0,0,0,89885,,17444.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,107582,0.0-1.0-1.0,0,0,89885,,3979.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,choice,,html-keyboard-response,4,109069,0.0-1.0-2.0-0.0-0.0,0,0,89885,,1482.0,,,68.0,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,1.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,0.0,1.482,1.482,,
5,,confirmation,,html-keyboard-response,5,109091,0.0-1.0-2.0-0.0-1.0-0.0,0,0,89885,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.018,,
6,,isi,,html-keyboard-response,6,110598,0.0-1.0-2.0-0.0-2.0,0,0,89885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,
7,,feedback,,html-keyboard-response,7,111604,0.0-1.0-2.0-0.0-3.0-0.0,0,0,89885,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,
8,,iti,,html-keyboard-response,8,112608,0.0-1.0-2.0-0.0-5.0,0,0,89885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,
9,,choice,,html-keyboard-response,9,113905,0.0-1.0-3.0-0.0-0.0,0,0,89885,,1292.0,,,68.0,1.0,1.0,3000.0,1500.0,1.0,0.0,0.0,20-40,,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,22829064.thl.jpg,bagels_cinnraisin_large.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829064.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,0.0,6.292,1.292,,
10,,confirmation,,html-keyboard-response,10,114118,0.0-1.0-3.0-0.0-1.0-0.0,0,0,89885,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0.208,,
11,,isi,,html-keyboard-response,11,117121,0.0-1.0-3.0-0.0-2.0,0,0,89885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,3.0,,
12,,feedback,,html-keyboard-response,12,118126,0.0-1.0-3.0-0.0-3.0-0.0,0,0,89885,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,1.0,,
13,,iti,,html-keyboard-response,13,119633,0.0-1.0-3.0-0.0-5.0,0,0,89885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.5,,
14,,choice,,html-keyboard-response,14,120362,0.0-1.0-4.0-0.0-0.0,0,0,89885,,725.0,,,75.0,2.0,2.0,2000.0,3000.0,1.0,0.0,0.0,60-80,,0.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/26373355.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg,0.0,dumbbell,clock,80.0,60.0,dumbbell2,clock2,100.0,60.0,0.0,12.725,0.725,,
15,,confirmation,,html-keyboard-response,15,121145,0.0-1.0-4.0-0.0-1.0-0.0,0,0,89885,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,0.775,,
16,,isi,,html-keyboard-response,16,123154,0.0-1.0-4.0-0.0-2.0,0,0,89885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,2.0,,
17,,feedback,,html-keyboard-response,17,124158,0.0-1.0-4.0-0.0-3.0-0.0,0,0,89885,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,1.0,,
18,,iti,,html-keyboard-response,18,127164,0.0-1.0-4.0-0.0-5.0,0,0,89885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,3.0,,
19,,choice,,html-keyboard-response,19,128148,0.0-1.0-5.0-0.0-0.0,0,0,89885,,979.0,,,68.0,3.0,3.0,1000.0,2000.0,1.0,0.0,0.0,40-80,,0.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,22829184.thl.jpg,Aalarmclock2.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829184.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/Aalarmclock2.jpg,1.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,0.0,20.479,0.979,,
20,,confirmation,,html-keyboard-response,20,128673,0.0-1.0-5.0-0.0-1.0-0.0,0,0,89885,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,0.521,,
21,,isi,,html-keyboard-response,21,129679,0.0-1.0-5.0-0.0-2.0,0,0,89885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,,
22,,feedback,,html-keyboard-response,22,130687,0.0-1.0-5.0-0.0-3.0-0.0,0,0,89885,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,,
23,,iti,,html-keyboard-response,23,132691,0.0-1.0-5.0-0.0-5.0,0,0,89885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2.0,,
