,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,no_response,onset,duration,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,end_practice,total_bonus_tally,category,category_group_value,category_value_response,did_not_enter_response
0,True,full_screen,d06072022hr1630,fullscreen,0,5168,0.0-0.0,0,0,54830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,63069,0.0-1.0-0.0-0.0,0,0,54830,"[{""page_index"":0,""viewing_time"":20446},{""page_index"":1,""viewing_time"":10539},{""page_index"":2,""viewing_time"":171},{""page_index"":1,""viewing_time"":260},{""page_index"":2,""viewing_time"":211},{""page_index"":1,""viewing_time"":491},{""page_index"":2,""viewing_time"":264},{""page_index"":1,""viewing_time"":219},{""page_index"":2,""viewing_time"":224},{""page_index"":1,""viewing_time"":218},{""page_index"":2,""viewing_time"":120},{""page_index"":1,""viewing_time"":210},{""page_index"":2,""viewing_time"":133},{""page_index"":1,""viewing_time"":186},{""page_index"":2,""viewing_time"":218},{""page_index"":1,""viewing_time"":287},{""page_index"":2,""viewing_time"":9},{""page_index"":1,""viewing_time"":331},{""page_index"":0,""viewing_time"":162},{""page_index"":1,""viewing_time"":156},{""page_index"":0,""viewing_time"":233},{""page_index"":1,""viewing_time"":46},{""page_index"":0,""viewing_time"":2792},{""page_index"":1,""viewing_time"":2327},{""page_index"":2,""viewing_time"":1438},{""page_index"":3,""viewing_time"":3604},{""page_index"":4,""viewing_time"":8088},{""page_index"":5,""viewing_time"":2536},{""page_index"":6,""viewing_time"":1976}]",57896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,74382,0.0-1.0-0.0-1.0,0,0,54830,,11301.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,78574,0.0-1.0-1.0,0,0,54830,,4181.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,choice,,html-keyboard-response,4,80084,0.0-1.0-2.0-0.0-0.0,0,0,54830,,,,,,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,1.0,1.5,1.5,,,,,,,,,,,,,,,
5,,isi,,html-keyboard-response,5,81593,0.0-1.0-2.0-0.0-2.0,0,0,54830,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,1.5,,,,,,,,,,,,,,,
6,,no_response,,html-keyboard-response,6,82601,0.0-1.0-2.0-0.0-4.0-0.0,0,0,54830,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,
7,,iti,,html-keyboard-response,7,83609,0.0-1.0-2.0-0.0-5.0,0,0,54830,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,
8,,choice,,html-keyboard-response,8,84561,0.0-1.0-2.0-0.1-0.1,0,0,54830,,945.0,,,68.0,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,0.0,5.945,0.945,1.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,,,,,,
9,,confirmation,,html-keyboard-response,9,85123,0.0-1.0-2.0-0.1-1.1-0.1,0,0,54830,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,6.5,0.555,,,,,,,,,,,,,,,
10,,isi,,html-keyboard-response,10,86630,0.0-1.0-2.0-0.1-2.1,0,0,54830,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,8.0,1.5,,,,,,,,,,,,,,,
11,,feedback,,html-keyboard-response,11,87637,0.0-1.0-2.0-0.1-3.1-0.1,0,0,54830,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,,,,,,,,,,
12,,iti,,html-keyboard-response,12,88643,0.0-1.0-2.0-0.1-5.1,0,0,54830,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,,,,,,,,,,,
13,,choice,,html-keyboard-response,13,89201,0.0-1.0-3.0-0.0-0.0,0,0,54830,,549.0,,,68.0,1.0,1.0,3000.0,1500.0,1.0,0.0,0.0,20-40,,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,22829064.thl.jpg,bagels_cinnraisin_large.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829064.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg,0.0,10.549,0.549,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,,,,,,
14,,confirmation,,html-keyboard-response,14,90160,0.0-1.0-3.0-0.0-1.0-0.0,0,0,54830,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,11.5,0.951,,,,,,,,,,,,,,,
15,,isi,,html-keyboard-response,15,93167,0.0-1.0-3.0-0.0-2.0,0,0,54830,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,14.5,3.0,,,,,,,,,,,,,,,
16,,feedback,,html-keyboard-response,16,94175,0.0-1.0-3.0-0.0-3.0-0.0,0,0,54830,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,15.5,1.0,,,,,,,,,,,,,,,
17,,iti,,html-keyboard-response,17,95682,0.0-1.0-3.0-0.0-5.0,0,0,54830,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,17.0,1.5,,,,,,,,,,,,,,,
18,,choice,,html-keyboard-response,18,96234,0.0-1.0-4.0-0.0-0.0,0,0,54830,,544.0,,,68.0,2.0,2.0,2000.0,3000.0,1.0,0.0,0.0,60-80,,0.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/26373355.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg,0.0,17.544,0.544,1.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,,,,,,
19,,confirmation,,html-keyboard-response,19,97203,0.0-1.0-4.0-0.0-1.0-0.0,0,0,54830,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,18.5,0.956,,,,,,,,,,,,,,,
20,,isi,,html-keyboard-response,20,99212,0.0-1.0-4.0-0.0-2.0,0,0,54830,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,20.5,2.0,,,,,,,,,,,,,,,
21,,feedback,,html-keyboard-response,21,100221,0.0-1.0-4.0-0.0-3.0-0.0,0,0,54830,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,21.5,1.0,,,,,,,,,,,,,,,
22,,iti,,html-keyboard-response,22,103242,0.0-1.0-4.0-0.0-5.0,0,0,54830,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,24.5,3.0,,,,,,,,,,,,,,,
23,,choice,,html-keyboard-response,23,103843,0.0-1.0-5.0-0.0-0.0,0,0,54830,,594.0,,,68.0,3.0,3.0,1000.0,2000.0,1.0,0.0,0.0,40-80,,0.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,22829184.thl.jpg,Aalarmclock2.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829184.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/Aalarmclock2.jpg,0.0,25.094,0.594,1.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,,,,,,
24,,confirmation,,html-keyboard-response,24,104758,0.0-1.0-5.0-0.0-1.0-0.0,0,0,54830,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,26.0,0.906,,,,,,,,,,,,,,,
25,,isi,,html-keyboard-response,25,105766,0.0-1.0-5.0-0.0-2.0,0,0,54830,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,27.0,1.0,,,,,,,,,,,,,,,
26,,feedback,,html-keyboard-response,26,106773,0.0-1.0-5.0-0.0-3.0-0.0,0,0,54830,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,28.0,1.0,,,,,,,,,,,,,,,
27,,iti,,html-keyboard-response,27,108780,0.0-1.0-5.0-0.0-5.0,0,0,54830,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,30.0,2.0,,,,,,,,,,,,,,,
