,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally,category,category_group_value,category_value_response
177,,choice,,html-keyboard-response,177,177750,0.0-1.0-13.0-0.13-0.13,0,0,96878,,,,,,11.0,311.0,2000.0,1000.0,0.0,6.0,0.0,20-60,,1.0,desk,small table,60.0,20.0,desk11,small table1,60.0,0.0,Writing_Desk_280_Cutout_Sideview_half.jpg,ATABLE10.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/Writing_Desk_280_Cutout_Sideview_half.jpg,/static/Category_learning/Stimuli/Experimental_stims/small table/ATABLE10.jpg,,,,,,,,,,1.0,136.0,1.5,,,,,
178,,isi,,html-keyboard-response,178,178271,0.0-1.0-13.0-0.13-2.13,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,2.0,,,,,
179,,no_response,,html-keyboard-response,179,180370,0.0-1.0-13.0-0.13-4.13-0.13,1,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.0,1.0,,,,,
180,,iti,,html-keyboard-response,180,181271,0.0-1.0-13.0-0.13-5.13,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,1.0,,,,,
181,,choice,,html-keyboard-response,181,183458,0.0-1.0-13.0-0.14-0.14,0,0,96878,,,,,,11.0,311.0,2000.0,1000.0,0.0,6.0,0.0,20-60,,1.0,desk,small table,60.0,20.0,desk11,small table1,60.0,0.0,Writing_Desk_280_Cutout_Sideview_half.jpg,ATABLE10.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/Writing_Desk_280_Cutout_Sideview_half.jpg,/static/Category_learning/Stimuli/Experimental_stims/small table/ATABLE10.jpg,,,,,,,,,,1.0,141.5,1.5,,,,,
182,,isi,,html-keyboard-response,182,184273,0.0-1.0-13.0-0.14-2.14,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,1.5,,,,,
183,,no_response,,html-keyboard-response,183,186280,0.0-1.0-13.0-0.14-4.14-0.14,1,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,1.0,,,,,
184,,iti,,html-keyboard-response,184,187271,0.0-1.0-13.0-0.14-5.14,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.5,3.5,,,,,
185,,choice,,html-keyboard-response,185,189271,0.0-1.0-13.0-0.15-0.15,0,0,96878,,,,,,11.0,311.0,2000.0,1000.0,0.0,6.0,0.0,20-60,,1.0,desk,small table,60.0,20.0,desk11,small table1,60.0,0.0,Writing_Desk_280_Cutout_Sideview_half.jpg,ATABLE10.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/Writing_Desk_280_Cutout_Sideview_half.jpg,/static/Category_learning/Stimuli/Experimental_stims/small table/ATABLE10.jpg,,,,,,,,,,1.0,149.0,1.5,,,,,
186,,isi,,html-keyboard-response,186,190505,0.0-1.0-13.0-0.15-2.15,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.5,1.5,,,,,
187,,no_response,,html-keyboard-response,187,192696,0.0-1.0-13.0-0.15-4.15-0.15,1,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.5,1.0,,,,,
188,,iti,,html-keyboard-response,188,193272,0.0-1.0-13.0-0.15-5.15,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,1.5,,,,,
189,,choice,,html-keyboard-response,189,195548,0.0-1.0-13.0-0.16-0.16,0,0,96878,,,,,,11.0,311.0,2000.0,1000.0,0.0,6.0,0.0,20-60,,1.0,desk,small table,60.0,20.0,desk11,small table1,60.0,0.0,Writing_Desk_280_Cutout_Sideview_half.jpg,ATABLE10.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/Writing_Desk_280_Cutout_Sideview_half.jpg,/static/Category_learning/Stimuli/Experimental_stims/small table/ATABLE10.jpg,,,,,,,,,,1.0,154.5,1.5,,,,,
190,,isi,,html-keyboard-response,190,196504,0.0-1.0-13.0-0.16-2.16,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,3.5,,,,,
191,,no_response,,html-keyboard-response,191,198271,0.0-1.0-13.0-0.16-4.16-0.16,1,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,1.0,,,,,
192,,iti,,html-keyboard-response,192,199271,0.0-1.0-13.0-0.16-5.16,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,2.0,,,,,
193,,choice,,html-keyboard-response,193,201344,0.0-1.0-13.0-0.17-0.17,0,0,96878,,,,,,11.0,311.0,2000.0,1000.0,0.0,6.0,0.0,20-60,,1.0,desk,small table,60.0,20.0,desk11,small table1,60.0,0.0,Writing_Desk_280_Cutout_Sideview_half.jpg,ATABLE10.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/Writing_Desk_280_Cutout_Sideview_half.jpg,/static/Category_learning/Stimuli/Experimental_stims/small table/ATABLE10.jpg,,,,,,,,,,1.0,162.5,1.5,,,,,
194,,isi,,html-keyboard-response,194,202271,0.0-1.0-13.0-0.17-2.17,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.5,1.0,,,,,
195,,no_response,,html-keyboard-response,195,204271,0.0-1.0-13.0-0.17-4.17-0.17,1,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.5,1.0,,,,,
196,,iti,,html-keyboard-response,196,205271,0.0-1.0-13.0-0.17-5.17,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.5,2.0,,,,,
