,event,trial,time,PID
0,blur,0,2549,37970
1,focus,0,4020,37970
2,fullscreenenter,0,6105,37970
3,fullscreenexit,1,16147,37970
4,blur,1,18672,37970
5,focus,1,187471,37970
6,blur,645,736147,37970
7,focus,789,834636,37970
8,blur,812,848498,37970
9,focus,814,849941,37970
10,blur,835,862450,37970
11,focus,881,1075393,37970
12,blur,1478,1431855,37970
13,focus,1478,1471992,37970
