,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally,category,category_group_value,category_value_response
0,True,full_screen,d06012022hr1809,fullscreen,0,5005,0.0-0.0,0,0,49028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,20795,0.0-1.0-0.0-0.0,0,0,49028,"[{""page_index"":0,""viewing_time"":4319},{""page_index"":1,""viewing_time"":972},{""page_index"":2,""viewing_time"":1098},{""page_index"":1,""viewing_time"":787},{""page_index"":2,""viewing_time"":573},{""page_index"":3,""viewing_time"":1944},{""page_index"":4,""viewing_time"":2845},{""page_index"":5,""viewing_time"":1079},{""page_index"":6,""viewing_time"":2169}]",15787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,26284,0.0-1.0-0.0-1.0,0,0,49028,,5485.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,27214,0.0-1.0-1.0,0,0,49028,,926.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,choice,,html-keyboard-response,4,27629,0.0-1.0-2.0-0.0-0.0,0,0,49028,,411.0,,,68.0,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,1.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,0.0,0.411,0.411,,,,,
5,,confirmation,,html-keyboard-response,5,28726,0.0-1.0-2.0-0.0-1.0-0.0,0,0,49028,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.089,,,,,
6,,isi,,html-keyboard-response,6,28829,0.0-1.0-2.0-0.0-2.0,0,0,49028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,,,,
7,,feedback,,html-keyboard-response,7,29835,0.0-1.0-2.0-0.0-3.0-0.0,0,0,49028,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,
8,,iti,,html-keyboard-response,8,29942,0.0-1.0-2.0-0.0-5.0,0,0,49028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,
9,,choice,,html-keyboard-response,9,30260,0.0-1.0-3.0-0.0-0.0,0,0,49028,,315.0,,,68.0,1.0,1.0,3000.0,1500.0,1.0,0.0,0.0,20-40,,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,22829064.thl.jpg,bagels_cinnraisin_large.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829064.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,0.0,5.315,0.315,,,,,
10,,confirmation,,html-keyboard-response,10,31454,0.0-1.0-3.0-0.0-1.0-0.0,0,0,49028,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.185,,,,,
11,,isi,,html-keyboard-response,11,31560,0.0-1.0-3.0-0.0-2.0,0,0,49028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,3.0,,,,,
12,,feedback,,html-keyboard-response,12,32568,0.0-1.0-3.0-0.0-3.0-0.0,0,0,49028,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,1.0,,,,,
13,,iti,,html-keyboard-response,13,32675,0.0-1.0-3.0-0.0-5.0,0,0,49028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.5,,,,,
14,,choice,,html-keyboard-response,14,32910,0.0-1.0-4.0-0.0-0.0,0,0,49028,,232.0,,,68.0,2.0,2.0,2000.0,3000.0,1.0,0.0,0.0,60-80,,0.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/26373355.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg,1.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,0.0,12.232,0.232,,,,,
15,,confirmation,,html-keyboard-response,15,34185,0.0-1.0-4.0-0.0-1.0-0.0,0,0,49028,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,1.268,,,,,
16,,isi,,html-keyboard-response,16,34291,0.0-1.0-4.0-0.0-2.0,0,0,49028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,2.0,,,,,
17,,feedback,,html-keyboard-response,17,35299,0.0-1.0-4.0-0.0-3.0-0.0,0,0,49028,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,1.0,,,,,
18,,iti,,html-keyboard-response,18,35405,0.0-1.0-4.0-0.0-5.0,0,0,49028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,3.0,,,,,
19,,choice,,html-keyboard-response,19,35528,0.0-1.0-5.0-0.0-0.0,0,0,49028,,120.0,,,68.0,3.0,3.0,1000.0,2000.0,1.0,0.0,0.0,40-80,,0.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,22829184.thl.jpg,Aalarmclock2.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829184.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/Aalarmclock2.jpg,1.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,0.0,19.62,0.12,,,,,
20,,confirmation,,html-keyboard-response,20,36916,0.0-1.0-5.0-0.0-1.0-0.0,0,0,49028,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,1.38,,,,,
21,,isi,,html-keyboard-response,21,37021,0.0-1.0-5.0-0.0-2.0,0,0,49028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,,,,,
22,,feedback,,html-keyboard-response,22,38028,0.0-1.0-5.0-0.0-3.0-0.0,0,0,49028,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,,,,,
23,,iti,,html-keyboard-response,23,38135,0.0-1.0-5.0-0.0-5.0,0,0,49028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2.0,,,,,
