,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice
20,,confirmation,,html-keyboard-response,20,39532,0.0-1.0-5.0-0.0-1.0-0.0,0,0,3,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,1.342,
21,,isi,,html-keyboard-response,21,39640,0.0-1.0-5.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,
22,,feedback,,html-keyboard-response,22,40645,0.0-1.0-5.0-0.0-3.0-0.0,0,0,3,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,
23,,iti,,html-keyboard-response,23,40753,0.0-1.0-5.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2.0,
24,,choice,,html-keyboard-response,24,40952,0.0-1.0-6.0-0.0-0.0,0,0,3,,196.0,,,50.0,4.0,4.0,2500.0,2500.0,1.0,0.0,0.0,20-60,,1.0,dumbbell,bagel,80.0,20.0,dumbbell3,bagel3,100.0,40.0,41K7QVRX50L._SS500_.jpg,photo-169.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/41K7QVRX50L._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/photo-169.jpg,1.0,dumbbell,bagel,80.0,20.0,dumbbell3,bagel3,100.0,40.0,0.0,25.196,0.196,1.0
25,,confirmation,,html-keyboard-response,25,42262,0.0-1.0-6.0-0.0-1.0-0.0,0,0,3,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,1.304,
26,,isi,,html-keyboard-response,26,42368,0.0-1.0-6.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,2.5,
27,,feedback,,html-keyboard-response,27,43375,0.0-1.0-6.0-0.0-3.0-0.0,0,0,3,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,
28,,iti,,html-keyboard-response,28,43480,0.0-1.0-6.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,2.5,
29,,practice_over,,html-keyboard-response,29,43685,0.0-1.0-6.0-0.0-6.0-0.0,0,0,3,,202.0,,,50.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,start_run,,html-keyboard-response,30,44966,0.0-1.0-6.0-0.0-6.0-1.0,0,0,3,,1279.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,choice,,html-keyboard-response,31,45527,0.0-1.0-7.0-0.0-0.0,0,0,3,,556.0,,,50.0,5.0,5.0,2000.0,2000.0,0.0,1.0,0.0,40-80,,1.0,desk,patio lounge chair,80.0,40.0,desk1,patio lounge chair15,100.0,40.0,ADESK11.jpg,phpThumb.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/ADESK11.jpg,/static/Category_learning/Stimuli/Experimental_stims/patio lounge chair/phpThumb.jpg,1.0,desk,patio lounge chair,80.0,40.0,desk1,patio lounge chair15,100.0,40.0,0.0,0.556,0.556,
32,,confirmation,,html-keyboard-response,32,46477,0.0-1.0-7.0-0.0-1.0-0.0,0,0,3,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.944,
33,,isi,,html-keyboard-response,33,46584,0.0-1.0-7.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,
34,,feedback,,html-keyboard-response,34,47589,0.0-1.0-7.0-0.0-3.0-0.0,0,0,3,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1.0,
35,,iti,,html-keyboard-response,35,47694,0.0-1.0-7.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,2.0,
