,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally
0,True,full_screen,d05312022hr1931,fullscreen,0,2614,0.0-0.0,0,0,96511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,57825,0.0-1.0-0.0-0.0,0,0,96511,"[{""page_index"":0,""viewing_time"":2972},{""page_index"":1,""viewing_time"":11861},{""page_index"":2,""viewing_time"":8856},{""page_index"":3,""viewing_time"":13509},{""page_index"":4,""viewing_time"":11609},{""page_index"":5,""viewing_time"":3885},{""page_index"":6,""viewing_time"":2517}]",55209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,71394,0.0-1.0-0.0-1.0,0,0,96511,,13565.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,74313,0.0-1.0-1.0,0,0,96511,,2913.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,choice,,html-keyboard-response,4,75054,0.0-1.0-2.0-0.0-0.0,0,0,96511,,738.0,,,68.0,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,1.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,0.0,0.738,0.738,,
5,,confirmation,,html-keyboard-response,5,75824,0.0-1.0-2.0-0.0-1.0-0.0,0,0,96511,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.762,,
6,,isi,,html-keyboard-response,6,77328,0.0-1.0-2.0-0.0-2.0,0,0,96511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,
7,,feedback,,html-keyboard-response,7,78331,0.0-1.0-2.0-0.0-3.0-0.0,0,0,96511,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,
8,,iti,,html-keyboard-response,8,79334,0.0-1.0-2.0-0.0-5.0,0,0,96511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,
9,,choice,,html-keyboard-response,9,79914,0.0-1.0-3.0-0.0-0.0,0,0,96511,,576.0,,,75.0,1.0,1.0,3000.0,1500.0,1.0,0.0,0.0,20-40,,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,22829064.thl.jpg,bagels_cinnraisin_large.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829064.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg,0.0,bagel,calculator,20.0,40.0,bagel2,calculator2,20.0,20.0,0.0,5.576,0.576,,
10,,confirmation,,html-keyboard-response,10,80843,0.0-1.0-3.0-0.0-1.0-0.0,0,0,96511,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0.924,,
11,,isi,,html-keyboard-response,11,83846,0.0-1.0-3.0-0.0-2.0,0,0,96511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,3.0,,
12,,feedback,,html-keyboard-response,12,84853,0.0-1.0-3.0-0.0-3.0-0.0,0,0,96511,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,1.0,,
13,,iti,,html-keyboard-response,13,86358,0.0-1.0-3.0-0.0-5.0,0,0,96511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.5,,
14,,choice,,html-keyboard-response,14,86887,0.0-1.0-4.0-0.0-0.0,0,0,96511,,525.0,,,68.0,2.0,2.0,2000.0,3000.0,1.0,0.0,0.0,60-80,,0.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/26373355.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg,1.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,0.0,12.525,0.525,,
15,,confirmation,,html-keyboard-response,15,87868,0.0-1.0-4.0-0.0-1.0-0.0,0,0,96511,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,0.975,,
16,,isi,,html-keyboard-response,16,89873,0.0-1.0-4.0-0.0-2.0,0,0,96511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,2.0,,
17,,feedback,,html-keyboard-response,17,90880,0.0-1.0-4.0-0.0-3.0-0.0,0,0,96511,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,1.0,,
