,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally,category,category_group_value,category_value_response,did_not_enter_response
0,True,full_screen,d06032022hr1946,fullscreen,0,8692,0.0-0.0,0,0,82892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,99284,0.0-1.0-0.0-0.0,0,0,82892,"[{""page_index"":0,""viewing_time"":22852},{""page_index"":1,""viewing_time"":34493},{""page_index"":2,""viewing_time"":7421},{""page_index"":3,""viewing_time"":8696},{""page_index"":4,""viewing_time"":9574},{""page_index"":5,""viewing_time"":5554},{""page_index"":6,""viewing_time"":1998}]",90589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,117592,0.0-1.0-0.0-1.0,0,0,82892,,18299.0,"{""Q0"":""True"",""Q1"":""False"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,missed_instruction_checkup,,html-keyboard-response,3,120022,0.0-1.0-0.0-2.0-0.0,0,0,82892,,2423.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,category_learning_instructions,,instructions,4,127768,0.0-1.0-0.1-0.1,0,0,82892,"[{""page_index"":0,""viewing_time"":2509},{""page_index"":1,""viewing_time"":1296},{""page_index"":2,""viewing_time"":727},{""page_index"":3,""viewing_time"":856},{""page_index"":4,""viewing_time"":1082},{""page_index"":5,""viewing_time"":691},{""page_index"":6,""viewing_time"":580}]",7742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,category_learning_comprehension_check,,survey-multi-choice,5,135977,0.0-1.0-0.1-1.1,0,0,82892,,8198.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,html-keyboard-response,6,138676,0.0-1.0-1.0,0,0,82892,,2695.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,choice,,html-keyboard-response,7,139435,0.0-1.0-2.0-0.0-0.0,0,0,82892,,752.0,,,68.0,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,1.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,0.0,0.752,0.752,,,,,,
8,,confirmation,,html-keyboard-response,8,140193,0.0-1.0-2.0-0.0-1.0-0.0,0,0,82892,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.748,,,,,,
9,,isi,,html-keyboard-response,9,141699,0.0-1.0-2.0-0.0-2.0,0,0,82892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,,,,,
10,,feedback,,html-keyboard-response,10,142704,0.0-1.0-2.0-0.0-3.0-0.0,0,0,82892,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,
11,,iti,,html-keyboard-response,11,143707,0.0-1.0-2.0-0.0-5.0,0,0,82892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,
12,,choice,,html-keyboard-response,12,144200,0.0-1.0-3.0-0.0-0.0,0,0,82892,,488.0,,,75.0,1.0,1.0,3000.0,1500.0,1.0,0.0,0.0,20-40,,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,22829064.thl.jpg,bagels_cinnraisin_large.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829064.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg,0.0,bagel,calculator,20.0,40.0,bagel2,calculator2,20.0,20.0,0.0,5.488,0.488,,,,,,
13,,confirmation,,html-keyboard-response,13,145220,0.0-1.0-3.0-0.0-1.0-0.0,0,0,82892,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.012,,,,,,
14,,isi,,html-keyboard-response,14,148227,0.0-1.0-3.0-0.0-2.0,0,0,82892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,3.0,,,,,,
15,,feedback,,html-keyboard-response,15,149235,0.0-1.0-3.0-0.0-3.0-0.0,0,0,82892,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,1.0,,,,,,
16,,iti,,html-keyboard-response,16,150739,0.0-1.0-3.0-0.0-5.0,0,0,82892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.5,,,,,,
17,,choice,,html-keyboard-response,17,151224,0.0-1.0-4.0-0.0-0.0,0,0,82892,,479.0,,,68.0,2.0,2.0,2000.0,3000.0,1.0,0.0,0.0,60-80,,0.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/26373355.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg,1.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,0.0,12.479,0.479,,,,,,
18,,confirmation,,html-keyboard-response,18,152251,0.0-1.0-4.0-0.0-1.0-0.0,0,0,82892,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,1.021,,,,,,
19,,isi,,html-keyboard-response,19,154259,0.0-1.0-4.0-0.0-2.0,0,0,82892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,2.0,,,,,,
20,,feedback,,html-keyboard-response,20,155267,0.0-1.0-4.0-0.0-3.0-0.0,0,0,82892,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,1.0,,,,,,
21,,iti,,html-keyboard-response,21,158270,0.0-1.0-4.0-0.0-5.0,0,0,82892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,3.0,,,,,,
22,,choice,,html-keyboard-response,22,158822,0.0-1.0-5.0-0.0-0.0,0,0,82892,,547.0,,,75.0,3.0,3.0,1000.0,2000.0,1.0,0.0,0.0,40-80,,0.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,22829184.thl.jpg,Aalarmclock2.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829184.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/Aalarmclock2.jpg,0.0,clock,calculator,60.0,40.0,clock1,calculator1,40.0,40.0,0.0,20.047,0.547,,,,,,
23,,confirmation,,html-keyboard-response,23,159780,0.0-1.0-5.0-0.0-1.0-0.0,0,0,82892,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,0.953,,,,,,
24,,isi,,html-keyboard-response,24,160788,0.0-1.0-5.0-0.0-2.0,0,0,82892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,,,,,,
25,,feedback,,html-keyboard-response,25,161795,0.0-1.0-5.0-0.0-3.0-0.0,0,0,82892,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,,,,,,
26,,iti,,html-keyboard-response,26,163801,0.0-1.0-5.0-0.0-5.0,0,0,82892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2.0,,,,,,
27,,choice,,html-keyboard-response,27,164431,0.0-1.0-6.0-0.0-0.0,0,0,82892,,626.0,,,68.0,4.0,4.0,2500.0,2500.0,1.0,0.0,0.0,20-60,,1.0,dumbbell,bagel,80.0,20.0,dumbbell3,bagel3,100.0,40.0,41K7QVRX50L._SS500_.jpg,photo-169.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/41K7QVRX50L._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/photo-169.jpg,1.0,dumbbell,bagel,80.0,20.0,dumbbell3,bagel3,100.0,40.0,0.0,25.626,0.626,1.0,,,,,
28,,confirmation,,html-keyboard-response,28,165310,0.0-1.0-6.0-0.0-1.0-0.0,0,0,82892,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,0.874,,,,,,
29,,isi,,html-keyboard-response,29,167817,0.0-1.0-6.0-0.0-2.0,0,0,82892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,2.5,,,,,,
30,,feedback,,html-keyboard-response,30,168824,0.0-1.0-6.0-0.0-3.0-0.0,0,0,82892,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,,,,,,
31,,iti,,html-keyboard-response,31,171332,0.0-1.0-6.0-0.0-5.0,0,0,82892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,2.5,,,,,,
32,,practice_over,,html-keyboard-response,32,177838,0.0-1.0-6.0-0.0-6.0-0.0,0,0,82892,,6503.0,,,68.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,start_run,,html-keyboard-response,33,179816,0.0-1.0-6.0-0.0-6.0-1.0,0,0,82892,,1975.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,choice,,html-keyboard-response,34,180532,0.0-1.0-7.0-0.0-0.0,0,0,82892,,711.0,,,68.0,5.0,5.0,3000.0,2000.0,0.0,1.0,0.0,40-40,,,license plate,hammer,40.0,40.0,license plate13,hammer11,60.0,60.0,usa-rj-9517.jpg,8oz-hammer-copy.jpg,/static/Category_learning/Stimuli/Experimental_stims/license plate/usa-rj-9517.jpg,/static/Category_learning/Stimuli/Experimental_stims/hammer/8oz-hammer-copy.jpg,1.0,license plate,hammer,40.0,40.0,license plate13,hammer11,60.0,60.0,0.0,0.711,0.711,,,,,,
35,,confirmation,,html-keyboard-response,35,181327,0.0-1.0-7.0-0.0-1.0-0.0,0,0,82892,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.789,,,,,,
36,,isi,,html-keyboard-response,36,184331,0.0-1.0-7.0-0.0-2.0,0,0,82892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3.0,,,,,,
37,,feedback,,html-keyboard-response,37,185336,0.0-1.0-7.0-0.0-3.0-0.0,0,0,82892,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.0,,,,,,
38,,iti,,html-keyboard-response,38,187343,0.0-1.0-7.0-0.0-5.0,0,0,82892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,2.0,,,,,,
39,,choice,,html-keyboard-response,39,187996,0.0-1.0-8.0-0.0-0.0,0,0,82892,,648.0,,,75.0,6.0,6.0,1000.0,1000.0,0.0,1.0,0.0,20-60,,0.0,flashlight,poker card,20.0,60.0,flashlight9,poker card6,40.0,80.0,new06.jpg,22864212.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/flashlight/new06.jpg,/static/Category_learning/Stimuli/Experimental_stims/poker card/22864212.thl.jpg,0.0,poker card,flashlight,60.0,20.0,poker card6,flashlight9,80.0,40.0,0.0,8.148,0.648,,,,,,
40,,confirmation,,html-keyboard-response,40,188851,0.0-1.0-8.0-0.0-1.0-0.0,0,0,82892,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.852,,,,,,
