,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally,category,category_group_value,category_value_response,did_not_enter_response
0,True,full_screen,d06152022hr2116,fullscreen,0,2716,0.0-0.0,0,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,6399,0.0-1.0-0.0-0.0,0,0,99,"[{""page_index"":0,""viewing_time"":1997},{""page_index"":1,""viewing_time"":146},{""page_index"":2,""viewing_time"":154},{""page_index"":3,""viewing_time"":161},{""page_index"":4,""viewing_time"":162},{""page_index"":5,""viewing_time"":582},{""page_index"":6,""viewing_time"":477}]",3680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,12648,0.0-1.0-0.0-1.0,0,0,99,,6244.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""pointer finger for left and middle finger for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,14632,0.0-1.0-1.0,0,0,99,,1978.0,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,choice,,html-keyboard-response,4,15576,0.0-1.0-2.0-0.0-0.0,0,0,99,,940.0,,,51.0,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,0.0,dumbbell,bagel,80.0,20.0,dumbbell1,bagel1,80.0,0.0,0.0,0.0,0.94,,,,,,
5,,confirmation,,html-keyboard-response,5,16141,0.0-1.0-2.0-0.0-1.0-0.0,0,0,99,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.56,,,,,,
6,,isi,,html-keyboard-response,6,17649,0.0-1.0-2.0-0.0-2.0,0,0,99,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,,,,,,
7,,feedback,,html-keyboard-response,7,18655,0.0-1.0-2.0-0.0-3.0-0.0,0,0,99,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,
8,,iti,,html-keyboard-response,8,19659,0.0-1.0-2.0-0.0-5.0,0,0,99,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,
9,,choice,,html-keyboard-response,9,20744,0.0-1.0-3.0-0.0-0.0,0,0,99,,1082.0,,,51.0,1.0,1.0,3000.0,1500.0,1.0,0.0,0.0,20-40,,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,22829064.thl.jpg,bagels_cinnraisin_large.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829064.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg,0.0,bagel,calculator,20.0,40.0,bagel2,calculator2,20.0,20.0,0.0,5.0,1.082,,,,,,
10,,confirmation,,html-keyboard-response,10,21166,0.0-1.0-3.0-0.0-1.0-0.0,0,0,99,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.082,0.418,,,,,,
11,,isi,,html-keyboard-response,11,24170,0.0-1.0-3.0-0.0-2.0,0,0,99,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,3.0,,,,,,
12,,feedback,,html-keyboard-response,12,25177,0.0-1.0-3.0-0.0-3.0-0.0,0,0,99,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,1.0,,,,,,
13,,iti,,html-keyboard-response,13,26680,0.0-1.0-3.0-0.0-5.0,0,0,99,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,1.5,,,,,,
14,,choice,,html-keyboard-response,14,27548,0.0-1.0-4.0-0.0-0.0,0,0,99,,864.0,,,51.0,2.0,2.0,2000.0,3000.0,1.0,0.0,0.0,60-80,,0.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/26373355.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg,0.0,dumbbell,clock,80.0,60.0,dumbbell2,clock2,100.0,60.0,0.0,12.0,0.864,,,,,,
15,,confirmation,,html-keyboard-response,15,28186,0.0-1.0-4.0-0.0-1.0-0.0,0,0,99,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.864,0.636,,,,,,
16,,isi,,html-keyboard-response,16,30193,0.0-1.0-4.0-0.0-2.0,0,0,99,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,2.0,,,,,,
17,,feedback,,html-keyboard-response,17,31197,0.0-1.0-4.0-0.0-3.0-0.0,0,0,99,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,1.0,,,,,,
18,,iti,,html-keyboard-response,18,34202,0.0-1.0-4.0-0.0-5.0,0,0,99,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,3.0,,,,,,
19,,choice,,html-keyboard-response,19,35531,0.0-1.0-5.0-0.0-0.0,0,0,99,,1326.0,,,50.0,3.0,3.0,1000.0,2000.0,1.0,0.0,0.0,40-80,,0.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,22829184.thl.jpg,Aalarmclock2.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829184.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/Aalarmclock2.jpg,1.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,0.0,19.5,1.326,,,,,,
20,,confirmation,,html-keyboard-response,20,35710,0.0-1.0-5.0-0.0-1.0-0.0,0,0,99,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.826,0.174,,,,,,
21,,isi,,html-keyboard-response,21,36717,0.0-1.0-5.0-0.0-2.0,0,0,99,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,1.0,,,,,,
22,,feedback,,html-keyboard-response,22,37726,0.0-1.0-5.0-0.0-3.0-0.0,0,0,99,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,,,,,,
23,,iti,,html-keyboard-response,23,39734,0.0-1.0-5.0-0.0-5.0,0,0,99,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2.0,,,,,,
24,,choice,,html-keyboard-response,24,40491,0.0-1.0-6.0-0.0-0.0,0,0,99,,754.0,,,50.0,4.0,4.0,2500.0,2500.0,1.0,0.0,0.0,20-60,,1.0,dumbbell,bagel,80.0,20.0,dumbbell3,bagel3,100.0,40.0,41K7QVRX50L._SS500_.jpg,photo-169.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/41K7QVRX50L._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/photo-169.jpg,1.0,dumbbell,bagel,80.0,20.0,dumbbell3,bagel3,100.0,40.0,0.0,25.0,0.754,1.0,,,,,
25,,confirmation,,html-keyboard-response,25,41240,0.0-1.0-6.0-0.0-1.0-0.0,0,0,99,,,,,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.754,0.746,,,,,,
26,,isi,,html-keyboard-response,26,43748,0.0-1.0-6.0-0.0-2.0,0,0,99,,,,,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,2.5,,,,,,
27,,feedback,,html-keyboard-response,27,44756,0.0-1.0-6.0-0.0-3.0-0.0,0,0,99,,,,,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.0,,,,,,
28,,iti,,html-keyboard-response,28,47258,0.0-1.0-6.0-0.0-5.0,0,0,99,,,,,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,2.5,,,,,,
29,,practice_over,,html-keyboard-response,29,60184,0.0-1.0-6.0-0.0-6.0-0.0,0,0,99,,12923.0,,,83.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,start_run,,html-keyboard-response,30,131455,0.0-1.0-6.0-0.0-6.0-1.0,0,0,99,,71269.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,choice,,html-keyboard-response,31,132425,0.0-1.0-7.0-0.0-0.0,0,0,99,,965.0,,,50.0,5.0,5.0,2000.0,2000.0,0.0,1.0,0.0,40-80,,1.0,desk,patio lounge chair,80.0,40.0,desk1,patio lounge chair15,100.0,40.0,ADESK11.jpg,phpThumb.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/ADESK11.jpg,/static/Category_learning/Stimuli/Experimental_stims/patio lounge chair/phpThumb.jpg,1.0,desk,patio lounge chair,80.0,40.0,desk1,patio lounge chair15,100.0,40.0,0.0,0.0,0.965,,,,,,
32,,confirmation,,html-keyboard-response,32,132964,0.0-1.0-7.0-0.0-1.0-0.0,0,0,99,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965,0.535,,,,,,
33,,isi,,html-keyboard-response,33,134967,0.0-1.0-7.0-0.0-2.0,0,0,99,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.0,,,,,,
34,,feedback,,html-keyboard-response,34,135972,0.0-1.0-7.0-0.0-3.0-0.0,0,0,99,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.0,,,,,,
35,,iti,,html-keyboard-response,35,137980,0.0-1.0-7.0-0.0-5.0,0,0,99,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,2.0,,,,,,
36,,choice,,html-keyboard-response,36,138911,0.0-1.0-8.0-0.0-0.0,0,0,99,,927.0,,,51.0,6.0,6.0,3000.0,1500.0,0.0,1.0,0.0,40-60,,0.0,poker card,tent,40.0,60.0,poker card12,tent9,20.0,60.0,22865676.thl.jpg,Red Canyon Tent.jpg,/static/Category_learning/Stimuli/Experimental_stims/poker card/22865676.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/Red Canyon Tent.jpg,0.0,tent,poker card,60.0,40.0,tent9,poker card12,60.0,20.0,0.0,6.5,0.927,,,,,,
37,,confirmation,,html-keyboard-response,37,139488,0.0-1.0-8.0-0.0-1.0-0.0,0,0,99,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.427,0.573,,,,,,
38,,isi,,html-keyboard-response,38,142491,0.0-1.0-8.0-0.0-2.0,0,0,99,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,,,,,,
39,,feedback,,html-keyboard-response,39,143497,0.0-1.0-8.0-0.0-3.0-0.0,0,0,99,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,,,,,,
40,,iti,,html-keyboard-response,40,145000,0.0-1.0-8.0-0.0-5.0,0,0,99,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.5,,,,,,
41,,choice,,html-keyboard-response,41,145826,0.0-1.0-9.0-0.0-0.0,0,0,99,,821.0,,,51.0,7.0,7.0,2000.0,1000.0,0.0,1.0,0.0,40-60,,0.0,pen,tent,40.0,60.0,pen6,tent6,20.0,80.0,executive_pen2.jpg,lighthouse_tent_edited_1-1.jpg,/static/Category_learning/Stimuli/Experimental_stims/pen/executive_pen2.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/lighthouse_tent_edited_1-1.jpg,0.0,tent,pen,60.0,40.0,tent6,pen6,80.0,20.0,0.0,13.5,0.821,,,,,,
42,,confirmation,,html-keyboard-response,42,146508,0.0-1.0-9.0-0.0-1.0-0.0,0,0,99,,,,,,7.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.321,0.679,,,,,,
43,,isi,,html-keyboard-response,43,148516,0.0-1.0-9.0-0.0-2.0,0,0,99,,,,,,7.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2.0,,,,,,
44,,feedback,,html-keyboard-response,44,149523,0.0-1.0-9.0-0.0-3.0-0.0,0,0,99,,,,,,7.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,,,,,,
45,,iti,,html-keyboard-response,45,150528,0.0-1.0-9.0-0.0-5.0,0,0,99,,,,,,7.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,1.0,,,,,,
46,,choice,,html-keyboard-response,46,151276,0.0-1.0-10.0-0.0-0.0,0,0,99,,743.0,,,50.0,8.0,8.0,1000.0,1000.0,0.0,1.0,0.0,20-60,,1.0,tent,lipstick,60.0,20.0,tent14,lipstick5,60.0,0.0,inflatable-tent.jpg,P35719_hero.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/inflatable-tent.jpg,/static/Category_learning/Stimuli/Experimental_stims/lipstick/P35719_hero.jpg,1.0,tent,lipstick,60.0,20.0,tent14,lipstick5,60.0,0.0,0.0,19.0,0.743,,,,,,
47,,confirmation,,html-keyboard-response,47,152036,0.0-1.0-10.0-0.0-1.0-0.0,0,0,99,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.743,0.757,,,,,,
48,,isi,,html-keyboard-response,48,153041,0.0-1.0-10.0-0.0-2.0,0,0,99,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,1.0,,,,,,
49,,feedback,,html-keyboard-response,49,154045,0.0-1.0-10.0-0.0-3.0-0.0,0,0,99,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,1.0,,,,,,
50,,iti,,html-keyboard-response,50,155052,0.0-1.0-10.0-0.0-5.0,0,0,99,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,1.0,,,,,,
51,,choice,,html-keyboard-response,51,156041,0.0-1.0-11.0-0.0-0.0,0,0,99,,986.0,,,50.0,9.0,9.0,1000.0,1000.0,0.0,1.0,0.0,20-60,,1.0,watch,frame,60.0,20.0,watch8,frame6,60.0,40.0,2239.jpg,AFRAME123.jpg,/static/Category_learning/Stimuli/Experimental_stims/watch/2239.jpg,/static/Category_learning/Stimuli/Experimental_stims/frame/AFRAME123.jpg,1.0,watch,frame,60.0,20.0,watch8,frame6,60.0,40.0,0.0,23.5,0.986,,,,,,
52,,confirmation,,html-keyboard-response,52,156559,0.0-1.0-11.0-0.0-1.0-0.0,0,0,99,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.486,0.514,,,,,,
53,,isi,,html-keyboard-response,53,157567,0.0-1.0-11.0-0.0-2.0,0,0,99,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,1.0,,,,,,
54,,feedback,,html-keyboard-response,54,158574,0.0-1.0-11.0-0.0-3.0-0.0,0,0,99,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,1.0,,,,,,
55,,iti,,html-keyboard-response,55,159580,0.0-1.0-11.0-0.0-5.0,0,0,99,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,1.0,,,,,,
56,,choice,,html-keyboard-response,56,160549,0.0-1.0-12.0-0.0-0.0,0,0,99,,964.0,,,51.0,10.0,10.0,3000.0,2000.0,0.0,1.0,1.0,60-60,1.0,,tent,tent,60.0,60.0,tent6,tent14,80.0,60.0,lighthouse_tent_edited_1-1.jpg,inflatable-tent.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/lighthouse_tent_edited_1-1.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/inflatable-tent.jpg,0.0,tent,tent,60.0,60.0,tent14,tent6,60.0,80.0,0.0,28.0,0.964,,,,,,
57,,confirmation,,html-keyboard-response,57,161088,0.0-1.0-12.0-0.0-1.0-0.0,0,0,99,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.964,0.536,,,,,,
58,,isi,,html-keyboard-response,58,164094,0.0-1.0-12.0-0.0-2.0,0,0,99,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,3.0,,,,,,
59,,feedback,,html-keyboard-response,59,165098,0.0-1.0-12.0-0.0-3.0-0.0,0,0,99,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,1.0,,,,,,
60,,iti,,html-keyboard-response,60,167102,0.0-1.0-12.0-0.0-5.0,0,0,99,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,2.0,,,,,,
61,,choice,,html-keyboard-response,61,168259,0.0-1.0-13.0-0.0-0.0,0,0,99,,1153.0,,,50.0,11.0,11.0,1000.0,2000.0,0.0,1.0,0.0,40-60,,1.0,tape,nail polish,60.0,40.0,tape12,nail polish5,60.0,40.0,Frog-Tape-Dispenser_F02218A2.jpg,182_t.jpg,/static/Category_learning/Stimuli/Experimental_stims/tape/Frog-Tape-Dispenser_F02218A2.jpg,/static/Category_learning/Stimuli/Experimental_stims/nail polish/182_t.jpg,1.0,tape,nail polish,60.0,40.0,tape12,nail polish5,60.0,40.0,0.0,35.5,1.153,,,,,,
62,,confirmation,,html-keyboard-response,62,168609,0.0-1.0-13.0-0.0-1.0-0.0,0,0,99,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,36.653,0.347,,,,,,
63,,isi,,html-keyboard-response,63,169617,0.0-1.0-13.0-0.0-2.0,0,0,99,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,1.0,,,,,,
64,,feedback,,html-keyboard-response,64,170624,0.0-1.0-13.0-0.0-3.0-0.0,0,0,99,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,1.0,,,,,,
65,,iti,,html-keyboard-response,65,172628,0.0-1.0-13.0-0.0-5.0,0,0,99,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,2.0,,,,,,
66,,choice,,html-keyboard-response,66,173865,0.0-1.0-14.0-0.0-0.0,0,0,99,,1233.0,,,50.0,12.0,12.0,3500.0,1500.0,0.0,1.0,0.0,20-60,,1.0,tape,makeup compact,60.0,20.0,tape7,makeup compact6,60.0,40.0,tape dispenser.jpg,P0754_hero.jpg,/static/Category_learning/Stimuli/Experimental_stims/tape/tape dispenser.jpg,/static/Category_learning/Stimuli/Experimental_stims/makeup compact/P0754_hero.jpg,1.0,tape,makeup compact,60.0,20.0,tape7,makeup compact6,60.0,40.0,0.0,41.0,1.233,,,,,,
67,,confirmation,,html-keyboard-response,67,174136,0.0-1.0-14.0-0.0-1.0-0.0,0,0,99,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,42.233,0.267,,,,,,
