trial_num,category,category_group_value
0,small table,80
1,watch,20
2,telescope,20
3,license plate,60
4,patio lounge chair,80
5,yarn,20
6,playing card,80
7,door knob,40
8,bowl,40
9,bench,40
10,train,20
11,lipstick,60
12,brass instrument,20
13,hat,60
14,tape,20
15,dresser,40
16,microscope,60
17,makeup compact,60
18,vase,20
19,tent,20
20,pen,80
21,nail polish,80
22,sofa,80
23,frame,60
24,seashell,80
25,motorcycle,60
26,desk,40
27,necklace,80
28,hammer,60
29,baby carriage,40
30,flashlight,40
31,fan,40
32,stool,20
33,power strip,80
34,key chain,60
35,bongo,40
