trial_num,block,is_practice,old_trial,pair_type,left_category_value,right_category_value,delta_category_value,high_cat_on_left,iti,isi,left_category,right_category,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_stim_index,right_stim_index,left_img,right_img,left_img_path,right_img_path
0,0,1,0,20-80,20,80,-60,0,1000,1500,bagel,dumbbell,bagel1,dumbbell1,0,80,0,7,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg
1,0,1,0,20-40,40,20,20,1,1500,3000,calculator,bagel,calculator2,bagel2,20,20,4,1,22829064.thl.jpg,bagels_cinnraisin_large.jpg,Stimuli/Practice_stims/calculator/22829064.thl.jpg,Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg
2,0,1,0,60-80,60,80,-20,0,3000,2000,clock,dumbbell,clock2,dumbbell2,60,100,6,8,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,Stimuli/Practice_stims/clock/26373355.thl.jpg,Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg
3,0,1,0,40-80,40,60,-20,0,2000,1000,calculator,clock,calculator1,clock1,40,40,3,5,22829184.thl.jpg,Aalarmclock2.jpg,Stimuli/Practice_stims/calculator/22829184.thl.jpg,Stimuli/Practice_stims/clock/Aalarmclock2.jpg
4,0,1,0,20-60,80,20,60,1,2500,2500,dumbbell,bagel,dumbbell3,bagel3,100,40,9,2,41K7QVRX50L._SS500_.jpg,photo-169.jpg,Stimuli/Practice_stims/dumbbell/41K7QVRX50L._SS500_.jpg,Stimuli/Practice_stims/bagel/photo-169.jpg
5,1,0,0,20-60,20,60,-40,0,3500,2000,necklace,bench,necklace15,bench3,40,40,337,19,necklascenew04.jpg,26419540.thl.jpg,Stimuli/Experimental_stims/necklace/necklascenew04.jpg,Stimuli/Experimental_stims/bench/26419540.thl.jpg
6,1,0,0,20-20,20,20,0,NA,1000,2000,power strip,seashell,power strip8,seashell7,40,20,398,414,3118YGHQWXL._AA262_.jpg,seashell34.jpg,Stimuli/Experimental_stims/power strip/3118YGHQWXL._AA262_.jpg,Stimuli/Experimental_stims/seashell/seashell34.jpg
7,1,0,0,20-40,40,20,20,1,2000,1500,telescope,poker card,telescope1,poker card9,20,40,493,382,celestron nexstar 114 gt reflector telescope.jpg,9817230.thl.jpg,Stimuli/Experimental_stims/telescope/celestron nexstar 114 gt reflector telescope.jpg,Stimuli/Experimental_stims/poker card/9817230.thl.jpg
8,1,0,0,60-60,60,60,0,NA,1000,3500,door knob,dresser,door knob7,dresser4,40,80,91,105,doorknob2.jpg,ADRESSE40.jpg,Stimuli/Experimental_stims/door knob/doorknob2.jpg,Stimuli/Experimental_stims/dresser/ADRESSE40.jpg
9,1,0,0,20-60,20,60,-40,0,1000,1000,poker card,desk,poker card8,desk13,20,80,381,80,22864392.thl.jpg,26427865.thl.jpg,Stimuli/Experimental_stims/poker card/22864392.thl.jpg,Stimuli/Experimental_stims/desk/26427865.thl.jpg
10,1,0,0,20-60,60,20,40,1,1000,1000,bench,nail polish,bench8,nail polish6,80,0,24,311,APARKBE14.jpg,127_t.jpg,Stimuli/Experimental_stims/bench/APARKBE14.jpg,Stimuli/Experimental_stims/nail polish/127_t.jpg
11,1,0,0,20-80,20,80,-60,0,3000,1500,pen,microscope,pen11,microscope4,0,80,367,275,pen01.jpg,55071208.JPG,Stimuli/Experimental_stims/pen/pen01.jpg,Stimuli/Experimental_stims/microscope/55071208.JPG
12,1,0,0,20-60,20,60,-40,0,2000,1500,necklace,bowl,necklace1,bowl14,0,60,323,64,26443173.thl.jpg,Aredglassbowl.jpg,Stimuli/Experimental_stims/necklace/26443173.thl.jpg,Stimuli/Experimental_stims/bowl/Aredglassbowl.jpg
13,1,0,1,NaN,NA,NA,NA,NA,3500,3500,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
