trial_num,category,category_group_value
0,playing card,60
1,key chain,40
2,bowl,20
3,train,80
4,small table,60
5,bench,20
6,stool,80
7,hat,40
8,tape,80
9,patio lounge chair,60
10,watch,80
11,necklace,60
12,fan,20
13,microscope,40
14,nail polish,60
15,bongo,20
16,power strip,60
17,telescope,80
18,license plate,40
19,vase,80
20,dresser,20
21,door knob,20
22,desk,20
23,sofa,60
24,hammer,40
25,flashlight,20
26,baby carriage,20
27,makeup compact,40
28,seashell,60
29,tent,80
30,brass instrument,80
31,lipstick,40
32,frame,40
33,motorcycle,40
34,yarn,80
35,pen,60
