trial_num,category,category_group_value
0,hat,20
1,bench,80
2,playing card,40
3,motorcycle,20
4,power strip,40
5,stool,60
6,nail polish,40
7,makeup compact,20
8,patio lounge chair,40
9,yarn,60
10,flashlight,80
11,bowl,80
12,train,60
13,tape,60
14,lipstick,20
15,baby carriage,80
16,pen,40
17,fan,80
18,frame,20
19,tent,60
20,key chain,20
21,necklace,40
22,telescope,60
23,dresser,80
24,brass instrument,60
25,sofa,40
26,bongo,80
27,door knob,80
28,hammer,20
29,seashell,40
30,watch,60
31,microscope,20
32,desk,80
33,license plate,20
34,small table,40
35,vase,60
