trial_num,block,is_practice,old_trial,pair_type,left_category_value,right_category_value,delta_category_value,high_cat_on_left,iti,isi,left_category,right_category,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_stim_index,right_stim_index,left_img,right_img,left_img_path,right_img_path
28,1,0,0,40-60,60,40,20,1,1500,2000,patio lounge chair,makeup compact,patio lounge chair6,makeup compact5,60,60,345,259,Lounge_Chair_with_Pillow.jpg,P109965_hero.jpg,Stimuli/Experimental_stims/patio lounge chair/Lounge_Chair_with_Pillow.jpg,Stimuli/Experimental_stims/makeup compact/P109965_hero.jpg
29,1,0,0,40-80,40,80,-40,0,3500,1000,license plate,tape,license plate12,tape7,20,80,232,482,TurtleLicensePlate.jpg,tape dispenser.jpg,Stimuli/Experimental_stims/license plate/TurtleLicensePlate.jpg,Stimuli/Experimental_stims/tape/tape dispenser.jpg
30,1,0,0,20-80,20,80,-60,0,1000,1000,desk,yarn,desk10,yarn3,20,100,77,597,MEX028.jpg,Aballofblueya.jpg,Stimuli/Experimental_stims/desk/MEX028.jpg,Stimuli/Experimental_stims/yarn/Aballofblueya.jpg
31,1,0,0,20-60,20,60,-40,0,3000,1500,fan,poker card,fan14,poker card15,40,40,132,388,124771_sk_lg.jpg,9816946.thl.jpg,Stimuli/Experimental_stims/fan/124771_sk_lg.jpg,Stimuli/Experimental_stims/poker card/9816946.thl.jpg
32,1,0,0,60-80,60,80,-20,0,2000,2000,nail polish,tape,nail polish11,tape10,80,60,316,485,Revlon_Super_Top_Speed_Chrome_Nail_Polish-resized200.jpg,26377601.thl.jpg,Stimuli/Experimental_stims/nail polish/Revlon_Super_Top_Speed_Chrome_Nail_Polish-resized200.jpg,Stimuli/Experimental_stims/tape/26377601.thl.jpg
33,1,0,0,20-60,20,60,-40,0,1000,1000,baby carriage,power strip,baby carriage5,power strip11,20,40,4,401,Baby_Stroller.jpg,41Bw7Tl1G7L._AA262_.jpg,Stimuli/Experimental_stims/baby carriage/Baby_Stroller.jpg,Stimuli/Experimental_stims/power strip/41Bw7Tl1G7L._AA262_.jpg
34,1,0,0,20-20,20,20,0,NA,1500,3500,dresser,fan,dresser6,fan4,40,0,107,122,ADRESSE96.jpg,AFAN39.jpg,Stimuli/Experimental_stims/dresser/ADRESSE96.jpg,Stimuli/Experimental_stims/fan/AFAN39.jpg
35,1,0,0,20-80,80,20,60,1,1500,1500,vase,bowl,vase9,bowl2,80,40,569,52,Avasewithang2.jpg,AMIXBOWL2.jpg,Stimuli/Experimental_stims/vase/Avasewithang2.jpg,Stimuli/Experimental_stims/bowl/AMIXBOWL2.jpg
36,1,0,0,40-40,40,40,0,NA,1000,2000,hammer,lipstick,hammer12,lipstick14,20,60,181,251,24oz hammer.jpg,P109907_hero.jpg,Stimuli/Experimental_stims/hammer/24oz hammer.jpg,Stimuli/Experimental_stims/lipstick/P109907_hero.jpg
37,1,0,1,NaN,NA,NA,NA,NA,2000,3000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
38,1,0,0,20-60,60,20,40,1,3000,1500,poker card,door knob,poker card13,door knob14,80,20,386,98,9817197.thl.jpg,500_CLANYKAB.jpg,Stimuli/Experimental_stims/poker card/9817197.thl.jpg,Stimuli/Experimental_stims/door knob/500_CLANYKAB.jpg
39,1,0,1,NaN,NA,NA,NA,NA,1000,3500,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
40,1,0,1,NaN,NA,NA,NA,NA,3000,2000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
41,1,0,0,20-60,60,20,40,1,1000,1000,small table,bongo,small table4,bongo9,40,20,428,42,ACOFTABLE.jpg,22946035.thl.jpg,Stimuli/Experimental_stims/small table/ACOFTABLE.jpg,Stimuli/Experimental_stims/bongo/22946035.thl.jpg
42,1,0,0,60-60,60,60,0,NA,1000,3500,necklace,poker card,necklace2,poker card5,40,40,324,378,Anecklace7.jpg,22864800.thl.jpg,Stimuli/Experimental_stims/necklace/Anecklace7.jpg,Stimuli/Experimental_stims/poker card/22864800.thl.jpg
43,1,0,0,40-60,40,60,-20,0,2000,2000,lipstick,power strip,lipstick10,power strip10,60,60,247,400,21K0D7QKFAL._SS500_.jpg,6bd437c9-6165-4d36-bf75-9a1038783c6a_400.jpg,Stimuli/Experimental_stims/lipstick/21K0D7QKFAL._SS500_.jpg,Stimuli/Experimental_stims/power strip/6bd437c9-6165-4d36-bf75-9a1038783c6a_400.jpg
44,1,0,1,NaN,NA,NA,NA,NA,3000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
45,1,0,1,NaN,NA,NA,NA,NA,1000,1500,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
46,1,0,0,20-40,20,40,-20,0,1500,1000,bongo,hammer,bongo13,hammer4,0,40,46,173,26388718.thl.jpg,hammernew01.jpg,Stimuli/Experimental_stims/bongo/26388718.thl.jpg,Stimuli/Experimental_stims/hammer/hammernew01.jpg
47,1,0,0,40-80,80,40,40,1,2000,1000,telescope,frame,telescope15,frame3,80,40,507,155,VictorianDeskTelescope.jpg,AFRAME132.jpg,Stimuli/Experimental_stims/telescope/VictorianDeskTelescope.jpg,Stimuli/Experimental_stims/frame/AFRAME132.jpg
48,1,0,0,20-20,20,20,0,NA,2000,1000,bench,flashlight,bench5,flashlight3,0,20,21,138,APARKBEN8.jpg,sl_tasklight_2l3w.jpg,Stimuli/Experimental_stims/bench/APARKBEN8.jpg,Stimuli/Experimental_stims/flashlight/sl_tasklight_2l3w.jpg
49,1,0,1,NaN,NA,NA,NA,NA,1500,1500,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
50,1,0,0,40-80,40,80,-40,0,1500,1000,frame,vase,frame11,vase14,60,80,163,574,AFRAME139.jpg,Avase119.jpg,Stimuli/Experimental_stims/frame/AFRAME139.jpg,Stimuli/Experimental_stims/vase/Avase119.jpg
51,1,0,0,20-60,60,20,40,1,2000,2000,seashell,door knob,seashell11,door knob1,80,0,418,85,ASEASH12.jpg,Brass_Door_Handle.jpg,Stimuli/Experimental_stims/seashell/ASEASH12.jpg,Stimuli/Experimental_stims/door knob/Brass_Door_Handle.jpg
